"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 단독다가구(전월세)"
"주소구분 : 지번주소"
"시도 : 경상남도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","도로조건","계약면적(㎡)","전월세구분","계약년월","계약일","보증금(만원)","월세(만원)","건축년도","도로명"
"경상남도 거제시 고현동","2**","8m미만","21","월세","202007","12","100","15","2008","거제중앙로"
"경상남도 거제시 고현동","2**","8m미만","21","월세","202008","15","50","18","2008","거제중앙로"
"경상남도 거제시 고현동","2**","8m미만","21","월세","202101","26","50","20","2008","거제중앙로"
"경상남도 거제시 고현동","7*","8m미만","23","월세","202101","4","100","20","2012","동문2길"
"경상남도 거제시 고현동","1**","8m미만","24","월세","202011","5","200","23","2008","계룡로10길"
"경상남도 거제시 고현동","9**","12m미만","25","월세","202010","5","200","28","2009","중곡2로4길"
"경상남도 거제시 고현동","1**","-","25","월세","202102","15","200","27","null","null"
"경상남도 거제시 고현동","1**","25m미만","25","월세","202009","17","100","20","2013","거제중앙로9길"
"경상남도 거제시 고현동","7**","8m미만","25","월세","202008","23","100","26","2014","고현로2길"
"경상남도 거제시 고현동","2**","12m미만","25","월세","202003","24","200","20","2014","동문2길"
"경상남도 거제시 고현동","4**","8m미만","25","월세","202004","30","100","20","2012","계룡로2길"
"경상남도 거제시 고현동","6**","8m미만","26","월세","202009","2","300","26","2013","고현로2길"
"경상남도 거제시 고현동","8*","12m미만","26","월세","202102","7","200","25","2011","고현로12길"
"경상남도 거제시 고현동","7**","8m미만","26","월세","202008","7","200","20","2014","계룡로10길"
"경상남도 거제시 고현동","2**","25m미만","26","월세","202011","7","200","25","2015","동문천로"
"경상남도 거제시 고현동","3**","8m미만","26","월세","202011","10","100","25","2011","계룡로8길"
"경상남도 거제시 고현동","2**","12m미만","26","월세","202009","16","200","27","2014","거제중앙로12길"
"경상남도 거제시 고현동","7**","8m미만","26","월세","202006","17","200","25","2012","거제중앙로13길"
"경상남도 거제시 고현동","6**","12m미만","26","월세","202006","17","300","25","2016","거제중앙로15길"
"경상남도 거제시 고현동","1**","8m미만","26","월세","202005","18","200","23","2010","계룡로10길"
"경상남도 거제시 고현동","7**","12m미만","26","월세","202008","18","200","25","2013","고현로4길"
"경상남도 거제시 고현동","1**","8m미만","26","월세","202101","22","100","25","2012","동문천로"
"경상남도 거제시 고현동","1***","12m미만","26","월세","202004","25","100","23","2005","중곡로1길"
"경상남도 거제시 고현동","2**","8m미만","26","월세","202101","26","200","25","2010","거제중앙로12길"
"경상남도 거제시 고현동","9**","25m미만","26","월세","202101","26","1,700","13","2014","중곡2로"
"경상남도 거제시 고현동","4**","8m미만","26","월세","202011","27","100","25","2014","계룡로2길"
"경상남도 거제시 고현동","4**","-","26","월세","202006","27","1,000","20","null","null"
"경상남도 거제시 고현동","6**","12m미만","26","월세","202006","29","200","22","2007","거제중앙로15길"
"경상남도 거제시 고현동","1**","-","26","전세","202012","8","1,500","0","2012","null"
"경상남도 거제시 고현동","1**","25m미만","26","전세","202012","14","1,500","0","2012","동문천로"
"경상남도 거제시 고현동","1**","-","26","전세","202008","14","2,000","0","2010","null"
"경상남도 거제시 고현동","4**","8m미만","26.4","월세","202011","1","50","23","2007","계룡로8길"
"경상남도 거제시 고현동","8**","25m미만","26.4","월세","202101","3","300","25","2005","고현로"
"경상남도 거제시 고현동","7**","8m미만","26.4","월세","202102","21","200","25","2011","고현로2길"
"경상남도 거제시 고현동","2**","12m미만","26.4","월세","202010","24","150","25","2013","동문1길"
"경상남도 거제시 고현동","1**","8m미만","26.4","월세","202102","24","300","25","2008","계룡로10길"
"경상남도 거제시 고현동","8**","8m미만","26.44","월세","202010","14","100","10","1979","거제중앙로23길"
"경상남도 거제시 고현동","8**","8m미만","26.44","월세","202008","19","100","30","2012","거제중앙로23길"
"경상남도 거제시 고현동","4**","8m미만","28","월세","202102","16","100","23","2008","계룡로8길"
"경상남도 거제시 고현동","4**","-","28","월세","202007","17","100","25","2012","null"
"경상남도 거제시 고현동","8*","12m미만","28","월세","202102","18","300","25","2012","고현로12길"
"경상남도 거제시 고현동","9**","12m미만","28","월세","202102","20","200","28","2009","중곡2로4길"
"경상남도 거제시 고현동","7**","12m미만","28","월세","202006","22","100","25","2013","고현로4길"
"경상남도 거제시 고현동","4**","12m미만","28","월세","202102","22","1,000","15","2011","거제중앙로7길"
"경상남도 거제시 고현동","2**","-","28","월세","202102","23","1,000","10","2012","null"
"경상남도 거제시 고현동","1***","8m미만","28","월세","202102","24","1,500","14","2012","거제중앙로5길"
"경상남도 거제시 고현동","1**","12m미만","28","월세","202010","26","1,500","5","2012","계룡로10길"
"경상남도 거제시 고현동","1**","8m미만","28","월세","202101","30","50","18","2014","거제중앙로11길"
"경상남도 거제시 고현동","7**","8m미만","28","월세","202006","30","200","25","2012","고현로2길"
"경상남도 거제시 고현동","4**","8m미만","28.96","월세","202102","22","50","20","2009","거제중앙로"
"경상남도 거제시 고현동","1**","12m미만","29","월세","202009","18","1,500","5","2012","계룡로10길"
"경상남도 거제시 고현동","4**","8m미만","29.7","월세","202005","10","200","25","2011","계룡로10길"
"경상남도 거제시 고현동","7**","8m미만","29.75","월세","202010","24","200","25","2008","계룡로10길"
"경상남도 거제시 고현동","1***","8m미만","30","월세","202007","1","50","18","2004","계룡로6길"
"경상남도 거제시 고현동","2**","12m미만","30","월세","202005","1","200","30","2014","거제중앙로12길"
"경상남도 거제시 고현동","1***","12m미만","30","월세","202101","1","300","25","2005","중곡2로6길"
"경상남도 거제시 고현동","4**","8m미만","30","월세","202003","2","100","20","2008","계룡로10길"
"경상남도 거제시 고현동","4**","12m미만","30","월세","202012","2","200","32","2010","계룡로8길"
"경상남도 거제시 고현동","8**","25m미만","30","월세","202009","2","200","27","2014","고현로"
"경상남도 거제시 고현동","7**","25m미만","30","월세","202007","3","100","30","2017","고현로"
"경상남도 거제시 고현동","2**","8m미만","30","월세","202003","4","1,000","15","2012","거제중앙로12길"
"경상남도 거제시 고현동","7**","25m미만","30","월세","202102","5","100","30","2017","고현로"
"경상남도 거제시 고현동","1***","-","30","월세","202010","5","200","20","2015","null"
"경상남도 거제시 고현동","7**","25m미만","30","월세","202004","8","100","30","2017","고현로"
"경상남도 거제시 고현동","4**","8m미만","30","월세","202003","10","200","20","2012","계룡로8길"
"경상남도 거제시 고현동","1**","8m미만","30","월세","202005","10","1,500","5","2014","계룡로10길"
"경상남도 거제시 고현동","8*","12m미만","30","월세","202005","11","200","25","2011","거제중앙로20길"
"경상남도 거제시 고현동","6**","12m미만","30","월세","202011","11","1,000","34","2008","거제중앙로15길"
"경상남도 거제시 고현동","7**","8m미만","30","월세","202003","12","100","28","2015","고현로"
"경상남도 거제시 고현동","1***","12m미만","30","월세","202101","12","200","25","2008","중곡로1길"
"경상남도 거제시 고현동","4**","12m미만","30","월세","202005","13","300","35","2012","계룡로8길"
"경상남도 거제시 고현동","7**","12m미만","30","월세","202003","14","50","25","2012","거제중앙로13길"
"경상남도 거제시 고현동","7**","-","30","월세","202102","15","100","25","null","null"
"경상남도 거제시 고현동","3**","25m미만","30","월세","202005","17","200","25","2015","고현천로"
"경상남도 거제시 고현동","7**","25m미만","30","월세","202102","20","100","30","2017","고현로"
"경상남도 거제시 고현동","4**","12m미만","30","월세","202102","20","300","30","2010","계룡로8길"
"경상남도 거제시 고현동","4**","12m미만","30","월세","202012","22","100","25","2007","거제중앙로7길"
"경상남도 거제시 고현동","1**","8m미만","30","월세","202005","22","100","23","2008","고현로2길"
"경상남도 거제시 고현동","2**","25m미만","30","월세","202006","22","300","25","2010","거제중앙로10길"
"경상남도 거제시 고현동","9**","12m미만","30","월세","202007","22","1,000","21","2009","중곡2로4길"
"경상남도 거제시 고현동","2**","8m미만","30","월세","202008","23","200","40","2010","거제중앙로12길"
"경상남도 거제시 고현동","9**","12m미만","30","월세","202010","23","300","32","2012","중곡2로2길"
"경상남도 거제시 고현동","4**","8m미만","30","월세","202003","24","100","25","2008","계룡로8길"
"경상남도 거제시 고현동","8**","25m미만","30","월세","202011","25","100","25","2014","고현로"
"경상남도 거제시 고현동","1**","12m미만","30","월세","202012","25","100","25","2012","계룡로10길"
"경상남도 거제시 고현동","1***","8m미만","30","월세","202010","26","50","18","2004","계룡로6길"
"경상남도 거제시 고현동","6**","8m미만","30","월세","202006","28","200","23","2014","거제중앙로17길"
"경상남도 거제시 고현동","9**","12m미만","30","월세","202009","29","200","28","2009","중곡2로4길"
"경상남도 거제시 고현동","8*","12m미만","30","월세","202004","30","300","25","2012","고현로12길"
"경상남도 거제시 고현동","1***","12m미만","30","월세","202010","30","500","20","null","중곡로3길"
"경상남도 거제시 고현동","1**","-","30","전세","202007","3","3,500","0","2012","null"
"경상남도 거제시 고현동","1**","25m미만","30","전세","202003","10","1,200","0","2012","동문천로"
"경상남도 거제시 고현동","7*","8m미만","30","전세","202009","14","1,600","0","2014","동문2길"
"경상남도 거제시 고현동","7**","12m미만","30","전세","202012","24","4,000","0","2012","거제중앙로13길"
"경상남도 거제시 고현동","1***","-","30","전세","202003","27","4,500","0","2008","null"
"경상남도 거제시 고현동","7**","8m미만","33","월세","202008","4","300","33","2012","거제중앙로13길"
"경상남도 거제시 고현동","2**","25m미만","33","월세","202008","5","200","30","2017","거제중앙로10길"
"경상남도 거제시 고현동","1***","12m미만","33","월세","202005","8","100","23","2005","중곡로1길"
"경상남도 거제시 고현동","1**","12m미만","33","월세","202101","9","100","25","null","거제중앙로15길"
"경상남도 거제시 고현동","7*","8m미만","33","월세","202005","9","1,400","7","2014","동문2길"
"경상남도 거제시 고현동","7**","12m미만","33","월세","202007","10","100","20","2012","거제중앙로13길"
"경상남도 거제시 고현동","7**","8m미만","33","월세","202010","10","100","25","2012","계룡로"
"경상남도 거제시 고현동","1**","25m미만","33","월세","202008","10","1,200","17","2007","동문천로"
