"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 경상남도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","건축년도","도로명","해제사유발생일"
"경상남도 거제시 남부면 다대리","3**","다가구","8m미만","317.37","228","202010","22","22,500","2017","다대7길",""
"경상남도 거제시 남부면 다대리","3**","다가구","8m미만","337.11","235","202010","22","46,500","2017","다대7길",""
"경상남도 거제시 남부면 다대리","2**","다가구","8m미만","228.95","1802","202006","15","182,000","2017","거제대로",""
"경상남도 거제시 남부면 다대리","4**","단독","12m미만","40.35","195","202008","1","10,000","1925","다대5길",""
"경상남도 거제시 남부면 다대리","1**","단독","8m미만","65","227","202102","2","6,000","1970","다대4길",""
"경상남도 거제시 남부면 다대리","4**","단독","12m미만","181.16","256","202004","6","24,400","1993","다대5길",""
"경상남도 거제시 남부면 다포리","2**","단독","8m미만","49.4","188.2","202102","16","9,500","1979","다포3길",""
"경상남도 거제시 남부면 다포리","2**","단독","12m미만","40","197.3","202011","21","9,500","1955","다포4길",""
"경상남도 거제시 남부면 저구리","6**","다가구","8m미만","219.19","242","202007","15","26,500","2003","대포길",""
"경상남도 거제시 남부면 저구리","6**","다가구","8m미만","198.66","376","202006","21","30,000","2006","대포길","20200828"
"경상남도 거제시 남부면 저구리","6**","다가구","8m미만","198.66","376","202006","21","30,000","2006","대포길",""
"경상남도 거제시 남부면 저구리","7**","다가구","12m미만","339.86","398","202005","12","119,000","2017","거제남서로",""
"경상남도 거제시 남부면 저구리","1**","단독","8m미만","126.63","128","202006","22","22,800","2015","저구해안길",""
"경상남도 거제시 남부면 저구리","1*","단독","8m미만","128.51","144","202010","17","6,700","1954","저구1길",""
"경상남도 거제시 남부면 저구리","8*","단독","8m미만","76","188","202005","19","19,000","1987","저구2길",""
"경상남도 거제시 남부면 저구리","1**","단독","-","99.89","219","202006","12","8,000","2020","남부해안로",""
"경상남도 거제시 남부면 저구리","5**","단독","8m미만","120.86","418","202007","11","17,500","2002","근포1길",""
"경상남도 거제시 남부면 저구리","5**","단독","8m미만","63","575","202102","22","16,000","1977","근포2길",""
"경상남도 거제시 남부면 탑포리","5**","단독","8m미만","44","231","202009","24","7,600","1969","쌍근1길",""
"경상남도 거제시 남부면 탑포리","6*","단독","8m미만","74","236","202012","8","3,965","1952","탑포3길",""
"경상남도 거제시 남부면 탑포리","5**","단독","12m미만","226.12","243","202008","20","11,000","1997","남부해안로",""
"경상남도 거제시 능포동","6**","다가구","8m미만","293.25","172","202011","25","56,000","2013","옥수로",""
"경상남도 거제시 능포동","6**","다가구","8m미만","324.18","172","202007","10","59,000","2015","옥수로2길",""
"경상남도 거제시 능포동","6**","다가구","8m미만","353.42","185","202008","31","41,200","2015","옥수로8길",""
