"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 연립다세대(전월세)"
"주소구분 : 지번주소"
"시도 : 경상남도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세(만원)","층","건축년도","도로명"
"경상남도 거제시 사등면 성포리","207","0207","0000","대성루첸하우스","전세","49.5945","202006","16","1,500","0","3","2013","거제대로 5693"
"경상남도 거제시 사등면 성포리","207-3","0207","0003","대성루첸하우스 103,104동","전세","59.86","202011","16","10,000","0","4","2013","거제대로 5697-5"
"경상남도 거제시 사등면 성포리","207-3","0207","0003","대성루첸하우스 103,104동","전세","59.86","202011","16","10,000","0","4","2013","거제대로 5697-5"
"경상남도 거제시 사등면 성포리","356","0356","0000","미래미라지","월세","59.8748","202005","18","100","40","1","2016","성포로 124"
"경상남도 거제시 사등면 성포리","356","0356","0000","미래미라지","전세","84.97","202007","25","13,000","0","2","2016","성포로 124"
"경상남도 거제시 사등면 성포리","356","0356","0000","미래미라지","월세","84.97","202011","16","2,000","40","3","2016","성포로 124"
"경상남도 거제시 상동동","307","0307","0000","상동청목아델하임","전세","84.9919","202003","5","16,000","0","1","2013","고현천로 227"
"경상남도 거제시 상동동","307","0307","0000","상동청목아델하임","월세","84.9919","202003","27","1,000","50","3","2013","고현천로 227"
"경상남도 거제시 상동동","307","0307","0000","상동청목아델하임","월세","84.9919","202005","7","2,000","45","1","2013","고현천로 227"
"경상남도 거제시 상동동","307","0307","0000","상동청목아델하임","전세","84.9919","202005","28","18,000","0","1","2013","고현천로 227"
"경상남도 거제시 상동동","307","0307","0000","상동청목아델하임","전세","84.9973","202006","1","19,000","0","4","2013","고현천로 227"
"경상남도 거제시 상동동","307","0307","0000","상동청목아델하임","월세","84.9973","202006","10","1,000","70","1","2013","고현천로 227"
"경상남도 거제시 상동동","307","0307","0000","상동청목아델하임","전세","84.9919","202008","9","11,000","0","2","2013","고현천로 227"
"경상남도 거제시 상동동","307","0307","0000","상동청목아델하임","월세","84.9919","202008","31","1,000","75","1","2013","고현천로 227"
"경상남도 거제시 상동동","307","0307","0000","상동청목아델하임","전세","84.9919","202009","13","15,000","0","4","2013","고현천로 227"
"경상남도 거제시 상동동","307","0307","0000","상동청목아델하임","전세","84.9973","202009","16","21,000","0","1","2013","고현천로 227"
"경상남도 거제시 상동동","307","0307","0000","상동청목아델하임","전세","84.9919","202009","24","13,000","0","2","2013","고현천로 227"
"경상남도 거제시 상동동","307","0307","0000","상동청목아델하임","전세","84.9973","202010","8","21,000","0","4","2013","고현천로 227"
"경상남도 거제시 상동동","307","0307","0000","상동청목아델하임","전세","84.9973","202010","24","19,000","0","2","2013","고현천로 227"
