"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 상업/업무용(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","유형","지번","도로명","용도지역","건축물주용도","도로조건","전용/연면적(㎡)","대지면적(㎡)","거래금액(만원)","층","계약년월","계약일","지분구분","건축년도","해제사유발생일"
"경기도 가평군 가평읍 대곡리","집합","1**","비석거리길","제2종일반주거","제1종근린생활","8m미만","70.86"," ","9,000","1","202101","12"," ","1991",""
"경기도 가평군 가평읍 마장리","일반","1**","당목가일길","계획관리","제2종근린생활","8m미만","99.24","660.00","7,670","null","202010","12"," ","2008","20201013"
"경기도 가평군 가평읍 마장리","일반","1**","당목가일길","계획관리","제2종근린생활","8m미만","99.24","660.00","8,560","null","202010","12"," ","2008",""
"경기도 가평군 가평읍 마장리","일반","1**","가화로","계획관리","제2종근린생활","8m미만","69.56","321.00","7,278","null","202102","9"," ","2013",""
"경기도 가평군 가평읍 산유리","일반","6**","분자골로","계획관리","제2종근린생활","8m미만","72","625.00","19,789","null","202005","2"," ","2018",""
"경기도 가평군 가평읍 읍내리","집합","5**","석봉로191번길","제2종일반주거","제1종근린생활","8m미만","55.09"," ","4,000","1","202010","12"," ","1992",""
"경기도 가평군 가평읍 읍내리","일반","4**","가화로","일반상업","제1종근린생활","12m미만","160.14","245.00","38,000","null","202012","24"," ","1976",""
"경기도 가평군 가평읍 읍내리","일반","6**","옥골길","제2종일반주거","제2종근린생활","8m미만","71.12","124.00","20,900","null","202102","17"," ","2006",""
"경기도 가평군 가평읍 이화리","일반","8*","-","계획관리","숙박","8m미만","397.46","795.00","92,678","null","202011","30"," ","2016",""
"경기도 가평군 가평읍 이화리","일반","8*","호반로","계획관리","숙박","8m미만","159.82","237.00","30,213","null","202011","30"," ","2017",""
"경기도 가평군 가평읍 이화리","일반","1**","호반로","계획관리","숙박","12m미만","72","136.00","8,482","null","202101","9"," ","2018",""
"경기도 가평군 가평읍 이화리","일반","1**","호반로","계획관리","숙박","12m미만","72","145.00","7,600","null","202102","9"," ","2018",""
"경기도 가평군 북면 도대리","일반","3**","가화로","보전관리","기타","8m미만","135","1373.00","74,940","null","202011","18"," ","2018",""
"경기도 가평군 북면 도대리","일반","3**","가화로","보전관리","제2종근린생활","8m미만","320.93","544.00","73,406","null","202101","29"," ","2018",""
"경기도 가평군 북면 목동리","일반","5**","싸리재길","계획관리","제2종근린생활","8m미만","96.11","278.00","14,500","null","202012","18"," ","2001",""
"경기도 가평군 북면 목동리","일반","4*","멱골로","보전관리","제2종근린생활","8m미만","41.57","496.00","9,312","null","202102","25"," ","2001",""
"경기도 가평군 북면 백둔리","일반","4**","백둔로","계획관리","제1종근린생활","8m미만","141.45","874.00","49,400","null","202009","11"," ","2013",""
"경기도 가평군 북면 백둔리","일반","4**","백둔로","계획관리","숙박","8m미만","562.43","1090.00","79,785","null","202010","6"," ","2010",""
"경기도 가평군 북면 백둔리","일반","6**","백둔로616번길","계획관리","제2종근린생활","8m미만","197.89","1785.00","48,000","null","202101","29"," ","2007",""
"경기도 가평군 북면 백둔리","일반","4**","백둔로467번길","계획관리","숙박","8m미만","281.69","1515.00","41,721","null","202102","15"," ","2017",""
"경기도 가평군 북면 이곡리","일반","4**","카이저길","계획관리","제2종근린생활","8m미만","18","660.00","15,000","null","202004","17"," ","2020","20200508"
"경기도 가평군 북면 제령리","일반","5**","가화로","계획관리","제2종근린생활","8m미만","92.7","278.00","16,500","null","202006","8"," ","2014",""
"경기도 가평군 북면 제령리","일반","1**","가화로","계획관리","숙박","8m미만","254.94","603.00","31,500","null","202101","15"," ","null",""
"경기도 가평군 상면 덕현리","집합","4**","청군로","자연녹지","숙박","12m미만","5.4"," ","1,100","5","202003","23"," ","1992",""
"경기도 가평군 상면 덕현리","집합","4**","청군로","자연녹지","숙박","12m미만","5.4"," ","1,000","5","202003","25"," ","1992",""
"경기도 가평군 상면 덕현리","집합","4**","청군로","자연녹지","숙박","12m미만","5.4"," ","700","7","202005","14"," ","1992",""
"경기도 가평군 상면 덕현리","집합","4**","청군로","자연녹지","숙박","12m미만","5.4"," ","850","5","202005","27"," ","1992",""
"경기도 가평군 상면 덕현리","집합","4**","청군로","자연녹지","숙박","12m미만","9"," ","2,200","7","202007","15"," ","1992",""
"경기도 가평군 상면 덕현리","집합","4**","청군로","자연녹지","숙박","12m미만","5.4"," ","1,600","5","202009","11"," ","1992",""
"경기도 가평군 상면 덕현리","집합","4**","청군로","자연녹지","숙박","12m미만","5.4"," ","150","4","202010","25"," ","1992",""
"경기도 가평군 상면 덕현리","집합","4**","청군로","자연녹지","숙박","12m미만","5.4"," ","900","4","202010","30"," ","1992",""
"경기도 가평군 상면 덕현리","집합","4**","청군로","자연녹지","숙박","12m미만","5.4"," ","1,500","5","202011","6"," ","1992",""
"경기도 가평군 상면 덕현리","집합","4**","청군로","자연녹지","숙박","12m미만","5.4"," ","1,100","5","202011","19"," ","1992",""
"경기도 가평군 상면 덕현리","일반","1**","청군로","자연녹지","제2종근린생활","8m미만","64.01","391.00","16,000","null","202012","19"," ","2015","20210305"
"경기도 가평군 상면 상동리","일반","8*","돌아우길","계획관리","숙박","8m미만","300.54","939.00","69,000","null","202008","26"," ","2019","20201012"
"경기도 가평군 상면 상동리","일반","8*","돌아우길","계획관리","숙박","8m미만","337.61","953.00","81,000","null","202008","26"," ","2019",""
"경기도 가평군 상면 상동리","일반","8*","돌아우길","계획관리","숙박","8m미만","300.54","939.00","69,645","null","202008","26"," ","2019",""
"경기도 가평군 상면 상동리","집합","1**","비룡로","계획관리","제2종근린생활","12m미만","40.99"," ","4,204","1","202008","31"," ","2005",""
"경기도 가평군 상면 상동리","집합","1**","비룡로","계획관리","제2종근린생활","12m미만","40.99"," ","3,796","2","202008","31"," ","2005",""
"경기도 가평군 상면 상동리","일반","3**","안말길","계획관리","제2종근린생활","8m미만","111.02","737.00","22,390","null","202011","16"," ","2011",""
"경기도 가평군 상면 연하리","일반","1**","안먹골길","제1종일반주거","제2종근린생활","8m미만","95.94","314.00","13,500","null","202008","14"," ","2012",""
"경기도 가평군 상면 연하리","일반","3**","기와집길","계획관리","제2종근린생활","8m미만","245.3","609.00","29,600","null","202009","1"," ","2012","20200910"
"경기도 가평군 상면 연하리","일반","3**","기와집길","계획관리","제2종근린생활","8m미만","245.3","609.00","30,300","null","202009","1"," ","2012",""
"경기도 가평군 상면 연하리","일반","1**","청군로","자연녹지","제2종근린생활","12m미만","267.12","920.00","35,700","null","202010","13"," ","2008",""
"경기도 가평군 상면 임초리","일반","2**","임초밤안골로","보전관리","제2종근린생활","8m미만","121.96","765.00","39,400","null","202012","9"," ","2015",""
"경기도 가평군 상면 임초리","일반","4**","청군로","계획관리","숙박","8m미만","129.8","495.00","21,100","null","202012","24"," ","2014",""
"경기도 가평군 상면 임초리","일반","4**","청군로","계획관리","숙박","8m미만","199.18","398.00","21,300","null","202012","24"," ","2015",""
