"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 상업/업무용(매매)"
"주소구분 : 지번주소"
"시도 : 전라남도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","유형","지번","도로명","용도지역","건축물주용도","도로조건","전용/연면적(㎡)","대지면적(㎡)","거래금액(만원)","층","계약년월","계약일","지분구분","건축년도","해제사유발생일"
"전라남도 고흥군 고흥읍 남계리","집합","1***","고흥군청로","제2종일반주거","제1종근린생활","25m미만","79.48"," ","30,000","1","202006","9"," ","2020",""
"전라남도 고흥군 고흥읍 남계리","집합","1***","고흥군청로","제2종일반주거","제1종근린생활","25m미만","71.2"," ","27,400","1","202006","16"," ","2020",""
"전라남도 고흥군 고흥읍 남계리","집합","1***","고흥군청로","제2종일반주거","제1종근린생활","25m미만","116.07"," ","31,300","4","202006","16"," ","2020",""
"전라남도 고흥군 고흥읍 남계리","집합","9**","홍교길","일반상업","제1종근린생활","8m미만","129.05"," ","28,000","1","202006","26"," ","2020",""
"전라남도 고흥군 고흥읍 남계리","일반","3**","고흥로","제1종일반주거","제2종근린생활","12m미만","39.67","205.00","8,680","null","202007","1"," ","1978",""
"전라남도 고흥군 고흥읍 남계리","집합","4**","홍교길","일반상업","제2종근린생활","8m미만","120.13"," ","20,000","2","202007","9"," ","2018",""
"전라남도 고흥군 고흥읍 남계리","집합","4**","홍교길","일반상업","제2종근린생활","8m미만","120.13"," ","20,000","2","202007","9"," ","2018",""
"전라남도 고흥군 고흥읍 남계리","집합","1***","고흥군청로","제2종일반주거","제1종근린생활","25m미만","82.54"," ","31,500","1","202007","13"," ","2020",""
"전라남도 고흥군 고흥읍 남계리","집합","1***","터미널길","준주거","제2종근린생활","25m미만","88.16"," ","19,820","4","202007","13"," ","2019",""
"전라남도 고흥군 고흥읍 남계리","집합","1***","고흥군청로","제2종일반주거","제1종근린생활","25m미만","71.2"," ","27,000","1","202007","13"," ","2020",""
"전라남도 고흥군 고흥읍 남계리","집합","1***","고흥군청로","준주거","제1종근린생활","25m미만","66.93"," ","51,759","1","202009","1"," ","2020",""
"전라남도 고흥군 고흥읍 남계리","집합","9**","-","일반상업","제2종근린생활","8m미만","75.42"," ","12,000","2","202009","9"," ","2015",""
"전라남도 고흥군 고흥읍 남계리","집합","7**","봉남봉동길","일반상업","제2종근린생활","8m미만","39.51"," ","4,500","1","202011","20"," ","2007",""
"전라남도 고흥군 고흥읍 남계리","집합","5**","흥양길","일반상업","제2종근린생활","12m미만","110.67"," ","17,100","2","202011","20"," ","2020",""
"전라남도 고흥군 고흥읍 남계리","집합","1***","터미널길","준주거","제2종근린생활","25m미만","36.13"," ","9,500","1","202012","2"," ","2019",""
"전라남도 고흥군 고흥읍 남계리","집합","6**","봉동주공길","준주거","제2종근린생활","8m미만","162.76"," ","24,000","2","202101","6"," ","2013",""
"전라남도 고흥군 고흥읍 남계리","집합","1***","고흥군청로","준주거","제2종근린생활","25m미만","114.39"," ","44,730","2","202101","12"," ","2020",""
"전라남도 고흥군 고흥읍 남계리","일반","6**","봉남봉동길","일반상업","숙박","8m미만","1082.18","468.00","70,000","null","202102","4"," ","1997",""
"전라남도 고흥군 고흥읍 남계리","집합","1***","고흥군청로","준주거","제1종근린생활","25m미만","50.44"," ","38,852","1","202102","22"," ","2020",""
"전라남도 고흥군 고흥읍 서문리","집합","2**","여산당촌길","일반상업","제2종근린생활","12m미만","114.57"," ","20,000","null","202003","6"," ","2006",""
"전라남도 고흥군 고흥읍 서문리","일반","2**","서문여산길","일반상업","제2종근린생활","8m미만","595.23","396.00","70,034","null","202006","5"," ","1983",""
"전라남도 고흥군 고흥읍 서문리","집합","2**","터미널길","일반상업","제2종근린생활","12m미만","157.06"," ","10,667","3","202009","15"," ","1997",""
"전라남도 고흥군 고흥읍 서문리","일반","2**","-","제1종일반주거","제2종근린생활","-","161.28","397.00","36,000","null","202010","30"," ","2000",""
"전라남도 고흥군 고흥읍 옥하리","일반","2**","봉황길","일반상업","제2종근린생활","8m미만","297.21","212.00","13,000","null","202004","25"," ","1989",""
"전라남도 고흥군 고흥읍 옥하리","일반","1**","흥양길","제1종일반주거","업무","12m미만","436.83","1325.00","44,001","null","202006","15"," ","1995",""
"전라남도 고흥군 고흥읍 호동리","일반","6**","호동길","계획관리","제2종근린생활","8m미만","175.52","569.00","2,530","null","202009","22"," ","1993",""
"전라남도 고흥군 고흥읍 호형리","일반","1***","봉동주공길","준공업","숙박","12m미만","1914.42","1582.00","202,240","null","202006","12"," ","2014","20200713"
"전라남도 고흥군 고흥읍 호형리","일반","1***","봉동주공길","준공업","숙박","12m미만","1914.42","1582.00","213,790","null","202007","13"," ","2014",""
"전라남도 고흥군 금산면 대흥리","일반","4**","금산중촌길","계획관리","제2종근린생활","12m미만","99.1","161.00","3,000","null","202102","22"," ","1986",""
"전라남도 고흥군 금산면 어전리","일반","9**","-","계획관리","기타","12m미만","285.87","454.00","7,980","null","202003","16"," ","2013",""
"전라남도 고흥군 금산면 어전리","일반","4**","거금일주로","계획관리","제2종근린생활","8m미만","663.19","1593.75","34,000","null","202006","17"," ","2011","20200619"
"전라남도 고흥군 금산면 오천리","일반","2**","오천중앙길","계획관리","제1종근린생활","8m미만","158.58","188.00","7,100","null","202008","13"," ","1980",""
"전라남도 고흥군 대서면 남정리","일반","7**","봉두로","보전관리","제2종근린생활","12m미만","132","666.00","6,500","null","202006","9"," ","2020",""
"전라남도 고흥군 대서면 남정리","일반","7**","봉두로","보전관리","제2종근린생활","12m미만","132","666.00","6,500","null","202010","27"," ","2020",""
"전라남도 고흥군 대서면 화산리","일반","9**","봉두로","계획관리","제2종근린생활","12m미만","27","990.00","7,500","null","202010","8"," ","2008",""
"전라남도 고흥군 도덕면 도덕리","일반","5*","학동2길","계획관리","제2종근린생활","12m미만","198","207.00","4,100","null","202005","4"," ","null","20200504"
"전라남도 고흥군 도덕면 도덕리","일반","5*","학동2길","계획관리","제1종근린생활","12m미만","198","207.00","4,100","null","202005","4"," ","null",""
"전라남도 고흥군 도덕면 봉덕리","일반","9**","오마로","계획관리","제2종근린생활","8m미만","77","198.00","4,670","null","202102","25"," ","1990",""
"전라남도 고흥군 도양읍 봉암리","집합","2***","목넘가는길","일반상업","제2종근린생활","25m미만","66"," ","19,988","1","202003","27"," ","1987",""
"전라남도 고흥군 도양읍 봉암리","집합","2***","목넘가는길","일반상업","제2종근린생활","25m미만","69.88"," ","8,012","1","202003","27"," ","1987",""
"전라남도 고흥군 도양읍 봉암리","집합","2***","비봉로","준주거","제1종근린생활","8m미만","67.05"," ","3,000","null","202004","7"," ","1992",""
"전라남도 고흥군 도양읍 봉암리","집합","2***","비봉로","일반상업","제1종근린생활","12m미만","701.12"," ","25,000","3","202004","28"," ","1985",""
"전라남도 고흥군 도양읍 봉암리","집합","2***","비봉로","일반상업","제1종근린생활","12m미만","71.37"," ","3,464","1","202004","28"," ","1985",""
"전라남도 고흥군 도양읍 봉암리","집합","2***","비봉로","일반상업","제1종근린생활","12m미만","47.58"," ","2,250","1","202004","28"," ","1985",""
"전라남도 고흥군 도양읍 봉암리","일반","3***","녹동신항1길","일반상업","숙박","25m미만","1750.85","610.10","180,000","null","202005","8"," ","2005",""
"전라남도 고흥군 도양읍 봉암리","일반","2***","녹동남문길","일반상업","숙박","8m미만","398.31","264.00","14,500","null","202006","30"," ","null",""
"전라남도 고흥군 도양읍 봉암리","일반","2***","녹동남촌2길","일반상업","제1종근린생활","12m미만","205.46","166.00","18,000","null","202007","6"," ","1981",""
"전라남도 고흥군 도양읍 봉암리","일반","2***","녹동남촌2길","일반상업","제1종근린생활","12m미만","205.46","166.00","18,000","null","202007","6"," ","1981","20200722"
"전라남도 고흥군 도양읍 봉암리","집합","2***","-","일반상업","제1종근린생활","25m미만","36.36"," ","9,000","2","202007","29"," ","1986",""
"전라남도 고흥군 도양읍 봉암리","집합","2***","-","일반상업","제1종근린생활","25m미만","36.36"," ","15,000","1","202007","29"," ","1986",""
"전라남도 고흥군 도양읍 봉암리","일반","3***","녹동신항3길","제2종일반주거","제2종근린생활","8m미만","49.4","254.90","5,000","null","202007","30"," ","1995",""
"전라남도 고흥군 도양읍 봉암리","일반","1***","대봉문화의길","자연녹지","제1종근린생활","-","165.29","744.00","1,000","null","202011","18"," ","null",""
"전라남도 고흥군 도양읍 봉암리","집합","3***","천마로","제2종일반주거","제2종근린생활","12m미만","137"," ","4,000","1","202102","8"," ","2001",""
"전라남도 고흥군 도화면 당오리","일반","5**","중심길","계획관리","제2종근린생활","8m미만","36","108.00","4,000","null","202009","15"," ","1940",""
"전라남도 고흥군 도화면 당오리","집합","5**","중심길","계획관리","제1종근린생활","12m미만","123.52"," ","2,800","2","202101","28"," ","1995",""
"전라남도 고흥군 도화면 봉룡리","일반","1***","황산길","계획관리","제2종근린생활","8m미만","96","660.00","8,500","null","202012","30"," ","2017","20210105"
"전라남도 고흥군 도화면 봉룡리","일반","2***","도화로","농림","제2종근린생활","8m미만","192","990.00","15,331","null","202102","23"," ","2020",""
"전라남도 고흥군 동강면 노동리","일반","9*","-","농림","제2종근린생활","8m미만","1565.3","3860.00","42,307","null","202007","13"," ","1998",""
"전라남도 고흥군 동일면 덕흥리","일반","6**","성두구룡길","계획관리","제2종근린생활","12m미만","454.08","407.00","16,500","null","202004","28"," ","1984",""
"전라남도 고흥군 봉래면 신금리","일반","1***","나로도항길","계획관리","숙박","8m미만","1447.2","725.40","195,000","null","202007","30"," ","2015",""
"전라남도 고흥군 영남면 우천리","일반","5*","용바위길","자연환경보전","제2종근린생활","8m미만","134.88","178.00","5,000","null","202008","11"," ","1994",""
"전라남도 고흥군 풍양면 상림리","일반","1**","풍남로","계획관리","제2종근린생활","12m미만","1109.2","5922.30","30,000","null","202009","24"," ","1991","20201005"
"전라남도 고흥군 풍양면 상림리","일반","1**","풍남로","계획관리","제2종근린생활","12m미만","1109.2","5922.30","30,000","null","202009","24"," ","1991",""
"전라남도 고흥군 풍양면 야막리","일반","4**","고흥로","제2종일반주거","제2종근린생활","8m미만","168","530.00","5,000","null","202009","4"," ","1997",""
"전라남도 곡성군 곡성읍 읍내리","일반","2**","읍내8길","일반상업","제1종근린생활","8m미만","108.96","73.00","10,000","null","202003","13"," ","1996",""
"전라남도 곡성군 곡성읍 읍내리","일반","7**","중앙로","제2종일반주거","제1종근린생활","25m미만","235.85","648.00","33,000","null","202004","27"," ","1984",""
"전라남도 곡성군 곡성읍 읍내리","일반","3**","중앙로","일반상업","제1종근린생활","25m미만","185","103.00","26,500","null","202006","17"," ","1983",""
"전라남도 곡성군 곡성읍 읍내리","일반","1**","읍내24길","일반상업","제1종근린생활","12m미만","168.75","288.00","18,000","null","202012","15"," ","1986",""
"전라남도 곡성군 곡성읍 읍내리","일반","1**","읍내24길","일반상업","제1종근린생활","12m미만","92.24","206.00","27,000","null","202012","15"," ","1980",""
"전라남도 곡성군 곡성읍 학정리","집합","5**","삼인동길","제2종일반주거","제1종근린생활","12m미만","25.56"," ","1,000","null","202101","15"," ","1997",""
"전라남도 곡성군 목사동면 용사리","일반","2**","용사사당길","계획관리","제1종근린생활","8m미만","59.94","314.00","2,200","null","202006","9"," ","1972",""
"전라남도 곡성군 목사동면 용사리","일반","2**","용사사당길","계획관리","제1종근린생활","8m미만","59.94","314.00","2,200","null","202012","9"," ","1972",""
"전라남도 곡성군 목사동면 죽정리","일반","7**","-","계획관리","기타","12m미만","12.5","1322.00","3,610","null","202101","22"," ","2015",""
"전라남도 곡성군 석곡면 덕흥리","일반","5*","-","계획관리","기타","8m미만","65.94","549.38","2,000","null","202012","24"," ","2008",""
"전라남도 곡성군 석곡면 덕흥리","일반","5*","-","계획관리","기타","8m미만","135.78","597.00","10,000","null","202012","24"," ","2004",""
"전라남도 곡성군 석곡면 방송리","일반","4**","방송길","계획관리","제2종근린생활","8m미만","132.2","312.00","5,000","null","202102","5"," ","1980",""
"전라남도 곡성군 석곡면 석곡리","일반","4*","석곡로","일반상업","제1종근린생활","12m미만","45.82","26.00","2,000","null","202008","7"," ","1978",""
"전라남도 곡성군 석곡면 석곡리","일반","4*","석곡로","일반상업","제1종근린생활","12m미만","16.2","74.40","1,500","null","202101","6"," ","1977",""
"전라남도 곡성군 오곡면 압록리","일반","1**","대황강로","계획관리","제2종근린생활","12m미만","216.56","645.00","24,900","null","202101","25"," ","1994",""
"전라남도 곡성군 오곡면 오지리","일반","5**","오지4길","제1종일반주거","제2종근린생활","8m미만","88.54","280.00","2,000","null","202101","12"," ","1954",""
"전라남도 곡성군 오산면 청단리","일반","2**","오산로","계획관리","제2종근린생활","12m미만","565.2","2867.00","47,000","null","202004","9"," ","1990","20200506"
"전라남도 곡성군 오산면 청단리","일반","2**","오산로","계획관리","제2종근린생활","12m미만","565.2","2867.00","47,000","null","202004","9"," ","1990",""
"전라남도 곡성군 옥과면 소룡리","일반","8**","소룡길","계획관리","제2종근린생활","8m미만","66","865.00","8,700","null","202003","12"," ","1993",""
