"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 아파트(전월세)"
"주소구분 : 지번주소"
"시도 : 전라남도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세(만원)","층","건축년도","도로명"
"전라남도 고흥군 고흥읍 등암리","1680","1680","0000","고흥남계엘에이치1단지","월세","46.7","202007","27","2,179","24","15","2020","터미널길 17-1"
"전라남도 고흥군 고흥읍 등암리","1680","1680","0000","고흥남계엘에이치1단지","월세","46.7","202007","28","2,179","24","10","2020","터미널길 17-35"
"전라남도 고흥군 고흥읍 등암리","1680","1680","0000","고흥남계엘에이치1단지","월세","27.82","202007","29","756","14","7","2020","터미널길 17-35"
"전라남도 고흥군 고흥읍 등암리","1680","1680","0000","고흥남계엘에이치1단지","월세","46.7","202009","14","679","28","14","2020","터미널길 17-1"
"전라남도 고흥군 고흥읍 등암리","1680","1680","0000","고흥남계엘에이치1단지","월세","46.7","202009","14","679","28","1","2020","터미널길 17-1"
"전라남도 고흥군 고흥읍 등암리","1680","1680","0000","고흥남계엘에이치1단지","월세","46.7","202009","17","679","28","9","2020","터미널길 17-1"
"전라남도 고흥군 고흥읍 등암리","1680","1680","0000","고흥남계엘에이치1단지","월세","37.77","202009","17","606","21","10","2020","터미널길 17-1"
"전라남도 고흥군 고흥읍 등암리","1680","1680","0000","고흥남계엘에이치1단지","월세","27.82","202009","17","2,256","6","4","2020","터미널길 17-1"
"전라남도 고흥군 고흥읍 등암리","1680","1680","0000","고흥남계엘에이치1단지","월세","37.77","202009","18","3,606","8","6","2020","터미널길 17-1"
"전라남도 고흥군 고흥읍 등암리","1680","1680","0000","고흥남계엘에이치1단지","월세","37.77","202009","18","3,606","8","9","2020","터미널길 17-35"
"전라남도 고흥군 고흥읍 등암리","1680","1680","0000","고흥남계엘에이치1단지","월세","37.77","202009","18","3,606","8","14","2020","터미널길 17-1"
"전라남도 고흥군 고흥읍 등암리","1680","1680","0000","고흥남계엘에이치1단지","월세","46.7","202009","18","4,979","10","8","2020","터미널길 17-1"
"전라남도 고흥군 고흥읍 등암리","1680","1680","0000","고흥남계엘에이치1단지","월세","37.77","202009","18","3,606","8","10","2020","터미널길 17-1"
"전라남도 고흥군 고흥읍 등암리","1680","1680","0000","고흥남계엘에이치1단지","월세","37.77","202009","18","3,606","8","9","2020","터미널길 17-1"
"전라남도 고흥군 고흥읍 등암리","1680","1680","0000","고흥남계엘에이치1단지","월세","37.77","202009","18","3,606","8","3","2020","터미널길 17-1"
"전라남도 고흥군 고흥읍 등암리","1680","1680","0000","고흥남계엘에이치1단지","월세","46.7","202009","18","4,979","10","13","2020","터미널길 17-1"
"전라남도 고흥군 고흥읍 등암리","1680","1680","0000","고흥남계엘에이치1단지","월세","46.7","202009","18","4,979","10","1","2020","터미널길 17-1"
"전라남도 고흥군 고흥읍 등암리","1680","1680","0000","고흥남계엘에이치1단지","월세","37.77","202009","18","3,606","8","15","2020","터미널길 17-1"
"전라남도 고흥군 고흥읍 등암리","1680","1680","0000","고흥남계엘에이치1단지","월세","37.77","202009","18","3,606","8","7","2020","터미널길 17-1"
"전라남도 고흥군 고흥읍 등암리","1680","1680","0000","고흥남계엘에이치1단지","월세","37.77","202009","18","3,606","8","7","2020","터미널길 17-1"
"전라남도 고흥군 고흥읍 등암리","1680","1680","0000","고흥남계엘에이치1단지","월세","37.77","202009","18","3,606","8","8","2020","터미널길 17-1"
"전라남도 고흥군 고흥읍 등암리","1680","1680","0000","고흥남계엘에이치1단지","월세","37.77","202009","18","3,606","8","8","2020","터미널길 17-35"
"전라남도 고흥군 고흥읍 등암리","1680","1680","0000","고흥남계엘에이치1단지","월세","27.82","202009","19","2,256","6","1","2020","터미널길 17-1"
"전라남도 고흥군 고흥읍 등암리","1680","1680","0000","고흥남계엘에이치1단지","월세","37.77","202009","20","3,606","8","3","2020","터미널길 17-1"
"전라남도 고흥군 고흥읍 등암리","1680","1680","0000","고흥남계엘에이치1단지","월세","27.82","202009","21","2,256","6","6","2020","터미널길 17-1"
"전라남도 고흥군 고흥읍 등암리","1680","1680","0000","고흥남계엘에이치1단지","월세","46.7","202009","21","4,979","10","2","2020","터미널길 17-1"
"전라남도 고흥군 고흥읍 등암리","1680","1680","0000","고흥남계엘에이치1단지","월세","27.82","202009","21","1,956","8","13","2020","터미널길 17-1"
"전라남도 고흥군 고흥읍 등암리","1680","1680","0000","고흥남계엘에이치1단지","월세","27.82","202009","21","2,256","6","14","2020","터미널길 17-1"
"전라남도 고흥군 고흥읍 등암리","1680","1680","0000","고흥남계엘에이치1단지","월세","37.77","202009","21","3,606","8","12","2020","터미널길 17-1"
"전라남도 고흥군 고흥읍 등암리","1680","1680","0000","고흥남계엘에이치1단지","월세","46.7","202009","21","4,979","10","4","2020","터미널길 17-1"
"전라남도 고흥군 고흥읍 등암리","1680","1680","0000","고흥남계엘에이치1단지","월세","46.7","202009","21","4,979","10","12","2020","터미널길 17-1"
"전라남도 고흥군 고흥읍 등암리","1680","1680","0000","고흥남계엘에이치1단지","월세","37.77","202009","21","3,606","8","6","2020","터미널길 17-1"
"전라남도 고흥군 고흥읍 등암리","1680","1680","0000","고흥남계엘에이치1단지","월세","46.7","202009","22","3,179","19","14","2020","터미널길 17-1"
"전라남도 고흥군 고흥읍 등암리","1680","1680","0000","고흥남계엘에이치1단지","월세","37.77","202009","23","3,606","8","14","2020","터미널길 17-1"
"전라남도 고흥군 고흥읍 등암리","1680","1680","0000","고흥남계엘에이치1단지","월세","37.77","202009","23","3,606","8","10","2020","터미널길 17-1"
"전라남도 고흥군 고흥읍 등암리","1680","1680","0000","고흥남계엘에이치1단지","월세","37.77","202009","23","3,606","8","6","2020","터미널길 17-1"
"전라남도 고흥군 고흥읍 등암리","1680","1680","0000","고흥남계엘에이치1단지","월세","37.77","202009","24","3,606","8","5","2020","터미널길 17-1"
"전라남도 고흥군 고흥읍 등암리","1680","1680","0000","고흥남계엘에이치1단지","월세","46.7","202009","24","4,979","10","12","2020","터미널길 17-1"
"전라남도 고흥군 고흥읍 등암리","1680","1680","0000","고흥남계엘에이치1단지","월세","37.77","202009","24","3,606","8","12","2020","터미널길 17-1"
"전라남도 고흥군 고흥읍 등암리","1680","1680","0000","고흥남계엘에이치1단지","월세","37.77","202009","24","3,606","8","5","2020","터미널길 17-35"
"전라남도 고흥군 고흥읍 등암리","1680","1680","0000","고흥남계엘에이치1단지","월세","37.77","202009","25","3,606","8","13","2020","터미널길 17-1"
"전라남도 고흥군 고흥읍 등암리","1680","1680","0000","고흥남계엘에이치1단지","월세","46.7","202009","25","679","28","7","2020","터미널길 17-1"
"전라남도 고흥군 고흥읍 등암리","1680","1680","0000","고흥남계엘에이치1단지","월세","37.77","202009","28","3,606","8","10","2020","터미널길 17-1"
"전라남도 고흥군 고흥읍 등암리","1680","1680","0000","고흥남계엘에이치1단지","월세","37.77","202009","28","3,606","8","8","2020","터미널길 17-1"
"전라남도 고흥군 고흥읍 등암리","1680","1680","0000","고흥남계엘에이치1단지","월세","37.77","202009","28","3,606","8","12","2020","터미널길 17-1"
"전라남도 고흥군 고흥읍 등암리","1680","1680","0000","고흥남계엘에이치1단지","월세","46.7","202009","28","4,979","10","3","2020","터미널길 17-1"
"전라남도 고흥군 고흥읍 등암리","1680","1680","0000","고흥남계엘에이치1단지","월세","46.7","202009","28","4,979","10","12","2020","터미널길 17-1"
"전라남도 고흥군 고흥읍 등암리","1680","1680","0000","고흥남계엘에이치1단지","월세","37.77","202009","28","606","21","15","2020","터미널길 17-35"
"전라남도 고흥군 고흥읍 등암리","1680","1680","0000","고흥남계엘에이치1단지","월세","37.77","202010","8","3,606","8","3","2020","터미널길 17-35"
"전라남도 고흥군 고흥읍 등암리","1680","1680","0000","고흥남계엘에이치1단지","월세","37.77","202010","12","3,606","8","13","2020","터미널길 17-35"
"전라남도 고흥군 고흥읍 등암리","1680","1680","0000","고흥남계엘에이치1단지","월세","46.7","202010","12","4,979","10","7","2020","터미널길 17-35"
"전라남도 고흥군 고흥읍 등암리","1680","1680","0000","고흥남계엘에이치1단지","월세","37.77","202010","13","3,606","8","5","2020","터미널길 17-35"
"전라남도 고흥군 고흥읍 등암리","1680","1680","0000","고흥남계엘에이치1단지","월세","27.82","202010","14","2,256","6","4","2020","터미널길 17-35"
"전라남도 고흥군 고흥읍 등암리","1680","1680","0000","고흥남계엘에이치1단지","월세","46.7","202010","23","679","27","5","2020","터미널길 17-35"
"전라남도 고흥군 고흥읍 등암리","1680","1680","0000","고흥남계엘에이치1단지","월세","27.82","202011","9","1,058","19","8","2020","터미널길 17-35"
"전라남도 고흥군 고흥읍 등암리","1680","1680","0000","고흥남계엘에이치1단지","월세","46.7","202011","9","2,615","29","8","2020","터미널길 17-35"
"전라남도 고흥군 고흥읍 등암리","1680","1680","0000","고흥남계엘에이치1단지","월세","27.82","202011","9","1,058","19","11","2020","터미널길 17-35"
"전라남도 고흥군 고흥읍 등암리","1680","1680","0000","고흥남계엘에이치1단지","월세","37.77","202011","9","1,968","26","14","2020","터미널길 17-35"
"전라남도 고흥군 고흥읍 등암리","1680","1680","0000","고흥남계엘에이치1단지","월세","27.82","202011","9","1,058","19","5","2020","터미널길 17-35"
"전라남도 고흥군 고흥읍 등암리","1680","1680","0000","고흥남계엘에이치1단지","월세","27.82","202011","9","1,058","19","9","2020","터미널길 17-35"
"전라남도 고흥군 고흥읍 등암리","1680","1680","0000","고흥남계엘에이치1단지","월세","27.82","202011","9","831","15","14","2020","터미널길 17-35"
"전라남도 고흥군 고흥읍 등암리","1680","1680","0000","고흥남계엘에이치1단지","월세","27.82","202011","9","831","15","12","2020","터미널길 17-35"
"전라남도 고흥군 고흥읍 등암리","1680","1680","0000","고흥남계엘에이치1단지","월세","46.7","202011","9","2,615","29","7","2020","터미널길 17-35"
"전라남도 고흥군 고흥읍 등암리","1680","1680","0000","고흥남계엘에이치1단지","월세","37.77","202011","9","1,547","21","4","2020","터미널길 17-35"
"전라남도 고흥군 고흥읍 등암리","1680","1680","0000","고흥남계엘에이치1단지","월세","27.82","202011","9","907","16","13","2020","터미널길 17-35"
"전라남도 고흥군 고흥읍 등암리","1680","1680","0000","고흥남계엘에이치1단지","월세","37.77","202011","9","1,406","19","9","2020","터미널길 17-35"
"전라남도 고흥군 고흥읍 등암리","1680","1680","0000","고흥남계엘에이치1단지","월세","46.7","202011","9","2,179","24","4","2020","터미널길 17-35"
"전라남도 고흥군 고흥읍 등암리","1680","1680","0000","고흥남계엘에이치1단지","월세","27.82","202011","9","907","16","10","2020","터미널길 17-35"
"전라남도 고흥군 고흥읍 등암리","1680","1680","0000","고흥남계엘에이치1단지","월세","46.7","202011","9","2,179","24","4","2020","터미널길 17-35"
"전라남도 고흥군 고흥읍 등암리","1680","1680","0000","고흥남계엘에이치1단지","월세","27.82","202011","9","1,058","19","10","2020","터미널길 17-35"
"전라남도 고흥군 고흥읍 등암리","1680","1680","0000","고흥남계엘에이치1단지","월세","46.7","202011","9","2,179","24","4","2020","터미널길 17-35"
"전라남도 고흥군 고흥읍 등암리","1680","1680","0000","고흥남계엘에이치1단지","월세","46.7","202011","9","2,179","24","4","2020","터미널길 17-35"
