"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 오피스텔(매매)"
"주소구분 : 지번주소"
"시도 : 전라남도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"전라남도 나주시 빛가람동","194-1","194","1","토담휴로스1차오피스텔","34.38","202012","24","8,000","11","2014","상야2길 16",""
"전라남도 나주시 빛가람동","194-1","194","1","토담휴로스1차오피스텔","28.55","202012","29","7,000","4","2014","상야2길 16",""
"전라남도 나주시 빛가람동","194-1","194","1","토담휴로스1차오피스텔","34.38","202101","5","7,200","4","2014","상야2길 16",""
"전라남도 나주시 빛가람동","189-1","189","1","펠리시티S","28.9","202004","27","7,600","10","2014","전력로 6",""
"전라남도 나주시 빛가람동","189-1","189","1","펠리시티S","24.11","202004","30","6,000","9","2014","전력로 6",""
"전라남도 나주시 빛가람동","189-1","189","1","펠리시티S","28.9","202007","22","7,600","7","2014","전력로 6",""
"전라남도 나주시 빛가람동","189-1","189","1","펠리시티S","28.9","202008","6","7,600","10","2014","전력로 6",""
"전라남도 나주시 빛가람동","189-1","189","1","펠리시티S","28.9","202011","16","7,600","11","2014","전력로 6",""
"전라남도 나주시 빛가람동","189-1","189","1","펠리시티S","28.9","202102","27","7,600","10","2014","전력로 6",""
"전라남도 나주시 빛가람동","204-1","204","1","휴로스센트럴 오피스텔","30.77","202007","20","11,662","10","2020","상야3길 17",""
"전라남도 나주시 빛가람동","204-1","204","1","휴로스센트럴 오피스텔","30.77","202010","28","11,447","7","2020","상야3길 17",""
"전라남도 나주시 빛가람동","204-1","204","1","휴로스센트럴 오피스텔","30.77","202102","3","11,662","9","2020","상야3길 17",""
"전라남도 담양군 담양읍 지침리","85-2","85","2","(85-2)","71.91","202004","6","20,000","3","2019","지침1길 18",""
"전라남도 담양군 담양읍 지침리","85-2","85","2","(85-2)","80.74","202101","15","24,156","6","2019","지침1길 18","20210209"
"전라남도 담양군 담양읍 지침리","85-2","85","2","(85-2)","80.74","202101","15","24,156","6","2019","지침1길 18",""
"전라남도 목포시 달동","1336-32","1336","32","달동 M타운","38.24","202003","9","8,600","6","2016","신항로276번길 6",""
"전라남도 목포시 달동","1336-32","1336","32","달동 M타운","38.24","202006","9","7,800","2","2016","신항로276번길 6",""
"전라남도 목포시 달동","1336-32","1336","32","달동 M타운","39.27","202011","9","8,493","4","2016","신항로276번길 6",""
"전라남도 목포시 달동","1336-32","1336","32","달동 M타운","39.27","202011","9","8,493","4","2016","신항로276번길 6",""
"전라남도 목포시 달동","1336-32","1336","32","달동 M타운","38.47","202101","18","4,875","10","2016","신항로276번길 6",""
"전라남도 목포시 달동","1336-32","1336","32","달동 M타운","38.47","202101","18","4,875","2","2016","신항로276번길 6",""
"전라남도 목포시 달동","1336-32","1336","32","달동 M타운","38.24","202101","18","4,875","2","2016","신항로276번길 6",""
"전라남도 목포시 달동","1336-32","1336","32","달동 M타운","38.47","202101","18","4,875","2","2016","신항로276번길 6",""
"전라남도 목포시 동명동","385","385","0","그린오피스텔","32","202005","18","1,950","5","1999","동명들목로 33",""
"전라남도 목포시 동명동","385","385","0","그린오피스텔","32","202012","1","2,400","3","1999","동명들목로 33",""
"전라남도 목포시 동명동","385","385","0","그린오피스텔","32","202012","10","2,250","4","1999","동명들목로 33",""
"전라남도 목포시 동명동","385","385","0","그린오피스텔","32","202012","10","2,250","3","1999","동명들목로 33",""
"전라남도 목포시 산정동","1393","1393","0","동화오피스텔","44.4","202003","16","2,600","3","2002","삼학로 199",""
"전라남도 목포시 산정동","1393","1393","0","동화오피스텔","35.33","202003","26","2,250","6","2002","삼학로 199",""
"전라남도 목포시 산정동","1393","1393","0","동화오피스텔","51.89","202011","17","4,000","8","2002","삼학로 199",""
"전라남도 목포시 산정동","265-5","265","5","산체스오피스텔","30.81","202004","1","2,200","9","2001","양을로 128",""
"전라남도 목포시 산정동","265-5","265","5","산체스오피스텔","30.42","202009","12","2,300","7","2001","양을로 128",""
"전라남도 목포시 산정동","265-5","265","5","산체스오피스텔","30.81","202009","14","2,200","5","2001","양을로 128",""
"전라남도 목포시 산정동","265-5","265","5","산체스오피스텔","30.81","202011","5","2,200","4","2001","양을로 128",""
"전라남도 목포시 산정동","265-5","265","5","산체스오피스텔","30.81","202012","24","2,200","7","2001","양을로 128",""
"전라남도 목포시 산정동","1739","1739","0","수정오피스텔","38","202009","8","2,700","2","2001","죽산로 3",""
"전라남도 목포시 산정동","1277-19","1277","19","예그리나2","49.4","202011","17","9,350","13","2014"," ",""
"전라남도 목포시 산정동","74-220","74","220","제일오피스텔","40.35","202003","2","2,100","1","2002","노송길 32-2",""
"전라남도 목포시 산정동","74-220","74","220","제일오피스텔","40.35","202006","11","3,000","6","2002","노송길 32-2",""
"전라남도 목포시 산정동","1766","1766","0","한성골든빌","31.5","202008","1","3,300","7","2003","원산중앙로 10",""
"전라남도 목포시 상동","829-15","829","15","21세기그린오피스텔","18.3","202003","16","1,050","8","2003","교육로 86",""
"전라남도 목포시 상동","829-15","829","15","21세기그린오피스텔","22.5","202007","28","1,100","6","2003","교육로 86",""
"전라남도 목포시 상동","829-15","829","15","21세기그린오피스텔","18.3","202008","5","800","3","2003","교육로 86",""
"전라남도 목포시 상동","815-4","815","4","21세기오피스텔(815-4)","34.67","202004","20","2,800","4","2002","교육로 107",""
"전라남도 목포시 상동","815-4","815","4","21세기오피스텔(815-4)","34.67","202005","20","2,000","9","2002","교육로 107",""
"전라남도 목포시 상동","815-4","815","4","21세기오피스텔(815-4)","34.67","202009","18","2,500","5","2002","교육로 107",""
"전라남도 목포시 상동","815-4","815","4","21세기오피스텔(815-4)","34.67","202009","19","2,500","9","2002","교육로 107",""
"전라남도 목포시 상동","822-5","822","5","21세기오피스텔(822-5)","27.84","202003","23","2,000","10","2001","교육로 100","20200324"
"전라남도 목포시 상동","822-5","822","5","21세기오피스텔(822-5)","27.84","202003","23","2,000","4","2001","교육로 100",""
"전라남도 목포시 상동","822-5","822","5","21세기오피스텔(822-5)","27.84","202003","23","2,000","4","2001","교육로 100","20200324"
"전라남도 목포시 상동","822-5","822","5","21세기오피스텔(822-5)","27.84","202003","23","2,000","10","2001","교육로 100",""
"전라남도 목포시 상동","822-5","822","5","21세기오피스텔(822-5)","27.84","202003","23","2,000","4","2001","교육로 100",""
