"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 전라남도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"전라남도 강진군 강진읍 남성리","123","0123","0000","모란빌라","85.16","75","202101","5","7,000","3","1990","탑동길 1",""
"전라남도 강진군 강진읍 남성리","204","0204","0000","영랑빌라","84.8","104.5","202101","18","9,100","3","1995","영랑생가길 13-4",""
"전라남도 강진군 강진읍 남성리","201","0201","0000","영랑빌라 다동","75.85","46.88","202005","27","8,700","3","1995","현구길 27",""
"전라남도 강진군 강진읍 남성리","178","0178","0000","초원주택","84.51","88.57","202101","13","7,300","3","1991","탑동길 8",""
"전라남도 강진군 강진읍 남성리","191","0191","0000","탑동빌라","61.47","49.73","202004","14","7,500","3","1991","탐진로 91",""
"전라남도 강진군 강진읍 남성리","191","0191","0000","탑동빌라","65.22","48.45","202011","6","7,000","3","1991","탐진로 91",""
"전라남도 강진군 강진읍 동성리","278","0278","0000","그린빌라","84.42","75.19","202003","3","9,500","1","1994","향교로 68-5",""
"전라남도 강진군 강진읍 동성리","278","0278","0000","그린빌라","84.42","75.19","202005","29","9,000","3","1994","향교로 68-5",""
"전라남도 강진군 강진읍 동성리","278","0278","0000","그린빌라","66.48","75.19","202006","16","6,800","3","1994","향교로 68-5",""
"전라남도 강진군 강진읍 동성리","36-1","0036","0001","동산","51.68","73.33","202006","13","4,600","1","1986","중앙로 198",""
"전라남도 강진군 강진읍 동성리","36-1","0036","0001","동산","51.68","73.33","202006","29","3,700","2","1986","중앙로 198",""
"전라남도 강진군 강진읍 동성리","36-1","0036","0001","동산","51.68","73.33","202007","6","3,800","2","1986","중앙로 198",""
"전라남도 강진군 강진읍 동성리","36-1","0036","0001","동산","51.68","73.33","202101","8","4,300","3","1986","중앙로 198",""
"전라남도 강진군 강진읍 동성리","477-1","0477","0001","동서빌라","70.04","37.91","202101","27","6,000","4","1995","동문길 26",""
"전라남도 강진군 강진읍 동성리","274-11","0274","0011","동원빌라","84.105","76.52","202003","11","6,200","4","1996","향교로 54-6",""
"전라남도 강진군 강진읍 동성리","422","0422","0000","송학전원빌라","74.1","66.68","202009","14","8,300","4","1995","사의재길 11-1",""
"전라남도 강진군 강진읍 동성리","274-19","0274","0019","양지바른","35.2265","24.71","202012","6","8,400","2","2017","향교로 56",""
"전라남도 강진군 강진읍 동성리","274-19","0274","0019","양지바른","35.2265","24.71","202101","11","8,300","4","2017","향교로 56",""
"전라남도 강진군 강진읍 동성리","274-19","0274","0019","양지바른","35.3896","24.82","202102","21","9,300","5","2017","향교로 56",""
"전라남도 강진군 강진읍 동성리","280-1","0280","0001","엔젤리안","84.99","105.13","202006","12","12,900","4","2017","향교로 72",""
"전라남도 강진군 강진읍 동성리","280-1","0280","0001","엔젤리안","84.99","105.13","202006","16","12,900","4","2017","향교로 72","20200624"
"전라남도 강진군 강진읍 동성리","280-1","0280","0001","엔젤리안","84.99","105.13","202011","21","13,000","5","2017","향교로 72",""
"전라남도 강진군 강진읍 동성리","315","0315","0000","연지하늘채","84.9466","59.21","202008","27","28,000","6","2017","연지길 45","20200829"
"전라남도 강진군 강진읍 동성리","315","0315","0000","연지하늘채","69.8639","48.7","202012","15","22,500","6","2017","연지길 45",""
"전라남도 강진군 강진읍 동성리","199-6","0199","0006","탐진","73.47","85.58","202101","4","5,900","1","1985","동성로 16-6",""
"전라남도 강진군 강진읍 서성리","188-1","0188","0001","보은빌","74.94","75.79","202003","18","14,300","2","2016","현구길 12","20200402"
"전라남도 강진군 강진읍 서성리","188-1","0188","0001","보은빌","74.94","75.79","202003","18","14,300","2","2016","현구길 12",""
