"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 단독다가구(전월세)"
"주소구분 : 지번주소"
"시도 : 전라남도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","도로조건","계약면적(㎡)","전월세구분","계약년월","계약일","보증금(만원)","월세(만원)","건축년도","도로명"
"전라남도 고흥군 고흥읍 남계리","6**","8m미만","35","월세","202003","20","30","17","1975","시장천변길"
"전라남도 고흥군 고흥읍 남계리","6**","12m미만","46.2","전세","202102","6","2,500","0","1985","고흥로"
"전라남도 고흥군 고흥읍 남계리","6**","8m미만","48.83","월세","202003","18","1,000","5","2001","학교길"
"전라남도 고흥군 고흥읍 남계리","6**","12m미만","59.5","월세","202003","5","500","25","null","고흥로"
"전라남도 고흥군 고흥읍 남계리","4**","8m미만","82","전세","202101","15","5,000","0","1988","신계학림길"
"전라남도 고흥군 고흥읍 남계리","3**","8m미만","85.5","전세","202008","13","10,000","0","2015","고흥로"
"전라남도 고흥군 고흥읍 남계리","5**","12m미만","102.4","전세","202005","28","3,500","0","1991","봉황길"
"전라남도 고흥군 고흥읍 남계리","5**","12m미만","102.4","전세","202005","28","3,500","0","1991","봉황길"
"전라남도 고흥군 고흥읍 남계리","6**","-","128.8","전세","202011","2","2,500","0","1995","null"
"전라남도 고흥군 고흥읍 등암리","3**","8m미만","59.5","전세","202006","4","2,000","0","1930","백련장전길"
"전라남도 고흥군 고흥읍 등암리","1**","25m미만","81.12","전세","202007","8","7,000","0","null","고흥로"
"전라남도 고흥군 고흥읍 서문리","9*","12m미만","23.1","월세","202003","2","500","38","2014","옥하여산길"
"전라남도 고흥군 고흥읍 서문리","9*","-","23.14","월세","202102","27","500","38","2014","null"
"전라남도 고흥군 고흥읍 행정리","2**","8m미만","28","월세","202010","14","500","35","null","서문여산길"
"전라남도 고흥군 고흥읍 행정리","2**","8m미만","33","전세","202102","10","5,000","0","2018","서문여산길"
