"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 단독다가구(전월세)"
"주소구분 : 지번주소"
"시도 : 강원도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","도로조건","계약면적(㎡)","전월세구분","계약년월","계약일","보증금(만원)","월세(만원)","건축년도","도로명"
"강원도 강릉시 교동","1***","12m미만","29.7","월세","202011","26","2,500","10","2004","원대로179번길"
"강원도 강릉시 교동","1***","12m미만","29.7","전세","202102","8","8,500","0","2020","하슬라로232번길"
"강원도 강릉시 교동","1***","-","29.7","전세","202007","10","5,000","0","2004","null"
"강원도 강릉시 교동","1***","12m미만","29.7","전세","202102","23","5,000","0","2004","원대로179번길"
"강원도 강릉시 교동","1***","12m미만","29.8","전세","202011","19","3,700","0","2003","원대로179번길"
"강원도 강릉시 교동","1***","12m미만","29.8","전세","202006","30","3,700","0","2003","원대로179번길"
"강원도 강릉시 교동","1***","25m미만","29.92","전세","202012","24","8,000","0","2002","솔올로"
"강원도 강릉시 교동","1***","12m미만","30","월세","202101","9","300","41","2011","원대로143번안길"
"강원도 강릉시 교동","1***","12m미만","30","월세","202003","11","200","30","2004","율곡초교길39번길"
"강원도 강릉시 교동","1***","12m미만","30","월세","202004","13","200","35","2004","율곡초교길39번길"
"강원도 강릉시 교동","9**","12m미만","30","월세","202102","15","300","40","2015","원대로8번길"
"강원도 강릉시 교동","9**","-","30","월세","202010","26","300","35","2013","null"
"강원도 강릉시 교동","1***","8m미만","30","월세","202006","27","300","40","null","하슬라로10번길"
"강원도 강릉시 교동","9**","12m미만","30","월세","202010","28","200","43","2016","원대로8번길"
"강원도 강릉시 교동","9**","8m미만","30","전세","202003","4","1,500","0","1993","강릉대로159번길"
"강원도 강릉시 교동","8**","8m미만","30","전세","202009","19","1,000","0","1955","화부산로8번안길"
"강원도 강릉시 교동","1***","25m미만","30","전세","202006","21","5,000","0","2012","가작로"
"강원도 강릉시 교동","1***","12m미만","30.03","월세","202004","2","200","35","2003","하슬라로206번길"
