"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 상업/업무용(매매)"
"주소구분 : 지번주소"
"시도 : 강원도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","유형","지번","도로명","용도지역","건축물주용도","도로조건","전용/연면적(㎡)","대지면적(㎡)","거래금액(만원)","층","계약년월","계약일","지분구분","건축년도","해제사유발생일"
"강원도 강릉시 금학동","집합","9*","신대학길","일반상업","제1종근린생활","12m미만","41.78"," ","51,000","null","202005","11"," ","2015","20200625"
"강원도 강릉시 금학동","집합","9*","신대학길","일반상업","제1종근린생활","12m미만","37.75"," ","40,660","1","202007","31"," ","2015",""
"강원도 강릉시 금학동","집합","9*","신대학길","일반상업","제2종근린생활","12m미만","154.89"," ","65,000","2","202008","23"," ","2015",""
"강원도 강릉시 금학동","집합","1*","신대학길","일반상업","제2종근린생활","8m미만","383.3"," ","17,500","5","202010","28"," ","1996",""
"강원도 강릉시 금학동","집합","9*","신대학길","일반상업","제1종근린생활","12m미만","57.02"," ","47,700","null","202011","10"," ","2015",""
"강원도 강릉시 남문동","일반","9*","경강로2046번길","일반상업","제1종근린생활","8m미만","72.73","166.00","22,000","null","202101","27"," ","1943","20210304"
"강원도 강릉시 남문동","일반","9*","경강로2046번길","일반상업","제1종근린생활","8m미만","72.73","166.00","22,000","null","202101","27"," ","1943",""
"강원도 강릉시 남문동","일반","9*","경강로2046번길","일반상업","제1종근린생활","8m미만","72.73","166.00","24,000","null","202101","29"," ","1943","20210304"
"강원도 강릉시 남문동","일반","9*","경강로2046번길","일반상업","제1종근린생활","8m미만","104.12","89.00","25,000","null","202101","29"," ","1957",""
"강원도 강릉시 남문동","일반","1**","경강로2046번길","제2종일반주거","기타","12m미만","457.52","208.00","47,000","null","202102","16"," ","1996",""
"강원도 강릉시 내곡동","일반","3**","남부로63번길","자연녹지","제2종근린생활","8m미만","62.8","200.00","18,000","null","202003","11"," ","2013",""
"강원도 강릉시 내곡동","집합","4**","강변로114번길","제2종일반주거","제2종근린생활","25m미만","18.36"," ","2,800","1","202012","10"," ","1997",""
"강원도 강릉시 노암동","일반","7**","임영로","제2종일반주거","제1종근린생활","25m미만","310.41","152.00","34,500","null","202005","18"," ","1980",""
"강원도 강릉시 노암동","일반","6**","남부로137번안길","제2종일반주거","제2종근린생활","12m미만","1209.99","1624.00","79,000","null","202006","19"," ","2001","20200624"
"강원도 강릉시 노암동","일반","6**","남부로137번안길","제2종일반주거","제2종근린생활","12m미만","1209.99","1624.00","88,000","null","202006","19"," ","2001",""
"강원도 강릉시 노암동","일반","3**","노가니길","제2종일반주거","제1종근린생활","12m미만","332.76","169.00","34,000","null","202011","20"," ","1988","20201130"
"강원도 강릉시 노암동","일반","3**","노가니길","제2종일반주거","제1종근린생활","12m미만","332.76","169.00","34,000","null","202011","20"," ","1988","20210111"
"강원도 강릉시 노암동","일반","3**","노가니길","제2종일반주거","제1종근린생활","12m미만","332.76","169.00","34,000","null","202101","9"," ","1988",""
"강원도 강릉시 노암동","일반","2**","율곡로","제2종일반주거","제2종근린생활","25m이상","619.44","202.00","58,500","null","202101","22"," ","1999",""
"강원도 강릉시 담산동","일반","1**","모산로111번길","계획관리","제1종근린생활","8m미만","330.25","900.00","34,500","null","202009","29"," ","2018",""
"강원도 강릉시 대전동","일반","7**","대송길","자연녹지","제2종근린생활","12m미만","98.28","595.00","19,680","null","202006","18"," ","2015",""
"강원도 강릉시 대전동","일반","*","동해대로3406번길","자연녹지","제2종근린생활","8m미만","87.1","368.00","26,500","null","202101","11"," ","2018",""
"강원도 강릉시 대전동","일반","1*","한밭골길","자연녹지","제2종근린생활","8m미만","623.64","1500.00","113,972","null","202102","26"," ","2012",""
"강원도 강릉시 명주동","일반","6*","경강로","제2종일반주거","제1종근린생활","25m이상","18.04","12.00","5,200","null","202102","24"," ","1980",""
"강원도 강릉시 병산동","일반","6**","공항길","생산녹지","제2종근린생활","12m미만","351.85","620.00","28,997","null","202012","16"," ","1994",""
"강원도 강릉시 사천면 방동리","일반","4**","동해대로","계획관리","제2종근린생활","8m미만","198.9","956.00","32,000","null","202009","15"," ","2011",""
"강원도 강릉시 사천면 사기막리","일반","8**","중앙서로","생산관리","제2종근린생활","8m미만","145","971.00","15,000","null","202102","26"," ","2009",""
"강원도 강릉시 사천면 사천진리","일반","2*","진리해변길","근린상업","숙박","8m미만","1685.78","2565.00","195,000","null","202002","29"," ","1997",""
"강원도 강릉시 사천면 사천진리","일반","2**","해안로","자연녹지","제1종근린생활","8m미만","86.1","552.00","45,000","null","202008","4"," ","2018",""
"강원도 강릉시 사천면 사천진리","일반","8*","진리항구1길","근린상업","제1종근린생활","8m미만","174.38","293.00","20,000","null","202011","17"," ","1996",""
"강원도 강릉시 사천면 사천진리","일반","2**","해안로","제2종일반주거","제2종근린생활","8m미만","633.16","935.00","219,700","null","202012","1"," ","2009",""
"강원도 강릉시 사천면 사천진리","일반","2**","해안로","제2종일반주거","제2종근린생활","8m미만","633.16","935.00","215,000","null","202012","1"," ","2009","20210322"
"강원도 강릉시 사천면 판교리","일반","3**","너다리길","계획관리","제2종근린생활","8m미만","45","251.00","4,130","null","202005","28"," ","2019",""
"강원도 강릉시 성남동","일반","2**","임영로","일반상업","제2종근린생활","25m미만","124.46","172.00","32,500","null","202004","7"," ","1953",""
"강원도 강릉시 성남동","일반","1**","금성로61번길","일반상업","기타","8m미만","1063.06","302.10","110,000","null","202004","24"," ","1984","20200605"
"강원도 강릉시 성남동","일반","1**","금성로61번길","일반상업","기타","8m미만","1063.06","302.10","110,000","null","202006","1"," ","1984",""
"강원도 강릉시 성남동","일반","5*","중앙시장2길","일반상업","제1종근린생활","12m미만","835.58","253.80","72,700","null","202010","8"," ","1991",""
"강원도 강릉시 성남동","일반","1**","금성로45번길","일반상업","제2종근린생활","8m미만","291.76","193.50","103,680","null","202011","9"," ","1970",""
"강원도 강릉시 성남동","일반","2**","중앙시장3길","일반상업","제1종근린생활","8m미만","90.61","45.00","15,000","null","202012","3"," ","1967",""
"강원도 강릉시 성남동","일반","2*","금성로5번길","일반상업","제1종근린생활","12m미만","193.96","291.00","50,000","null","202101","4"," ","1973",""
"강원도 강릉시 성내동","일반","*","경강로2067번길","일반상업","제2종근린생활","8m미만","444.37","199.00","50,000","null","202008","27"," ","1990",""
"강원도 강릉시 성산면 관음리","일반","4*","괴일길","계획관리","제2종근린생활","8m미만","166.67","1131.00","5,800","null","202004","16"," ","2014","20200504"
"강원도 강릉시 성산면 구산리","일반","3**","구산길","계획관리","제1종근린생활","25m미만","98.63","165.00","14,000","null","202102","10"," ","null",""
"강원도 강릉시 성산면 금산리","일반","3**","괴일길","계획관리","제1종근린생활","8m미만","250.24","311.00","15,700","null","202012","14"," ","1988",""
"강원도 강릉시 성산면 보광리","일반","7**","삼왕길","계획관리","제2종근린생활","8m미만","207.28","990.00","12,000","null","202011","30"," ","2014",""
