"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 강원도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"강원도 강릉시 교동","303-1","0303","0001","이화","56.79","79.16","202102","26","11,000","1","1984","율곡로2968번안길 2",""
"강원도 강릉시 교동","828-1","0828","0001","풍원국민주택","57.72","64.48","202003","16","6,000","2","1985","화부산로 93",""
"강원도 강릉시 구정면 학산리","641-106","0641","0106","학산로얄빌라","84.75","116.08","202010","27","13,000","2","2015","구정옥봉길 150-9",""
"강원도 강릉시 구정면 학산리","641-106","0641","0106","학산로얄빌라","149.34","204.56","202011","2","26,000","3","2015","구정옥봉길 150-9",""
"강원도 강릉시 구정면 학산리","641-106","0641","0106","학산로얄빌라","84.75","116.08","202011","23","16,500","4","2015","구정옥봉길 150-9",""
"강원도 강릉시 구정면 학산리","641-106","0641","0106","학산로얄빌라","84.75","116.26","202011","23","16,500","3","2015","구정옥봉길 150-9",""
"강원도 강릉시 내곡동","267","0267","0000","기산그린타운","49.57","93.19","202004","4","8,200","1","1997","범일로 528",""
"강원도 강릉시 내곡동","267","0267","0000","기산그린타운","30.59","57.51","202004","7","4,300","3","1997","범일로 528",""
"강원도 강릉시 내곡동","267","0267","0000","기산그린타운","30.59","57.51","202004","10","4,650","4","1997","범일로 528",""
"강원도 강릉시 내곡동","267","0267","0000","기산그린타운","30.59","57.51","202004","29","5,000","4","1997","범일로 528",""
"강원도 강릉시 내곡동","267","0267","0000","기산그린타운","49.57","93.19","202005","30","8,300","4","1997","범일로 528",""
"강원도 강릉시 내곡동","267","0267","0000","기산그린타운","30.59","57.51","202006","2","4,100","3","1997","범일로 528",""
"강원도 강릉시 내곡동","267","0267","0000","기산그린타운","30.59","57.51","202006","5","5,000","3","1997","범일로 528",""
"강원도 강릉시 내곡동","267","0267","0000","기산그린타운","30.59","57.51","202007","5","4,500","3","1997","범일로 528",""
"강원도 강릉시 내곡동","267","0267","0000","기산그린타운","30.59","57.51","202008","18","4,500","4","1997","범일로 528",""
"강원도 강릉시 내곡동","267","0267","0000","기산그린타운","30.59","57.51","202008","27","5,100","4","1997","범일로 528",""
"강원도 강릉시 내곡동","267","0267","0000","기산그린타운","49.57","93.19","202009","8","7,800","2","1997","범일로 528",""
"강원도 강릉시 내곡동","267","0267","0000","기산그린타운","30.59","57.51","202011","2","3,600","2","1997","범일로 528",""
"강원도 강릉시 내곡동","267","0267","0000","기산그린타운","49.57","93.19","202101","8","7,400","3","1997","범일로 528",""
"강원도 강릉시 내곡동","267","0267","0000","기산그린타운","30.59","57.51","202102","17","4,800","4","1997","범일로 528",""
"강원도 강릉시 내곡동","109-1","0109","0001","무지개","57.33","69.35","202006","28","7,000","2","1984","강변로194번길 15",""
"강원도 강릉시 내곡동","109-1","0109","0001","무지개","57.33","69.35","202101","17","6,900","2","1984","강변로194번길 15",""
"강원도 강릉시 노암동","337","0337","0000","개나리","50.46","62.55","202004","24","4,300","3","1983","노암길41번길 14",""
"강원도 강릉시 노암동","337","0337","0000","개나리","50.46","62.55","202005","7","4,000","3","1983","노암길41번길 14",""
"강원도 강릉시 노암동","337","0337","0000","개나리","50.46","62.55","202006","3","4,150","1","1983","노암길41번길 14",""
"강원도 강릉시 노암동","337","0337","0000","개나리","50.46","62.55","202006","17","3,000","1","1983","노암길41번길 14",""
"강원도 강릉시 노암동","337","0337","0000","개나리","50.71","62.55","202007","16","4,550","1","1983","노암길41번길 14",""
"강원도 강릉시 노암동","337","0337","0000","개나리","50.46","62.55","202101","27","3,800","3","1983","노암길41번길 14",""
"강원도 강릉시 노암동","639-22","0639","0022","남산","54.75","73.5","202003","12","5,000","1","1986","남산길 32",""
"강원도 강릉시 노암동","639-22","0639","0022","남산","50.04","73.5","202005","2","4,900","1","1986","남산길 32",""
"강원도 강릉시 노암동","315","0315","0000","노암","65.88","65","202004","27","4,000","1","1981","노암길 40",""
"강원도 강릉시 노암동","315","0315","0000","노암","47.11","48","202005","14","2,300","1","1981","노암길 40",""
"강원도 강릉시 노암동","315","0315","0000","노암","47.11","48","202006","16","3,250","1","1981","노암길 40",""
"강원도 강릉시 노암동","315","0315","0000","노암","65.88","65","202008","24","4,000","1","1981","노암길 40",""
"강원도 강릉시 노암동","315","0315","0000","노암","65.88","65","202010","15","3,500","2","1981","노암길 40",""
"강원도 강릉시 노암동","245-24","0245","0024","더힐","45.75","39.12","202009","14","13,500","4","2018","율곡로2747번길 5",""
"강원도 강릉시 노암동","245-24","0245","0024","더힐","50","42.75","202009","14","15,000","3","2018","율곡로2747번길 5",""
"강원도 강릉시 노암동","245-24","0245","0024","더힐","45.75","39.12","202009","14","14,300","4","2018","율곡로2747번길 5",""
"강원도 강릉시 노암동","245-24","0245","0024","더힐","45.75","39.12","202009","14","13,800","4","2018","율곡로2747번길 5",""
"강원도 강릉시 노암동","245-24","0245","0024","더힐","45.75","39.12","202009","14","14,500","5","2018","율곡로2747번길 5",""
"강원도 강릉시 노암동","245-24","0245","0024","더힐","45.75","39.12","202009","14","14,500","5","2018","율곡로2747번길 5",""
"강원도 강릉시 노암동","245-24","0245","0024","더힐","50","42.75","202011","17","14,000","2","2018","율곡로2747번길 5",""
"강원도 강릉시 노암동","309-4","0309","0004","백마","69.41","45","202010","24","5,700","1","1981","노가니길 21-18",""
"강원도 강릉시 노암동","267-8","0267","0008","성덕주택(금모래)","49.14","59.45","202003","16","5,000","1","1983","강변로312번길 3",""
"강원도 강릉시 노암동","267-8","0267","0008","성덕주택(금모래)","49.14","59.45","202003","21","4,900","1","1983","강변로312번길 3",""
"강원도 강릉시 노암동","267-8","0267","0008","성덕주택(금모래)","49.14","69.68","202008","10","6,000","2","1983","강변로312번길 3",""
"강원도 강릉시 노암동","267-8","0267","0008","성덕주택(금모래)","49.14","69.68","202008","17","5,900","1","1983","강변로312번길 3",""
"강원도 강릉시 노암동","267-8","0267","0008","성덕주택(금모래)","49.14","59.45","202101","20","3,000","2","1983","강변로312번길 3",""
"강원도 강릉시 노암동","267-8","0267","0008","성덕주택(금모래)","49.14","54.45","202102","1","5,700","3","1983","강변로312번길 3",""
"강원도 강릉시 노암동","694","0694","0000","은마주택","54.9","58","202007","31","6,800","1","1988","임영로 46",""
"강원도 강릉시 대전동","565-3","0565","0003","다올캐슬타운","93.52","238.73","202004","23","27,000","1","2019","과학단지로21번길 5-30",""
"강원도 강릉시 대전동","565-3","0565","0003","다올캐슬타운","93.52","149.53","202004","25","25,000","2","2019","과학단지로21번길 5-30",""
"강원도 강릉시 대전동","565-3","0565","0003","다올캐슬타운","93.52","149.53","202012","21","25,000","2","2019","과학단지로21번길 5-30",""
"강원도 강릉시 대전동","565-3","0565","0003","다올캐슬타운","93.52","283.93","202012","30","27,000","1","2019","과학단지로21번길 5-30",""
"강원도 강릉시 대전동","565-3","0565","0003","다올캐슬타운","93.52","149.53","202102","22","25,000","2","2019","과학단지로21번길 5-30",""
"강원도 강릉시 대전동","565-3","0565","0003","다올캐슬타운","93.52","149.53","202102","24","25,000","2","2019","과학단지로21번길 5-30",""
"강원도 강릉시 사천면 사천진리","258-1","0258","0001","더윈팰리스","79.1519","123.12","202003","2","34,000","1","2019","해안로 1044-22",""
"강원도 강릉시 사천면 사천진리","258-1","0258","0001","더윈팰리스","79.1519","123.12","202004","23","33,000","1","2019","해안로 1044-22",""
"강원도 강릉시 사천면 사천진리","258-1","0258","0001","더윈팰리스","79.1519","123.12","202007","1","34,000","4","2019","해안로 1044-22",""
"강원도 강릉시 사천면 사천진리","258-1","0258","0001","더윈팰리스","79.1519","120.34","202101","4","33,000","3","2019","해안로 1044-22",""
"강원도 강릉시 사천면 사천진리","258-1","0258","0001","더윈팰리스","79.1519","120.34","202101","4","33,000","3","2019","해안로 1044-22",""
"강원도 강릉시 사천면 사천진리","24-5","0024","0005","선경","56.58","73.15","202003","18","6,500","4","1995","진리해변길 36",""
"강원도 강릉시 사천면 사천진리","54-1","0054","0001","하평빌1","69.75","48.53","202010","8","13,500","2","2016","공회당길 6",""
"강원도 강릉시 송정동","17-11","0017","0011","(17-11)","74.3766","61.13","202003","3","15,300","3","2014","팔송길 30-1",""
"강원도 강릉시 송정동","17-11","0017","0011","(17-11)","74.3766","61.13","202007","31","14,700","5","2014","팔송길 30-1",""
"강원도 강릉시 송정동","17-11","0017","0011","(17-11)","74.3766","61.13","202011","2","15,200","4","2014","팔송길 30-1",""
"강원도 강릉시 송정동","17-12","0017","0012","(17-12)","78.4","60.38","202010","26","16,500","3","2014","팔송길 30",""
"강원도 강릉시 송정동","210","0210","0000","(210-0)","58.15","44.43","202101","2","15,500","5","2015","팔송길15번길 17-1",""
"강원도 강릉시 송정동","216-1","0216","0001","소라A단지","56.34","111.69","202004","3","6,000","2","1986","송정길 15",""
"강원도 강릉시 송정동","216-1","0216","0001","소라A단지","56.34","111.69","202009","6","7,000","1","1986","송정길 15",""
"강원도 강릉시 송정동","216-1","0216","0001","소라A단지","56.34","111.69","202009","17","6,000","3","1986","송정길 15",""
"강원도 강릉시 송정동","110-54","0110","0054","송정","44","49.5","202006","21","4,700","1","1981","팔송길18번길 15",""
"강원도 강릉시 송정동","110-54","0110","0054","송정","44","49.5","202006","28","3,500","2","1981","팔송길18번길 15",""
"강원도 강릉시 송정동","110-54","0110","0054","송정","68.4","67.5","202008","22","7,300","1","1981","팔송길18번길 15",""
"강원도 강릉시 송정동","110-42","0110","0042","송정","68.39","62.8","202012","1","4,950","2","1980","팔송길18번길 7",""
"강원도 강릉시 송정동","110-42","0110","0042","송정","68.4","62.8","202012","12","7,200","1","1980","팔송길18번길 7",""
"강원도 강릉시 송정동","39-4","0039","0004","해당화","39.64","63.2","202003","3","4,800","2","1979","해안로 91",""
"강원도 강릉시 송정동","110-81","0110","0081","화이트캐슬","84","72.5","202008","31","33,000","3","2017","경강로 2531",""
"강원도 강릉시 송정동","110-81","0110","0081","화이트캐슬","43.2","37.29","202009","1","15,000","1","2017","경강로 2531",""
"강원도 강릉시 연곡면 영진리","357-30","0357","0030","ES프라우드","42.7954","26.19","202004","8","12,000","4","2016","영진길 33",""
"강원도 강릉시 연곡면 영진리","357-30","0357","0030","ES프라우드","42.7954","26.19","202004","8","12,000","6","2016","영진길 33",""
"강원도 강릉시 연곡면 영진리","76-2","0076","0002","강맥","55.5","67.46","202005","26","5,200","2","1992","영진4길 7","20200713"
"강원도 강릉시 연곡면 영진리","76-2","0076","0002","강맥","55.5","67.46","202005","26","5,200","2","1992","영진4길 7",""
"강원도 강릉시 연곡면 영진리","76-2","0076","0002","강맥","53.38","64.88","202012","25","5,900","2","1992","영진4길 7",""
"강원도 강릉시 연곡면 영진리","353-71","0353","0071","동방 이스트빌(109~111동)","71.12","46.92","202011","16","12,000","5","2015","연주로 162",""
"강원도 강릉시 연곡면 영진리","353-29","0353","0029","동방이스트빌(101~103동)","71.12","50.82","202009","17","12,000","5","2016","연주로 162",""
"강원도 강릉시 연곡면 영진리","353-29","0353","0029","동방이스트빌(101~103동)","71.12","50.82","202101","8","12,500","2","2016","연주로 162",""
"강원도 강릉시 연곡면 영진리","353-29","0353","0029","동방이스트빌(101~103동)","71.12","50.82","202101","8","12,500","2","2016","연주로 162",""
"강원도 강릉시 연곡면 영진리","353-29","0353","0029","동방이스트빌(101~103동)","71.12","50.82","202101","8","12,500","3","2016","연주로 162",""
"강원도 강릉시 연곡면 영진리","353-29","0353","0029","동방이스트빌(101~103동)","71.12","50.82","202101","8","12,500","3","2016","연주로 162",""
"강원도 강릉시 옥계면 현내리","429-1","0429","0001","동화","47.79","80.33","202006","8","3,000","3","1985","옥계로 1050",""
"강원도 강릉시 옥계면 현내리","417-3","0417","0003","엘스테이","68.59","59.47","202008","15","15,200","5","2019","현내중길 9-3",""
"강원도 강릉시 옥계면 현내리","351-1","0351","0001","은하수","57.78","86.88","202004","28","4,520","3","1984","현내시장길 52",""
"강원도 강릉시 옥계면 현내리","351-1","0351","0001","은하수","57.78","86.88","202005","1","4,200","3","1984","현내시장길 52",""
"강원도 강릉시 옥계면 현내리","351-1","0351","0001","은하수","57.78","86.88","202007","30","4,000","3","1984","현내시장길 52",""
