"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 강원도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","건축년도","도로명","해제사유발생일"
"강원도 강릉시 교동","1***","다가구","8m미만","422.03","248","202010","21","102,000","2015","원대로",""
"강원도 강릉시 교동","1***","다가구","12m미만","384.78","252.6","202006","19","89,000","2015","정원로",""
"강원도 강릉시 교동","1***","다가구","12m미만","525.44","253.1","202004","6","80,500","2001","하슬라로232번길",""
"강원도 강릉시 교동","1***","다가구","12m미만","381.45","257.2","202008","26","90,000","2011","하슬라로206번길",""
"강원도 강릉시 교동","9**","다가구","25m이상","426.34","262.2","202011","5","77,500","2015","강릉대로",""
"강원도 강릉시 교동","1***","다가구","12m미만","448.39","281","202012","24","58,000","2002","원대로179번안길",""
"강원도 강릉시 교동","8**","다가구","8m미만","358.08","285","202006","2","38,500","1997","강릉대로171번길",""
"강원도 강릉시 교동","9**","다가구","12m미만","510.96","289.3","202010","22","110,000","2016","원대로8번길",""
"강원도 강릉시 교동","9**","다가구","12m미만","514.88","289.3","202006","5","107,000","2016","원대로14번길",""
"강원도 강릉시 교동","9**","다가구","12m미만","510.96","289.4","202006","4","102,500","2015","원대로8번길",""
"강원도 강릉시 교동","8**","다가구","8m미만","186.15","323.3","202006","4","12,400","1996","화부산로18번길",""
"강원도 강릉시 교동","9**","다가구","8m미만","415.17","359.4","202003","16","83,000","2012","강릉대로171번길",""
"강원도 강릉시 교동","1***","다가구","8m미만","565.45","362.4","202003","31","120,000","2016","하슬라로10번길",""
"강원도 강릉시 교동","7**","다가구","12m미만","534.91","406","202010","16","105,000","2014","율곡로2953번길",""
"강원도 강릉시 교동","1***","다가구","12m미만","593.46","473.4","202006","9","68,000","2002","정원로",""
"강원도 강릉시 교동","9**","단독","12m미만","38.22","71","202009","14","6,500","1977","null",""
"강원도 강릉시 교동","8**","단독","8m미만","95.66","73","202008","14","6,500","1980","임영로201번길",""
"강원도 강릉시 교동","8**","단독","8m미만","26.84","96","202102","8","3,300","1973","임영로213번길",""
"강원도 강릉시 교동","1**","단독","8m미만","39.96","99","202003","16","3,600","1974","샘물터길1번길",""
"강원도 강릉시 교동","9**","단독","8m미만","108","99.9","202005","30","8,500","1979","명주로77번길",""
"강원도 강릉시 교동","9**","단독","8m미만","28.79","109","202010","22","3,350","1970","화부산로8번길",""
"강원도 강릉시 교동","8**","단독","12m미만","42.81","109","202011","4","7,000","1974","화부산로8번안길",""
"강원도 강릉시 교동","9**","단독","8m미만","65.34","109.4","202004","13","12,000","1991","원대로26번길",""
"강원도 강릉시 교동","9**","단독","8m미만","73.41","111.8","202004","6","8,300","1979","골말길",""
"강원도 강릉시 교동","1**","단독","8m미만","169.12","112","202011","5","15,500","1973","율곡로2868번길",""
"강원도 강릉시 교동","8**","단독","8m미만","119.39","115.5","202007","29","11,000","1978","강릉대로",""
"강원도 강릉시 교동","1**","단독","8m미만","152.96","118","202010","26","13,500","1973","율곡로","20201127"
"강원도 강릉시 교동","8**","단독","8m미만","22.81","119","202101","27","2,000","1971","임영로",""
"강원도 강릉시 교동","8**","단독","8m미만","38.31","119","202007","10","4,800","1975","강릉대로185번길",""
"강원도 강릉시 교동","8**","단독","8m미만","77.32","119","202003","27","10,800","1978","강릉대로171번길",""
"강원도 강릉시 교동","8**","단독","8m미만","69.84","126","202006","22","9,400","1982","화부산로91번길",""
"강원도 강릉시 교동","9**","단독","8m미만","194.73","129","202007","5","15,000","1980","강릉대로",""
"강원도 강릉시 교동","9**","단독","8m미만","194.73","129","202006","9","10,000","1980","강릉대로",""
"강원도 강릉시 교동","9**","단독","8m미만","64.79","129.6","202007","4","10,000","1974","원대로26번길",""
