"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 아파트(전월세)"
"주소구분 : 지번주소"
"시도 : 강원도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세(만원)","층","건축년도","도로명"
"강원도 강릉시 견소동","289","0289","0000","송정해변신도브래뉴아파트","전세","84.99","202007","14","20,000","0","4","2005","경강로2539번길 22"
"강원도 강릉시 견소동","289","0289","0000","송정해변신도브래뉴아파트","월세","84.99","202007","16","1,000","80","2","2005","경강로2539번길 22"
"강원도 강릉시 견소동","289","0289","0000","송정해변신도브래뉴아파트","월세","84.99","202007","17","1,000","80","3","2005","경강로2539번길 22"
"강원도 강릉시 견소동","289","0289","0000","송정해변신도브래뉴아파트","전세","59.99","202007","20","16,500","0","10","2005","경강로2539번길 22"
"강원도 강릉시 견소동","289","0289","0000","송정해변신도브래뉴아파트","전세","59.99","202007","29","15,000","0","14","2005","경강로2539번길 22"
"강원도 강릉시 견소동","289","0289","0000","송정해변신도브래뉴아파트","월세","59.99","202008","8","2,000","60","3","2005","경강로2539번길 22"
"강원도 강릉시 견소동","289","0289","0000","송정해변신도브래뉴아파트","전세","84.99","202008","13","27,000","0","13","2005","경강로2539번길 22"
"강원도 강릉시 견소동","289","0289","0000","송정해변신도브래뉴아파트","전세","84.99","202008","20","23,000","0","8","2005","경강로2539번길 22"
"강원도 강릉시 견소동","289","0289","0000","송정해변신도브래뉴아파트","전세","84.99","202009","1","23,000","0","8","2005","경강로2539번길 22"
"강원도 강릉시 견소동","289","0289","0000","송정해변신도브래뉴아파트","월세","84.99","202009","6","1,000","90","2","2005","경강로2539번길 22"
"강원도 강릉시 견소동","289","0289","0000","송정해변신도브래뉴아파트","월세","59.99","202009","14","1,000","60","4","2005","경강로2539번길 22"
"강원도 강릉시 견소동","289","0289","0000","송정해변신도브래뉴아파트","전세","84.99","202009","22","22,000","0","7","2005","경강로2539번길 22"
"강원도 강릉시 견소동","289","0289","0000","송정해변신도브래뉴아파트","전세","59.99","202009","22","17,000","0","12","2005","경강로2539번길 22"
"강원도 강릉시 견소동","289","0289","0000","송정해변신도브래뉴아파트","전세","59.99","202009","23","18,500","0","11","2005","경강로2539번길 22"
"강원도 강릉시 견소동","289","0289","0000","송정해변신도브래뉴아파트","전세","59.99","202009","24","18,500","0","5","2005","경강로2539번길 23"
"강원도 강릉시 견소동","289","0289","0000","송정해변신도브래뉴아파트","전세","59.99","202010","12","13,650","0","5","2005","경강로2539번길 22"
"강원도 강릉시 견소동","289","0289","0000","송정해변신도브래뉴아파트","전세","59.99","202010","19","16,000","0","10","2005","경강로2539번길 22"
"강원도 강릉시 견소동","289","0289","0000","송정해변신도브래뉴아파트","전세","84.99","202010","20","18,375","0","2","2005","경강로2539번길 22"
"강원도 강릉시 견소동","289","0289","0000","송정해변신도브래뉴아파트","전세","59.99","202010","29","15,750","0","10","2005","경강로2539번길 23"
"강원도 강릉시 견소동","289","0289","0000","송정해변신도브래뉴아파트","월세","59.99","202010","31","2,000","65","6","2005","경강로2539번길 23"
"강원도 강릉시 견소동","289","0289","0000","송정해변신도브래뉴아파트","전세","84.99","202011","2","25,000","0","13","2005","경강로2539번길 22"
"강원도 강릉시 견소동","289","0289","0000","송정해변신도브래뉴아파트","전세","84.99","202011","3","20,000","0","7","2005","경강로2539번길 22"
"강원도 강릉시 견소동","289","0289","0000","송정해변신도브래뉴아파트","전세","84.99","202011","14","25,000","0","5","2005","경강로2539번길 22"
"강원도 강릉시 견소동","289","0289","0000","송정해변신도브래뉴아파트","전세","84.99","202011","18","24,000","0","13","2005","경강로2539번길 22"
"강원도 강릉시 견소동","289","0289","0000","송정해변신도브래뉴아파트","전세","84.99","202011","25","19,000","0","3","2005","경강로2539번길 22"
"강원도 강릉시 견소동","289","0289","0000","송정해변신도브래뉴아파트","전세","59.99","202012","8","15,000","0","14","2005","경강로2539번길 22"
"강원도 강릉시 견소동","289","0289","0000","송정해변신도브래뉴아파트","전세","84.99","202012","18","21,000","0","1","2005","경강로2539번길 22"
"강원도 강릉시 견소동","289","0289","0000","송정해변신도브래뉴아파트","전세","59.99","202012","30","14,700","0","13","2005","경강로2539번길 22"
"강원도 강릉시 견소동","289","0289","0000","송정해변신도브래뉴아파트","전세","84.99","202101","15","20,475","0","5","2005","경강로2539번길 22"
"강원도 강릉시 견소동","289","0289","0000","송정해변신도브래뉴아파트","월세","59.99","202101","20","2,000","55","1","2005","경강로2539번길 23"
"강원도 강릉시 견소동","289","0289","0000","송정해변신도브래뉴아파트","전세","84.99","202101","20","24,000","0","2","2005","경강로2539번길 22"
"강원도 강릉시 견소동","289","0289","0000","송정해변신도브래뉴아파트","전세","59.99","202102","28","14,000","0","7","2005","경강로2539번길 22"
"강원도 강릉시 교동","1982","1982","0000","강릉교동롯데캐슬1단지","월세","163.9852","202003","3","7,000","130","5","2009","화부산로99번길 12"
"강원도 강릉시 교동","1982","1982","0000","강릉교동롯데캐슬1단지","전세","84.9866","202006","18","27,000","0","2","2009","화부산로99번길 12"
"강원도 강릉시 교동","1982","1982","0000","강릉교동롯데캐슬1단지","전세","163.9852","202012","19","40,000","0","5","2009","화부산로99번길 12"
"강원도 강릉시 교동","1983","1983","0000","강릉교동롯데캐슬2단지","전세","84.9855","202003","12","25,000","0","1","2009","화부산로111번길 24"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","전세","59.89","202003","12","15,000","0","1","1999","가작로 78"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","월세","59.89","202003","26","6,300","30","1","1999","가작로 78"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","월세","49.85","202004","21","5,500","30","12","1999","가작로 78"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","전세","59.89","202004","27","13,000","0","1","1999","가작로 78"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","전세","59.89","202005","14","11,000","0","11","1999","가작로 78"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","월세","84.84","202005","15","3,000","90","15","1999","가작로 78"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","월세","59.89","202005","19","1,000","40","12","1999","가작로 78"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","전세","84.84","202006","11","17,000","0","11","1999","가작로 78"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","전세","59.89","202006","30","14,500","0","6","1999","가작로 78"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","월세","59.89","202007","3","4,000","50","11","1999","가작로 78"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","월세","59.89","202007","20","2,000","65","15","1999","가작로 78"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","전세","49.85","202007","29","12,500","0","11","1999","가작로 78"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","전세","59.89","202008","3","15,900","0","13","1999","가작로 78"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","월세","59.89","202008","10","4,000","52","11","1999","가작로 78"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","전세","59.89","202008","11","15,200","0","6","1999","가작로 78"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","월세","59.89","202008","12","3,000","50","10","1999","가작로 78"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","전세","59.89","202008","25","15,700","0","11","1999","가작로 78"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","전세","59.89","202008","31","15,200","0","12","1999","가작로 78"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","전세","59.89","202009","18","15,500","0","7","1999","가작로 78"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","월세","59.89","202009","29","4,000","55","15","1999","가작로 78"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","전세","59.89","202010","13","13,000","0","4","1999","가작로 78"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","월세","59.89","202010","16","1,000","50","3","1999","가작로 78"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","전세","84.8","202010","21","18,000","0","6","1999","가작로 78"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","월세","49.85","202010","24","3,000","35","3","1999","가작로 78"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","월세","59.89","202011","4","6,400","25","1","1999","가작로 78"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","전세","49.85","202011","25","13,000","0","13","1999","가작로 78"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","전세","59.89","202012","4","16,270","0","5","1999","가작로 78"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","전세","59.89","202012","5","14,700","0","10","1999","가작로 78"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","전세","49.85","202012","24","9,500","0","3","1999","가작로 78"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","월세","84.84","202101","13","3,000","80","9","1999","가작로 78"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","월세","59.89","202101","20","2,000","60","3","1999","가작로 78"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","월세","84.84","202102","23","19,000","3","9","1999","가작로 78"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","전세","84.84","202102","26","19,000","0","4","1999","가작로 78"
"강원도 강릉시 교동","1748","1748","0000","교동2주공","월세","59.64","202004","21","1,772","10","4","2002","가작로 85"
"강원도 강릉시 교동","1748","1748","0000","교동2주공","월세","51.95","202006","2","1,541","9","14","2002","가작로 85"
"강원도 강릉시 교동","1748","1748","0000","교동2주공","월세","51.49","202006","2","1,527","8","9","2002","가작로 85"
"강원도 강릉시 교동","1748","1748","0000","교동2주공","월세","51.95","202006","2","1,541","9","5","2002","가작로 85"
"강원도 강릉시 교동","1748","1748","0000","교동2주공","월세","51.95","202006","5","1,415","7","5","2002","가작로 85"
"강원도 강릉시 교동","1748","1748","0000","교동2주공","월세","51.49","202006","11","1,527","8","3","2002","가작로 85"
"강원도 강릉시 교동","1748","1748","0000","교동2주공","월세","59.64","202006","12","1,769","10","7","2002","가작로 85"
"강원도 강릉시 교동","1748","1748","0000","교동2주공","월세","59.64","202006","18","2,769","3","12","2002","가작로 85"
"강원도 강릉시 교동","1748","1748","0000","교동2주공","월세","51.95","202006","19","1,527","8","9","2002","가작로 85"
"강원도 강릉시 교동","1748","1748","0000","교동2주공","월세","51.95","202006","23","1,541","9","9","2002","가작로 85"
"강원도 강릉시 교동","1748","1748","0000","교동2주공","월세","59.64","202006","23","1,769","10","13","2002","가작로 85"
"강원도 강릉시 교동","1748","1748","0000","교동2주공","월세","51.49","202006","23","1,527","8","5","2002","가작로 85"
"강원도 강릉시 교동","1748","1748","0000","교동2주공","월세","51.95","202006","23","1,541","9","5","2002","가작로 85"
"강원도 강릉시 교동","1748","1748","0000","교동2주공","월세","59.64","202006","24","1,769","10","5","2002","가작로 85"
"강원도 강릉시 교동","1748","1748","0000","교동2주공","월세","59.64","202006","30","2,769","3","4","2002","가작로 85"
"강원도 강릉시 교동","1748","1748","0000","교동2주공","월세","51.49","202011","9","1,527","8","13","2002","가작로 85"
"강원도 강릉시 교동","1748","1748","0000","교동2주공","월세","51.95","202012","15","1,499","9","8","2002","가작로 85"
"강원도 강릉시 교동","1767","1767","0000","교동2현대","전세","84.97","202003","4","21,000","0","5","1999","교동광장로 138-15"
"강원도 강릉시 교동","1767","1767","0000","교동2현대","전세","84.97","202004","18","20,000","0","2","1999","교동광장로 138-15"
"강원도 강릉시 교동","1767","1767","0000","교동2현대","전세","84.97","202004","30","22,000","0","8","1999","교동광장로 138-15"
"강원도 강릉시 교동","1767","1767","0000","교동2현대","전세","84.97","202102","18","25,000","0","15","1999","교동광장로 138-15"
"강원도 강릉시 교동","1766","1766","0000","교동3주공","월세","59.74","202002","29","2,000","70","6","2002","교동광장로 138-12"
"강원도 강릉시 교동","1766","1766","0000","교동3주공","전세","59.74","202003","13","16,000","0","13","2002","교동광장로 138-12"
"강원도 강릉시 교동","1766","1766","0000","교동3주공","전세","59.86","202004","13","16,500","0","15","2002","교동광장로 138-12"
"강원도 강릉시 교동","1766","1766","0000","교동3주공","전세","59.74","202004","14","16,000","0","13","2002","교동광장로 138-12"
"강원도 강릉시 교동","1766","1766","0000","교동3주공","전세","59.86","202004","16","17,000","0","15","2002","교동광장로 138-12"
"강원도 강릉시 교동","1766","1766","0000","교동3주공","월세","59.86","202004","27","3,500","50","5","2002","교동광장로 138-12"
"강원도 강릉시 교동","1766","1766","0000","교동3주공","전세","59.74","202005","7","16,500","0","3","2002","교동광장로 138-12"
"강원도 강릉시 교동","1766","1766","0000","교동3주공","전세","59.74","202005","11","16,500","0","2","2002","교동광장로 138-12"
"강원도 강릉시 교동","1766","1766","0000","교동3주공","월세","59.86","202005","16","2,000","60","11","2002","교동광장로 138-12"
"강원도 강릉시 교동","1766","1766","0000","교동3주공","월세","59.74","202005","22","2,000","60","4","2002","교동광장로 138-12"
"강원도 강릉시 교동","1766","1766","0000","교동3주공","월세","59.74","202005","29","2,000","65","3","2002","교동광장로 138-12"
"강원도 강릉시 교동","1766","1766","0000","교동3주공","전세","59.86","202006","4","14,500","0","12","2002","교동광장로 138-12"
"강원도 강릉시 교동","1766","1766","0000","교동3주공","전세","59.74","202006","6","16,000","0","13","2002","교동광장로 138-12"
"강원도 강릉시 교동","1766","1766","0000","교동3주공","전세","59.74","202006","11","17,000","0","8","2002","교동광장로 138-12"
"강원도 강릉시 교동","1766","1766","0000","교동3주공","월세","59.74","202006","18","2,000","65","2","2002","교동광장로 138-12"
"강원도 강릉시 교동","1766","1766","0000","교동3주공","전세","59.79","202007","11","16,000","0","12","2002","교동광장로 138-12"
"강원도 강릉시 교동","1766","1766","0000","교동3주공","월세","59.84","202007","20","3,000","60","10","2002","교동광장로 138-12"
"강원도 강릉시 교동","1766","1766","0000","교동3주공","전세","59.74","202008","11","16,000","0","5","2002","교동광장로 138-12"
"강원도 강릉시 교동","1766","1766","0000","교동3주공","전세","59.74","202008","16","15,000","0","5","2002","교동광장로 138-12"
"강원도 강릉시 교동","1766","1766","0000","교동3주공","전세","59.79","202008","19","17,500","0","4","2002","교동광장로 138-12"
"강원도 강릉시 교동","1766","1766","0000","교동3주공","전세","59.74","202008","26","15,000","0","15","2002","교동광장로 138-12"
