"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 인천광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"인천광역시 강화군 강화읍 갑곳리","387","0387","0000","보경빌라(B동)","93.9","56.46","202010","22","8,500","1","1992","갑룡길74번길 5-1","20201118"
"인천광역시 강화군 강화읍 갑곳리","387","0387","0000","보경빌라(B동)","93.9","56.46","202010","22","8,500","1","1992","갑룡길74번길 5-1",""
"인천광역시 강화군 강화읍 갑곳리","388-12","0388","0012","보경빌라(C동)","66.12","33.57","202003","25","6,600","3","1992","갑룡길74번길 5-2",""
"인천광역시 강화군 강화읍 갑곳리","387-4","0387","0004","보경빌라(D동)","76.33","39.32","202011","25","7,000","1","1992","갑룡길74번길 5-3",""
"인천광역시 강화군 강화읍 갑곳리","88-15","0088","0015","부강그린맨션(나동)","72.06","59.02","202007","27","8,800","3","1997","갑룡길73번길 7",""
"인천광역시 강화군 강화읍 갑곳리","88-15","0088","0015","부강그린맨션(나동)","68.94","56.46","202010","16","7,500","4","1997","갑룡길73번길 7",""
"인천광역시 강화군 강화읍 갑곳리","87-4","0087","0004","부강맨션(B동)","79.14","64.28","202101","8","9,000","3","1998","갑룡길73번길 11-2",""
"인천광역시 강화군 강화읍 갑곳리","373","0373","0000","사랑빌라(373-0)","62.89","86.13","202006","27","8,500","3","2003","갑룡길56번길 9-1",""
"인천광역시 강화군 강화읍 갑곳리","81-1","0081","0001","삼영주택","75.45","57.37","202012","14","8,300","3","1996","갑룡길 59-1",""
"인천광역시 강화군 강화읍 갑곳리","385","0385","0000","삼우그린타운(A동)","64.44","46.2","202008","17","7,600","2","1997","강화대로248번길 17-12",""
"인천광역시 강화군 강화읍 갑곳리","385-1","0385","0001","삼우그린타운(B동)","49.83","42.52","202003","16","7,000","4","1997","강화대로248번길 17-14",""
"인천광역시 강화군 강화읍 갑곳리","385-1","0385","0001","삼우그린타운(B동)","49.83","42.52","202003","27","7,100","1","1997","강화대로248번길 17-14",""
"인천광역시 강화군 강화읍 갑곳리","385-2","0385","0002","삼우그린타운(C동)","50.81","49","202004","4","7,000","2","1997","강화대로248번길 17-26",""
"인천광역시 강화군 강화읍 갑곳리","385-2","0385","0002","삼우그린타운(C동)","46.13","44.5","202011","6","6,600","3","1997","강화대로248번길 17-26",""
"인천광역시 강화군 강화읍 갑곳리","385-2","0385","0002","삼우그린타운(C동)","50.81","49","202012","5","6,200","4","1997","강화대로248번길 17-26",""
"인천광역시 강화군 강화읍 갑곳리","170-1","0170","0001","선린빌라","45.69","76.23","202008","17","6,500","1","1989","갑룡길 41",""
"인천광역시 강화군 강화읍 갑곳리","439-2","0439","0002","성광주택A동","55.452","64.48","202012","14","12,700","1","2015","강화대로248번길 24-9",""
"인천광역시 강화군 강화읍 갑곳리","85","0085","0000","아인빌(3,4동)","71.61","79.63","202005","19","13,000","4","2014","갑룡길73번길 31",""
"인천광역시 강화군 강화읍 갑곳리","85","0085","0000","아인빌(3,4동)","71.61","79.63","202006","11","13,000","4","2014","갑룡길73번길 31",""
"인천광역시 강화군 강화읍 갑곳리","85","0085","0000","아인빌(3,4동)","64.49","71.71","202011","6","12,500","4","2014","갑룡길73번길 31",""
"인천광역시 강화군 강화읍 갑곳리","630-5","0630","0005","용진","42.45","55.41","202007","24","2,800","3","1988","강화대로215번길 5",""
"인천광역시 강화군 강화읍 갑곳리","630-5","0630","0005","용진","42.45","55.41","202010","19","4,000","3","1988","강화대로215번길 5",""
"인천광역시 강화군 강화읍 갑곳리","630-5","0630","0005","용진","42.45","55.41","202010","26","4,450","3","1988","강화대로215번길 5",""
"인천광역시 강화군 강화읍 갑곳리","630-5","0630","0005","용진","42.45","55.41","202012","1","4,500","3","1988","강화대로215번길 5","20201230"
"인천광역시 강화군 강화읍 갑곳리","630-5","0630","0005","용진","42.45","55.41","202012","1","4,500","3","1988","강화대로215번길 5",""
"인천광역시 강화군 강화읍 갑곳리","630-12","0630","0012","용진다세대주택","42.57","30.11","202004","20","3,200","3","1988","강화대로215번길 3",""
"인천광역시 강화군 강화읍 갑곳리","630-12","0630","0012","용진다세대주택","42.57","30.11","202101","21","3,500","2","1988","강화대로215번길 3-1",""
"인천광역시 강화군 강화읍 갑곳리","468-5","0468","0005","우성빌라","72.39","75.6","202007","9","11,500","3","2010","강화대로216번길 19-2",""
"인천광역시 강화군 강화읍 갑곳리","86-4","0086","0004","정원빌리지","63.88","72.35","202008","15","11,000","1","2013","갑룡길73번길 31-1",""
"인천광역시 강화군 강화읍 갑곳리","86-4","0086","0004","정원빌리지","63.1","71.47","202009","24","11,000","1","2013","갑룡길73번길 31-1",""
"인천광역시 강화군 강화읍 갑곳리","86-1","0086","0001","정원빌리지1","71.23","78.75","202003","26","9,500","1","2013","갑룡길73번길 31-2",""
"인천광역시 강화군 강화읍 갑곳리","86-1","0086","0001","정원빌리지1","65.53","72.43","202006","22","9,500","4","2013","갑룡길73번길 31-2",""
"인천광역시 강화군 강화읍 갑곳리","86-1","0086","0001","정원빌리지1","65.53","72.43","202006","25","9,600","4","2013","갑룡길73번길 31-2",""
"인천광역시 강화군 강화읍 갑곳리","86-1","0086","0001","정원빌리지1","70.6","78.03","202008","24","11,000","3","2013","갑룡길73번길 31-2",""
"인천광역시 강화군 강화읍 갑곳리","36","0036","0000","정흔하이빌(C동,D동)","72.85","81.94","202003","24","14,300","3","2015","갑룡길 105-13",""
"인천광역시 강화군 강화읍 갑곳리","36","0036","0000","정흔하이빌(C동,D동)","72.85","81.94","202009","23","14,300","1","2015","갑룡길 105-13",""
"인천광역시 강화군 강화읍 갑곳리","661-1","0661","0001","주진빌라","74.37","79.1","202010","5","6,750","2","1991","강화대로 185-1",""
"인천광역시 강화군 강화읍 갑곳리","661-1","0661","0001","주진빌라","67.68","72.19","202010","23","6,500","1","1991","강화대로 185-3",""
"인천광역시 강화군 강화읍 갑곳리","438-3","0438","0003","창대","62.83","84.86","202006","22","10,000","1","2008","강화대로248번길 24-3",""
"인천광역시 강화군 강화읍 갑곳리","438-3","0438","0003","창대","53.63","72.43","202008","25","10,200","1","2008","강화대로248번길 24-3",""
"인천광역시 강화군 강화읍 갑곳리","419-1","0419","0001","초원빌라","49.16","48.09","202011","13","5,750","1","1992","강화대로248번길 8-5",""
"인천광역시 강화군 강화읍 갑곳리","89-4","0089","0004","푸른들빌 나동","75.38","81.25","202007","8","12,300","4","2012","갑룡길73번길 13",""
"인천광역시 강화군 강화읍 갑곳리","89-4","0089","0004","푸른들빌 나동","75.38","81.25","202011","16","13,000","1","2012","갑룡길73번길 13",""
"인천광역시 강화군 강화읍 갑곳리","911-1","0911","0001","현대마이홈타운(1,2동)","76.98","75.81","202003","28","7,800","1","1998","강화대로175번길 9",""
"인천광역시 강화군 강화읍 갑곳리","911-1","0911","0001","현대마이홈타운(1,2동)","76.98","75.81","202010","29","7,800","3","1998","강화대로175번길 9",""
"인천광역시 강화군 강화읍 갑곳리","911-2","0911","0002","현대마이홈타운(3,4동)","66.09","57.88","202004","1","6,350","1","1998","강화대로175번길 13",""
"인천광역시 강화군 강화읍 갑곳리","911-2","0911","0002","현대마이홈타운(3,4동)","66.09","57.88","202007","20","5,600","4","1998","강화대로175번길 13",""
"인천광역시 강화군 강화읍 갑곳리","911-2","0911","0002","현대마이홈타운(3,4동)","66.09","57.88","202012","20","7,000","4","1998","강화대로175번길 13",""
"인천광역시 강화군 강화읍 갑곳리","80-11","0080","0011","현대빌라(1동)","41.1","31.88","202102","2","7,000","3","1990","갑룡길 67",""
"인천광역시 강화군 강화읍 관청리","123-10","0123","0010","(123-10)","23.62","36","202009","17","1,500","1","1980","동문로12번길 13-2",""
"인천광역시 강화군 강화읍 관청리","123-10","0123","0010","(123-10)","23.62","36","202010","18","1,500","1","1980","동문로12번길 13-2",""
"인천광역시 강화군 강화읍 관청리","887-4","0887","0004","(887-4)","49.35","30.16","202011","5","8,500","2","2010","송악길14번길 4",""
"인천광역시 강화군 강화읍 관청리","20-1","0020","0001","강화그린맨션","62.81","70.82","202004","6","7,000","1","1999","새말길8번길 5-34",""
