"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 상업/업무용(매매)"
"주소구분 : 지번주소"
"시도 : 충청남도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","유형","지번","도로명","용도지역","건축물주용도","도로조건","전용/연면적(㎡)","대지면적(㎡)","거래금액(만원)","층","계약년월","계약일","지분구분","건축년도","해제사유발생일"
"충청남도 공주시 금학동","집합","2**","우금티로","근린상업","제1종근린생활","8m미만","145.05"," ","5,500","4","202102","22"," ","1990",""
"충청남도 공주시 금흥동","일반","6**","한적2길","제2종일반주거","제2종근린생활","12m미만","389.82","265.80","63,000","null","202007","1"," ","2014",""
"충청남도 공주시 금흥동","집합","6**","신금1길","준주거","제1종근린생활","25m미만","40.6"," ","33,903","1","202007","26"," ","2020",""
"충청남도 공주시 금흥동","집합","6**","신금1길","준주거","제1종근린생활","25m미만","77.08"," ","14,930","2","202011","10"," ","2020",""
"충청남도 공주시 동현동","일반","6**","-","계획관리","업무","8m미만","193.77","1602.00","26,383","null","202003","30"," ","1993",""
"충청남도 공주시 반죽동","일반","1**","대통1길","제2종일반주거","제2종근린생활","12m미만","135.66","125.60","20,000","null","202012","4"," ","1990",""
"충청남도 공주시 반죽동","일반","1**","대통1길","제2종일반주거","제2종근린생활","12m미만","135.66","125.60","20,000","null","202012","4"," ","1990","20210118"
"충청남도 공주시 반포면 공암리","일반","4**","반포초교길","자연녹지","제2종근린생활","12m미만","194.4","1017.00","56,200","null","202007","27"," ","2000",""
"충청남도 공주시 반포면 공암리","일반","4**","반포초교길","자연녹지","제2종근린생활","12m미만","194.4","2104.00","113,180","null","202007","27"," ","2000","20201022"
"충청남도 공주시 반포면 마암리","일반","2**","서덕산길","계획관리","제1종근린생활","25m미만","479.7","1313.00","98,000","null","202006","9"," ","1999",""
