"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 연립다세대(전월세)"
"주소구분 : 지번주소"
"시도 : 충청남도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세(만원)","층","건축년도","도로명"
"충청남도 공주시 교동","52-8","0052","0008","금강캐슬1동","전세","68.37","202008","12","12,000","0","2","2018","교동1길 18-1"
"충청남도 공주시 교동","52-7","0052","0007","금강캐슬2동","월세","68.1","202009","1","1,000","50","5","2018","교동1길 18-3"
"충청남도 공주시 교동","52-7","0052","0007","금강캐슬2동","월세","49.02","202010","3","1,000","40","5","2018","교동1길 18-3"
"충청남도 공주시 교동","52","0052","0000","금강캐슬3동","월세","67.52","202007","23","1,000","50","5","2018","교동1길 18-5"
"충청남도 공주시 교동","52-4","0052","0004","금강캐슬4동","월세","59.94","202008","5","1,000","48","2","2018","교동1길 18-4"
"충청남도 공주시 교동","52-4","0052","0004","금강캐슬4동","전세","56.56","202008","13","10,500","0","5","2018","교동1길 18-4"
"충청남도 공주시 교동","52-4","0052","0004","금강캐슬4동","월세","54.72","202009","1","500","50","4","2018","교동1길 18-4"
"충청남도 공주시 교동","52-5","0052","0005","금강캐슬5동","월세","58.74","202008","20","1,000","45","2","2018","교동1길 18-2"
"충청남도 공주시 교동","52-5","0052","0005","금강캐슬5동","월세","57.99","202008","26","1,000","45","3","2018","교동1길 18-2"
"충청남도 공주시 금학동","243","0243","0000","꽃모시","전세","33.63","202005","21","2,500","0","2","2002","우금티로 496-5"
"충청남도 공주시 금학동","243","0243","0000","꽃모시","월세","34.5","202006","4","300","25","3","2002","우금티로 496-5"
"충청남도 공주시 금학동","243","0243","0000","꽃모시","월세","33.63","202008","28","300","25","2","2002","우금티로 496-5"
"충청남도 공주시 금학동","79-1","0079","0001","영우마을","월세","47.3054","202005","26","1,361","21","3","1999","원댕이길 8"
"충청남도 공주시 금학동","79-1","0079","0001","영우마을","월세","37.946","202007","20","300","25","3","1999","원댕이길 8"
"충청남도 공주시 금학동","79-1","0079","0001","영우마을","월세","47.3054","202011","9","500","30","3","1999","원댕이길 8"
"충청남도 공주시 금학동","75-8","0075","0008","영우마을2차","월세","81.8699","202006","23","1,929","41","4","2002","원댕이길 8-8"
"충청남도 공주시 금학동","236-2","0236","0002","초원프라자상가","월세","33","202102","19","30","33","3","2006","우금티로 513"
"충청남도 공주시 금학동","197-5","0197","0005","파인트리빌","전세","64.0328","202006","11","12,500","0","3","2020","뱁새울길 7"
"충청남도 공주시 금학동","197-5","0197","0005","파인트리빌","전세","53.6198","202006","17","10,500","0","2","2020","뱁새울길 7"
"충청남도 공주시 금학동","197-5","0197","0005","파인트리빌","전세","64.0328","202007","9","13,500","0","4","2020","뱁새울길 7"
"충청남도 공주시 반포면 봉곡리","213-1","0213","0001","다솜빌","월세","80.25","202012","14","2,000","30","3","2003","원당1길 44-8"
"충청남도 공주시 반포면 학봉리","555-1","0555","0001","보스코하임(1동)","월세","53.665","202003","2","500","45","1","2015","석봉길 14-10"
"충청남도 공주시 봉정동","71-1","0071","0001","늘푸른빌리지","월세","120.215","202007","20","300","60","1","2015","새재길 16"
"충청남도 공주시 봉정동","71-1","0071","0001","늘푸른빌리지","월세","120.215","202007","27","500","60","3","2015","새재길 16"
"충청남도 공주시 봉정동","71-1","0071","0001","늘푸른빌리지","월세","120.215","202008","9","1,000","70","1","2015","새재길 16"
"충청남도 공주시 봉정동","71-1","0071","0001","늘푸른빌리지","월세","120.215","202010","21","1,000","70","2","2015","새재길 16"
"충청남도 공주시 봉정동","71-1","0071","0001","늘푸른빌리지","월세","120.215","202101","8","4,000","50","4","2015","새재길 16"
"충청남도 공주시 산성동","145-3","0145","0003","덕성궁전타운","월세","100.45","202010","11","800","45","3","1990","산성찬호길 12"
"충청남도 공주시 신관동","335-4","0335","0004","(335-4)","월세","71.745","202004","15","500","35","1","1992","관골1길 55-27"
"충청남도 공주시 신관동","24-30","0024","0030","동광원룸","전세","19.54","202005","23","3,000","0","2","2012","흑수골길 45-7"
"충청남도 공주시 신관동","24-30","0024","0030","동광원룸","전세","27.21","202007","25","4,000","0","4","2012","흑수골길 45-7"
"충청남도 공주시 신관동","24-30","0024","0030","동광원룸","전세","24.77","202012","22","4,000","0","5","2012","흑수골길 45-7"
"충청남도 공주시 신관동","24-27","0024","0027","샤인빌","전세","20.22","202003","12","4,000","0","1","2013","흑수골길 45-5"
"충청남도 공주시 신관동","24-27","0024","0027","샤인빌","전세","20.22","202011","15","4,000","0","3","2013","흑수골길 45-5"
"충청남도 공주시 신관동","25","0025","0000","창하우스","전세","39.96","202011","19","6,000","0","3","2012","흑수골길 41-4"
"충청남도 공주시 옥룡동","42-7","0042","0007","공주전화국사택","월세","54.72","202102","22","1,000","42","2","1989","성산4길 10"
"충청남도 공주시 옥룡동","89-5","0089","0005","남양빌라","월세","59.7","202012","21","500","20","1","1991","수원골2길 20"
"충청남도 공주시 옥룡동","42-12","0042","0012","옥룡동다세대1동","전세","49.15","202009","1","1,755","0","3","1990","성산3길 5"
"충청남도 공주시 옥룡동","11-12","0011","0012","중앙빌라","전세","76.62","202003","11","4,500","0","4","1992","버드나무4길 17"
"충청남도 공주시 옥룡동","255-9","0255","0009","청송맨션103동","월세","125.17","202005","5","500","30","1","1993","옥룡1길 24"
"충청남도 공주시 옥룡동","104-2","0104","0002","화신임대주택2차","월세","40.3496","202006","20","500","30","2","1998","우금티로 695-9"
"충청남도 공주시 옥룡동","104-2","0104","0002","화신임대주택2차","월세","35.7116","202102","10","500","30","2","1998","우금티로 695-9"
"충청남도 공주시 옥룡동","104-2","0104","0002","화신임대주택2차","월세","35.7116","202102","15","500","30","1","1998","우금티로 695-9"
"충청남도 공주시 옥룡동","104-2","0104","0002","화신임대주택2차","월세","43.6256","202102","27","500","30","4","1998","우금티로 695-9"
"충청남도 공주시 웅진동","95-2","0095","0002","덕수빌리지103동","월세","76.27","202003","21","500","45","2","2004","시어골1길 12"
"충청남도 공주시 웅진동","270-29","0270","0029","동선빌딩(2)","월세","22.05","202006","6","100","35","4","2016","왕릉로 12"
"충청남도 공주시 웅진동","610-62","0610","0062","웅진캐슬","전세","70.38","202011","11","18,000","0","4","2020","중미산길 41"
"충청남도 공주시 유구읍 백교리","137-26","0137","0026","삼화주택F동","전세","51.85","202010","27","1,600","0","1","1990","중앙1길 27-5"
"충청남도 공주시 유구읍 유구리","648-8","0648","0008","구산연립","전세","62.46","202006","15","2,500","0","2","1991","창말길 30"
"충청남도 공주시 유구읍 유구리","458-1","0458","0001","웅진그린빌","전세","74.518","202010","13","5,000","0","3","2013","유구마곡사로 89"
"충청남도 공주시 이인면 이인리","289-1","0289","0001","이인빌라","전세","74.2604","202009","23","3,000","0","3","2002","은행길 36-1"
"충청남도 공주시 주미동","279-1","0279","0001","J&M빌","전세","46.15","202007","20","4,500","0","4","2014","주미길 48"
"충청남도 공주시 주미동","279-1","0279","0001","J&M빌","전세","46.15","202012","6","4,800","0","2","2014","주미길 48"
