"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 오피스텔(매매)"
"주소구분 : 지번주소"
"시도 : 경상북도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"경상북도 경주시 감포읍 감포리","30-2","30","2","감포읍 감포리 30-2 감포 품 안애 (주식회사동부주택)","83.83","202012","23","11,000","7","2018","동해안로 2278",""
"경상북도 경주시 감포읍 감포리","30-2","30","2","감포읍 감포리 30-2 감포 품 안애 (주식회사동부주택)","83.75","202101","15","9,500","8","2018","동해안로 2278",""
"경상북도 경주시 감포읍 감포리","30-2","30","2","감포읍 감포리 30-2 감포 품 안애 (주식회사동부주택)","83.75","202101","25","11,000","7","2018","동해안로 2278",""
"경상북도 경주시 감포읍 감포리","30-2","30","2","감포읍 감포리 30-2 감포 품 안애 (주식회사동부주택)","83.75","202101","27","16,000","7","2018","동해안로 2278",""
"경상북도 경주시 감포읍 감포리","86","86","0","감포읍 꿈애공간 아파트","79.81","202101","20","17,328","7","2017","감포로8길 33",""
"경상북도 경주시 감포읍 감포리","86","86","0","감포읍 꿈애공간 아파트","79.18","202101","20","21,600","2","2017","감포로8길 33",""
"경상북도 경주시 감포읍 감포리","86","86","0","감포읍 꿈애공간 아파트","79.81","202102","1","17,328","8","2017","감포로8길 33",""
"경상북도 경주시 감포읍 오류리","137","137","0","A동","23.16","202011","12","2,000","4","2005","동해안로 2674",""
"경상북도 경주시 감포읍 오류리","137","137","0","A동","33.05","202101","19","5,000","5","2005","동해안로 2674",""
"경상북도 경주시 감포읍 오류리","137","137","0","A동","28.8","202101","29","3,000","1","2005","동해안로 2674",""
"경상북도 경주시 감포읍 오류리","137","137","0","A동","34.2","202102","9","3,900","2","2005","동해안로 2674",""
"경상북도 경주시 감포읍 오류리","137","137","0","A동","23.16","202102","25","3,400","5","2005","동해안로 2674",""
"경상북도 경주시 감포읍 오류리","281-1","281","1","감포비치레지던스","33.27","202004","23","3,877","3","2019","감포로 373",""
"경상북도 경주시 감포읍 오류리","281-1","281","1","감포비치레지던스","33.75","202004","23","3,933","3","2019","감포로 373",""
"경상북도 경주시 감포읍 오류리","281-1","281","1","감포비치레지던스","40.5","202004","23","4,720","3","2019","감포로 373",""
"경상북도 경주시 감포읍 오류리","281-1","281","1","감포비치레지던스","45.84","202004","23","7,514","4","2019","감포로 373",""
"경상북도 경주시 감포읍 오류리","281-1","281","1","감포비치레지던스","71.81","202004","23","13,199","4","2019","감포로 373",""
"경상북도 경주시 감포읍 오류리","281-1","281","1","감포비치레지던스","44.73","202004","23","8,228","4","2019","감포로 373",""
"경상북도 경주시 감포읍 오류리","281-1","281","1","감포비치레지던스","44.73","202004","23","6,128","4","2019","감포로 373",""
"경상북도 경주시 감포읍 오류리","281-1","281","1","감포비치레지던스","44.73","202004","23","8,228","4","2019","감포로 373",""
"경상북도 경주시 감포읍 오류리","281-1","281","1","감포비치레지던스","44.78","202004","23","8,225","4","2019","감포로 373",""
"경상북도 경주시 감포읍 오류리","281-1","281","1","감포비치레지던스","33.75","202004","23","6,199","4","2019","감포로 373",""
"경상북도 경주시 감포읍 오류리","281-1","281","1","감포비치레지던스","33.75","202004","23","6,199","4","2019","감포로 373",""
"경상북도 경주시 감포읍 오류리","281-1","281","1","감포비치레지던스","33.75","202004","23","6,199","4","2019","감포로 373",""
"경상북도 경주시 감포읍 오류리","281-1","281","1","감포비치레지던스","33.75","202004","23","6,199","4","2019","감포로 373",""
"경상북도 경주시 감포읍 오류리","281-1","281","1","감포비치레지던스","33.75","202004","23","6,199","4","2019","감포로 373",""
"경상북도 경주시 감포읍 오류리","281-1","281","1","감포비치레지던스","33.28","202004","23","6,146","4","2019","감포로 373",""
"경상북도 경주시 감포읍 오류리","281-1","281","1","감포비치레지던스","33.27","202004","23","6,066","4","2019","감포로 373",""
"경상북도 경주시 감포읍 오류리","281-1","281","1","감포비치레지던스","33.75","202004","23","6,199","4","2019","감포로 373",""
"경상북도 경주시 감포읍 오류리","281-1","281","1","감포비치레지던스","40.5","202004","23","7,423","4","2019","감포로 373",""
"경상북도 경주시 감포읍 오류리","281-1","281","1","감포비치레지던스","45.84","202004","23","5,342","5","2019","감포로 373",""
"경상북도 경주시 감포읍 오류리","281-1","281","1","감포비치레지던스","71.81","202004","23","8,368","5","2019","감포로 373",""
"경상북도 경주시 감포읍 오류리","281-1","281","1","감포비치레지던스","44.73","202004","23","5,212","5","2019","감포로 373",""
"경상북도 경주시 감포읍 오류리","281-1","281","1","감포비치레지던스","44.73","202004","23","5,212","5","2019","감포로 373",""
"경상북도 경주시 감포읍 오류리","281-1","281","1","감포비치레지던스","44.73","202004","23","5,212","5","2019","감포로 373",""
"경상북도 경주시 감포읍 오류리","281-1","281","1","감포비치레지던스","44.78","202004","23","5,218","5","2019","감포로 373",""
"경상북도 경주시 감포읍 오류리","281-1","281","1","감포비치레지던스","33.75","202004","23","3,933","5","2019","감포로 373",""
"경상북도 경주시 감포읍 오류리","281-1","281","1","감포비치레지던스","33.75","202004","23","3,933","5","2019","감포로 373",""
"경상북도 경주시 감포읍 오류리","281-1","281","1","감포비치레지던스","33.75","202004","23","4,624","7","2019","감포로 373",""
"경상북도 경주시 감포읍 오류리","281-1","281","1","감포비치레지던스","33.75","202004","23","4,624","7","2019","감포로 373",""
"경상북도 경주시 감포읍 오류리","281-1","281","1","감포비치레지던스","33.75","202004","23","4,624","7","2019","감포로 373",""
"경상북도 경주시 감포읍 오류리","281-1","281","1","감포비치레지던스","33.75","202004","23","4,624","7","2019","감포로 373",""
"경상북도 경주시 감포읍 오류리","281-1","281","1","감포비치레지던스","33.75","202004","23","4,624","7","2019","감포로 373",""
"경상북도 경주시 감포읍 오류리","281-1","281","1","감포비치레지던스","33.28","202004","23","4,559","7","2019","감포로 373",""
"경상북도 경주시 감포읍 오류리","281-1","281","1","감포비치레지던스","33.27","202004","23","4,558","7","2019","감포로 373",""
"경상북도 경주시 감포읍 오류리","281-1","281","1","감포비치레지던스","33.75","202004","23","4,624","7","2019","감포로 373",""
"경상북도 경주시 감포읍 오류리","281-1","281","1","감포비치레지던스","33.75","202004","23","4,624","2","2019","감포로 373",""
"경상북도 경주시 감포읍 오류리","281-1","281","1","감포비치레지던스","45.84","202004","23","6,281","2","2019","감포로 373",""
"경상북도 경주시 감포읍 오류리","281-1","281","1","감포비치레지던스","71.81","202004","23","9,838","2","2019","감포로 373",""
"경상북도 경주시 감포읍 오류리","281-1","281","1","감포비치레지던스","44.73","202004","23","6,128","2","2019","감포로 373",""
"경상북도 경주시 감포읍 오류리","281-1","281","1","감포비치레지던스","44.73","202004","23","6,128","2","2019","감포로 373",""
"경상북도 경주시 감포읍 오류리","281-1","281","1","감포비치레지던스","44.73","202004","23","6,128","2","2019","감포로 373",""
"경상북도 경주시 감포읍 오류리","281-1","281","1","감포비치레지던스","44.78","202004","23","6,135","2","2019","감포로 373",""
"경상북도 경주시 감포읍 오류리","281-1","281","1","감포비치레지던스","33.75","202004","23","4,624","2","2019","감포로 373",""
"경상북도 경주시 감포읍 오류리","281-1","281","1","감포비치레지던스","33.75","202004","23","4,624","2","2019","감포로 373",""
"경상북도 경주시 감포읍 오류리","281-1","281","1","감포비치레지던스","33.75","202004","23","4,624","2","2019","감포로 373",""
"경상북도 경주시 감포읍 오류리","281-1","281","1","감포비치레지던스","33.75","202004","23","4,624","2","2019","감포로 373",""
"경상북도 경주시 감포읍 오류리","281-1","281","1","감포비치레지던스","33.28","202004","23","4,559","2","2019","감포로 373",""
"경상북도 경주시 감포읍 오류리","281-1","281","1","감포비치레지던스","33.27","202004","23","4,558","2","2019","감포로 373",""
"경상북도 경주시 감포읍 오류리","281-1","281","1","감포비치레지던스","33.75","202004","23","4,624","2","2019","감포로 373",""
"경상북도 경주시 감포읍 오류리","281-1","281","1","감포비치레지던스","40.5","202004","23","5,549","2","2019","감포로 373",""
"경상북도 경주시 감포읍 오류리","281-1","281","1","감포비치레지던스","45.84","202004","23","5,342","3","2019","감포로 373",""
"경상북도 경주시 감포읍 오류리","281-1","281","1","감포비치레지던스","71.81","202004","23","8,368","3","2019","감포로 373",""
"경상북도 경주시 감포읍 오류리","281-1","281","1","감포비치레지던스","44.73","202004","23","5,212","3","2019","감포로 373",""
"경상북도 경주시 감포읍 오류리","281-1","281","1","감포비치레지던스","44.73","202004","23","5,212","3","2019","감포로 373",""
"경상북도 경주시 감포읍 오류리","281-1","281","1","감포비치레지던스","44.73","202004","23","5,212","3","2019","감포로 373",""
"경상북도 경주시 감포읍 오류리","281-1","281","1","감포비치레지던스","44.78","202004","23","5,218","3","2019","감포로 373",""
"경상북도 경주시 감포읍 오류리","281-1","281","1","감포비치레지던스","33.75","202004","23","3,933","3","2019","감포로 373",""
"경상북도 경주시 감포읍 오류리","281-1","281","1","감포비치레지던스","33.75","202004","23","3,933","3","2019","감포로 373",""
"경상북도 경주시 감포읍 오류리","281-1","281","1","감포비치레지던스","33.75","202004","23","3,933","3","2019","감포로 373",""
"경상북도 경주시 감포읍 오류리","281-1","281","1","감포비치레지던스","33.75","202004","23","3,933","3","2019","감포로 373",""
"경상북도 경주시 감포읍 오류리","281-1","281","1","감포비치레지던스","33.75","202004","23","3,933","3","2019","감포로 373",""
"경상북도 경주시 감포읍 오류리","281-1","281","1","감포비치레지던스","33.28","202004","23","3,878","3","2019","감포로 373",""
"경상북도 경주시 감포읍 오류리","281-1","281","1","감포비치레지던스","33.75","202004","23","3,933","5","2019","감포로 373",""
"경상북도 경주시 감포읍 오류리","281-1","281","1","감포비치레지던스","33.75","202004","23","3,933","5","2019","감포로 373",""
"경상북도 경주시 감포읍 오류리","281-1","281","1","감포비치레지던스","33.75","202004","23","3,933","5","2019","감포로 373",""
"경상북도 경주시 감포읍 오류리","281-1","281","1","감포비치레지던스","33.28","202004","23","3,878","5","2019","감포로 373",""
"경상북도 경주시 감포읍 오류리","281-1","281","1","감포비치레지던스","33.27","202004","23","4,558","5","2019","감포로 373",""
"경상북도 경주시 감포읍 오류리","281-1","281","1","감포비치레지던스","33.75","202004","23","4,624","5","2019","감포로 373",""
"경상북도 경주시 감포읍 오류리","281-1","281","1","감포비치레지던스","45.84","202004","23","6,281","6","2019","감포로 373",""
"경상북도 경주시 감포읍 오류리","281-1","281","1","감포비치레지던스","71.81","202004","23","9,838","6","2019","감포로 373",""
"경상북도 경주시 감포읍 오류리","281-1","281","1","감포비치레지던스","44.73","202004","23","6,128","6","2019","감포로 373",""
"경상북도 경주시 감포읍 오류리","281-1","281","1","감포비치레지던스","44.73","202004","23","6,128","6","2019","감포로 373",""
"경상북도 경주시 감포읍 오류리","281-1","281","1","감포비치레지던스","44.73","202004","23","6,128","6","2019","감포로 373",""
"경상북도 경주시 감포읍 오류리","281-1","281","1","감포비치레지던스","44.78","202004","23","6,135","6","2019","감포로 373",""
"경상북도 경주시 감포읍 오류리","281-1","281","1","감포비치레지던스","33.75","202004","23","4,624","6","2019","감포로 373",""
"경상북도 경주시 감포읍 오류리","281-1","281","1","감포비치레지던스","33.75","202004","23","4,624","6","2019","감포로 373",""
"경상북도 경주시 감포읍 오류리","281-1","281","1","감포비치레지던스","33.75","202004","23","4,624","6","2019","감포로 373",""
"경상북도 경주시 감포읍 오류리","281-1","281","1","감포비치레지던스","33.75","202004","23","4,624","6","2019","감포로 373",""
"경상북도 경주시 감포읍 오류리","281-1","281","1","감포비치레지던스","33.75","202004","23","4,624","6","2019","감포로 373",""
"경상북도 경주시 감포읍 오류리","281-1","281","1","감포비치레지던스","33.28","202004","23","4,559","6","2019","감포로 373",""
"경상북도 경주시 감포읍 오류리","281-1","281","1","감포비치레지던스","33.27","202004","23","4,558","6","2019","감포로 373",""
"경상북도 경주시 감포읍 오류리","281-1","281","1","감포비치레지던스","33.75","202004","23","4,624","6","2019","감포로 373",""
"경상북도 경주시 감포읍 오류리","281-1","281","1","감포비치레지던스","45.84","202004","23","6,281","7","2019","감포로 373",""
"경상북도 경주시 감포읍 오류리","281-1","281","1","감포비치레지던스","71.81","202004","23","9,838","7","2019","감포로 373",""
"경상북도 경주시 감포읍 오류리","281-1","281","1","감포비치레지던스","44.73","202004","23","6,128","7","2019","감포로 373",""
"경상북도 경주시 감포읍 오류리","281-1","281","1","감포비치레지던스","44.73","202004","23","6,128","7","2019","감포로 373",""
"경상북도 경주시 감포읍 오류리","281-1","281","1","감포비치레지던스","44.73","202004","23","6,128","7","2019","감포로 373",""
"경상북도 경주시 감포읍 오류리","281-1","281","1","감포비치레지던스","44.78","202004","23","6,135","7","2019","감포로 373",""
"경상북도 경주시 감포읍 오류리","281-1","281","1","감포비치레지던스","44.73","202004","24","16,001","4","2019","감포로 373",""
"경상북도 경주시 감포읍 오류리","281-1","281","1","감포비치레지던스","44.73","202004","24","17,289","7","2019","감포로 373",""
"경상북도 경주시 감포읍 오류리","281-1","281","1","감포비치레지던스","44.73","202004","24","16,470","6","2019","감포로 373",""
"경상북도 경주시 감포읍 오류리","281-1","281","1","감포비치레지던스","44.73","202004","24","18,299","6","2019","감포로 373",""
"경상북도 경주시 감포읍 오류리","281-1","281","1","감포비치레지던스","33.27","202004","24","11,596","5","2019","감포로 373",""
"경상북도 경주시 감포읍 오류리","281-1","281","1","감포비치레지던스","44.73","202004","24","16,470","6","2019","감포로 373",""
"경상북도 경주시 건천읍 건천리","242-10","242","10","해밀튼카운티","62.02","202102","19","7,400","2","null","용명공단길 7-6",""
"경상북도 경주시 노서동","74","74","0","	(74)	","79.09","202012","12","14,800","2","2007","원효로 79",""
"경상북도 경주시 동부동","155","155","0","가동","81.94","202005","27","11,770","4","2016","중앙로 73",""
"경상북도 경주시 동부동","155","155","0","가동","81.94","202008","12","11,770","3","2016","중앙로 73",""
"경상북도 경주시 동천동","586-115","586","115","(586-115)","88.04","202007","8","13,660","4","2015","알천북로249번길 10",""
"경상북도 경주시 동천동","586-115","586","115","(586-115)","88.04","202011","3","14,000","3","2015","알천북로249번길 10",""
"경상북도 경주시 동천동","889-4","889","4","(889-4)","89.87","202006","23","20,000","7","2020","탈해로 56",""
"경상북도 경주시 동천동","889-4","889","4","(889-4)","89.87","202006","26","20,000","8","2020","탈해로 56",""
"경상북도 경주시 동천동","695-14","695","14","J-PARK","78.99","202011","16","20,000","3","2016","소금강로8번길 16-5",""
"경상북도 경주시 동천동","599-19","599","19","WORLD-VISION","78.02","202008","18","18,200","2","2014","양정로 201",""
"경상북도 경주시 동천동","913-10","913","10","동보자연애","84.71","202006","15","15,500","9","2015","탈해로5번길 1",""
"경상북도 경주시 동천동","913-10","913","10","동보자연애","84.71","202011","14","17,000","4","2015","탈해로5번길 1",""
"경상북도 경주시 동천동","695-16","695","16","동부이끌림3차","84.78","202006","19","12,800","4","2013","소금강로8번길 20",""
"경상북도 경주시 동천동","695-16","695","16","동부이끌림3차","84.89","202010","28","14,500","5","2013","소금강로8번길 20",""
"경상북도 경주시 동천동","832","832","0","동부이끌림4차","84.51","202006","25","12,500","6","2013","동천로72번길 16",""
"경상북도 경주시 동천동","832","832","0","동부이끌림4차","83.53","202010","5","13,200","5","2013","동천로72번길 16","20201013"
"경상북도 경주시 동천동","832","832","0","동부이끌림4차","83.53","202010","13","13,200","5","2013","동천로72번길 16",""
"경상북도 경주시 동천동","832","832","0","동부이끌림4차","83.53","202101","19","14,000","3","2013","동천로72번길 16",""
"경상북도 경주시 동천동","697-147","697","147","동부이끌림8차B","84.88","202010","23","14,500","5","2015"," ",""
"경상북도 경주시 동천동","697-147","697","147","동부이끌림8차B","84.92","202102","17","16,000","5","2015"," ",""
"경상북도 경주시 동천동","733-664","733","664","세림타워빌","108.72","202008","27","10,800","8","2003","양정로202번길 18",""
"경상북도 경주시 동천동","733-664","733","664","세림타워빌","108.72","202101","19","13,000","7","2003","양정로202번길 18",""
"경상북도 경주시 동천동","773-2","773","2","트리움","59.98","202008","27","10,000","5","2016","백률로 65-3",""
"경상북도 경주시 서부동","4-6","4","6","천광오피스텔","34.71","202003","21","2,400","5","1997","북성로51번길 26-18",""
"경상북도 경주시 서부동","4-6","4","6","천광오피스텔","34.71","202004","1","1,500","3","1997","북성로51번길 26-18",""
"경상북도 경주시 석장동","731-2","731","2","	(731-2)	","24.42","202003","11","4,550","3","2011","석장길 40-11",""
"경상북도 경주시 석장동","731-2","731","2","	(731-2)	","24.42","202003","18","4,550","4","2011","석장길 40-11",""
"경상북도 경주시 석장동","731-2","731","2","	(731-2)	","24.42","202006","23","4,550","4","2011","석장길 40-11",""
"경상북도 경주시 석장동","731-2","731","2","	(731-2)	","24.42","202102","16","4,200","4","2011","석장길 40-11",""
"경상북도 경주시 석장동","742","742","0","건일프라임하우스","27.01","202004","1","5,250","4","2012","석장1길 16-19",""
"경상북도 경주시 석장동","742","742","0","건일프라임하우스","27.01","202008","4","5,000","5","2012","석장1길 16-19","20200804"
"경상북도 경주시 석장동","742","742","0","건일프라임하우스","21.31","202009","22","4,300","4","2012","석장1길 16-19",""
"경상북도 경주시 석장동","742","742","0","건일프라임하우스","27.01","202009","22","4,500","5","2012","석장1길 16-19",""
"경상북도 경주시 성건동","600-1","600","1","	(600-1)	","48.78","202101","6","8,100","3","2008","강변로 368",""
"경상북도 경주시 성건동","630-6","630","6","경우오피스텔","27.65","202006","24","3,000","7","2000","금성로408번길 16",""
"경상북도 경주시 성건동","630-6","630","6","경우오피스텔","27.65","202006","24","3,000","3","2000","금성로408번길 16",""
"경상북도 경주시 성건동","630-6","630","6","경우오피스텔","27.65","202007","24","3,000","4","2000","금성로408번길 16",""
"경상북도 경주시 성건동","630-6","630","6","경우오피스텔","27.65","202101","4","2,950","3","2000","금성로408번길 16",""
"경상북도 경주시 성건동","630-6","630","6","경우오피스텔","32.55","202101","13","3,000","6","2000","금성로408번길 16",""
"경상북도 경주시 성건동","482-1","482","1","성건디오채","84.88","202004","3","14,450","5","2013","금성로347번길 36",""
"경상북도 경주시 성건동","482-1","482","1","성건디오채","84.88","202006","23","14,400","5","2013","금성로347번길 36",""
"경상북도 경주시 성건동","482-1","482","1","성건디오채","84.88","202007","12","13,700","7","2013","금성로347번길 36",""
"경상북도 경주시 성건동","633-4","633","4","퓨전주거오피스텔","70.47","202009","2","5,500","7","2001","공영주택길 36",""
"경상북도 경주시 성동동","188-135","188","135","	(188-135)	","59.46","202101","6","11,000","5","2013","원화로341번길 18",""
"경상북도 경주시 성동동","420-33","420","33","동부이끌림7차","84.8","202006","5","12,000","2","2014","양정로 144-19",""
"경상북도 경주시 성동동","338","338","0","성동세솔빌","78.27","202003","23","15,000","2","null","북정로 63-9",""
"경상북도 경주시 성동동","188-36","188","36","애스톤하우스","84.72","202101","21","19,500","5","2016","북정로 123",""
"경상북도 경주시 시래동","1006-2","1006","2","	(1006-2)	","49.33","202008","18","3,600","1","2008","구매3길 19-8",""
"경상북도 경주시 시래동","1006-2","1006","2","	(1006-2)	","49.33","202008","18","5,100","5","2008","구매3길 19-8",""
"경상북도 경주시 시래동","1005-1","1005","1","e-그린","59.4","202010","28","7,400","5","2013","구매두림길 48",""
