"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 전라북도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","건축년도","도로명","해제사유발생일"
"전라북도 고창군 고창읍 읍내리","1**","단독","8m미만","67.17","212","202003","3","14,500","1989","성산4길",""
"전라북도 고창군 고창읍 읍내리","4**","단독","8m미만","86.45","212","202101","8","11,500","1973","남정2길",""
"전라북도 고창군 고창읍 읍내리","1**","단독","25m미만","135.46","282","202006","30","20,000","1991","성산6길",""
"전라북도 고창군 고창읍 읍내리","3**","단독","12m미만","144.2","373","202009","15","27,500","1972","남정10길",""
"전라북도 고창군 고창읍 읍내리","4**","단독","8m미만","108.66","413","202102","8","12,000","1997","서문2길",""
"전라북도 고창군 고창읍 읍내리","1**","단독","12m미만","79.3","430","202011","2","23,000","1941","동리로",""
"전라북도 고창군 고창읍 읍내리","5*","단독","8m미만","85.5","1164","202010","20","24,600","1997","동산2길",""
"전라북도 고창군 고창읍 주곡리","3**","단독","8m미만","47","96","202012","29","500","1924","주곡1길",""
"전라북도 고창군 고창읍 주곡리","2**","단독","8m미만","25.19","274","202005","1","6,500","1996","주곡2길",""
"전라북도 고창군 공음면 구암리","4**","단독","8m미만","68","331","202102","15","4,000","1923","마래길",""
"전라북도 고창군 공음면 구암리","3**","단독","8m미만","68.04","553","202008","12","8,200","1997","마래길",""
"전라북도 고창군 공음면 군유리","2**","단독","8m미만","19.1","249","202101","4","500","1982","하군길",""
"전라북도 고창군 공음면 군유리","5**","단독","8m미만","92.3","773","202101","22","1,000","1997","하군길",""
"전라북도 고창군 공음면 덕암리","2**","단독","8m미만","72","417","202005","14","3,100","1971","평촌길",""
"전라북도 고창군 공음면 두암리","4**","단독","12m미만","91","435.5","202102","9","910","1954","동학농민군로","20210312"
"전라북도 고창군 공음면 두암리","2**","단독","8m미만","99.63","659","202010","15","12,000","2015","null",""
"전라북도 고창군 공음면 선동리","7**","단독","8m미만","89.53","659","202101","23","22,500","2016","학원농장길",""
"전라북도 고창군 공음면 예전리","3**","단독","8m미만","91.3","678","202005","21","2,520","1995","지산길",""
"전라북도 고창군 공음면 예전리","3**","단독","8m미만","204.31","1039","202007","2","8,000","2008","지산길",""
"전라북도 고창군 공음면 예전리","1**","단독","12m미만","144.2","1121","202011","18","5,700","1971","공음대산로",""
"전라북도 고창군 공음면 용수리","4**","단독","12m미만","97.7","659","202006","30","5,200","2002","왕제산로",""
"전라북도 고창군 공음면 장곡리","4**","단독","8m미만","87.1","694","202005","30","600","1940","장곡길",""
