"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 전라북도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"전라북도 고창군 고창읍 교촌리","57-8","0057","0008","뉴캐슬빌 101동","59.81","44.55","202003","26","14,500","2","2011","성덕1길 8-2",""
"전라북도 고창군 고창읍 교촌리","57-8","0057","0008","뉴캐슬빌 101동","56.81","42.35","202004","2","18,000","5","2011","성덕1길 8-2",""
"전라북도 고창군 고창읍 교촌리","57-8","0057","0008","뉴캐슬빌 101동","59.81","44.55","202102","5","15,750","3","2011","성덕1길 8-2",""
"전라북도 고창군 고창읍 교촌리","57-9","0057","0009","뉴캐슬빌 102동","59.81","55.16","202008","20","15,000","2","2011","성덕1길 8-1",""
"전라북도 고창군 고창읍 교촌리","57-10","0057","0010","뉴캐슬빌(103동, 105동)","59.81","53.97","202003","20","15,300","3","2012","성덕1길 8-6",""
"전라북도 고창군 고창읍 교촌리","57-10","0057","0010","뉴캐슬빌(103동, 105동)","59.81","53.97","202010","21","16,000","4","2012","성덕1길 8-6",""
"전라북도 고창군 고창읍 교촌리","57-10","0057","0010","뉴캐슬빌(103동, 105동)","59.81","53.97","202011","5","14,950","3","2012","성덕1길 8-6",""
"전라북도 고창군 고창읍 교촌리","57-12","0057","0012","뉴캐슬빌(104동, 106동)","59.81","55.13","202003","4","15,500","2","2012","성덕1길 8-5",""
"전라북도 고창군 고창읍 교촌리","57-12","0057","0012","뉴캐슬빌(104동, 106동)","59.81","55.13","202004","20","15,500","2","2012","성덕1길 8-5",""
"전라북도 고창군 고창읍 교촌리","231","0231","0000","다솜가","156.98","149.53","202101","26","38,000","3","2006","소반2길 15",""
"전라북도 고창군 고창읍 교촌리","67-3","0067","0003","대흥","84.84","61.81","202008","27","11,500","1","1991","천변북로 129",""
"전라북도 고창군 고창읍 교촌리","68-1","0068","0001","동백(가,나동)","84.93","70.33","202005","9","10,500","1","1990","중앙로 280-7",""
"전라북도 고창군 고창읍 교촌리","68-1","0068","0001","동백(가,나동)","84.93","70.33","202006","26","13,300","1","1990","중앙로 280-7",""
"전라북도 고창군 고창읍 교촌리","68-1","0068","0001","동백(가,나동)","84.93","70.33","202010","8","13,000","2","1990","중앙로 280-7",""
"전라북도 고창군 고창읍 교촌리","68-1","0068","0001","동백(가,나동)","84.93","70.33","202101","13","13,500","1","1990","중앙로 280-7",""
"전라북도 고창군 고창읍 교촌리","68","0068","0000","동백(다동)","84.93","74.06","202003","6","13,000","1","1990","중앙로 280-7",""
"전라북도 고창군 고창읍 교촌리","81-4","0081","0004","삼우","59.94","69.58","202006","7","8,000","2","1985","교촌1길 4-6",""
