"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 오피스텔(매매)"
"주소구분 : 지번주소"
"시도 : 대구광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"대구광역시 남구 대명동","217-2","217","2","(217-2)","84.02","202006","25","36,000","8","2015","대명남2길 19",""
"대구광역시 남구 대명동","217-2","217","2","(217-2)","84.02","202006","25","40,500","8","2015","대명남2길 19",""
"대구광역시 남구 대명동","87-126","87","126","(87-126)","74.47","202006","30","32,000","6","null","대명로58길 51",""
"대구광역시 남구 대명동","87-126","87","126","(87-126)","74.47","202006","30","32,000","2","null","대명로58길 51",""
"대구광역시 남구 대명동","87-126","87","126","(87-126)","74.47","202006","30","32,000","5","null","대명로58길 51",""
"대구광역시 남구 대명동","87-126","87","126","(87-126)","74.47","202006","30","32,000","4","null","대명로58길 51",""
"대구광역시 남구 대명동","87-126","87","126","(87-126)","74.47","202006","30","32,000","3","null","대명로58길 51",""
"대구광역시 남구 대명동","137-4","137","4","ADOS 오피스텔","29.5","202011","19","14,800","5","2020","대명로57길 28",""
"대구광역시 남구 대명동","2282-48","2282","48","리더스빌","51.68","202101","5","18,000","2","2021","명덕로10길 37",""
"대구광역시 남구 대명동","1122-2","1122","2","성당못역 서원프레시빌","29.67","202005","22","13,300","6","2018","대명로 20",""
"대구광역시 남구 대명동","1122-2","1122","2","성당못역 서원프레시빌","29.67","202007","2","13,000","4","2018","대명로 20",""
"대구광역시 남구 대명동","1122-2","1122","2","성당못역 서원프레시빌","49.57","202007","7","19,500","14","2018","대명로 20",""
"대구광역시 남구 대명동","217-1","217","1","영대역 하늘처럼","84.21","202006","25","36,500","6","null","대명남2길 23-2",""
"대구광역시 남구 대명동","217-1","217","1","영대역 하늘처럼","84.96","202006","25","36,000","6","null","대명남2길 23-2",""
"대구광역시 남구 대명동","145-4","145","4","챠밍오퓨런스","46.8","202007","21","9,300","10","2003","대명로 290",""
"대구광역시 남구 대명동","145-4","145","4","챠밍오퓨런스","65.44","202008","4","11,500","3","2003","대명로 290",""
"대구광역시 남구 대명동","145-4","145","4","챠밍오퓨런스","63.56","202010","5","8,000","5","2003","대명로 290",""
"대구광역시 남구 대명동","145-4","145","4","챠밍오퓨런스","63.56","202101","12","11,000","6","2003","대명로 290",""
"대구광역시 남구 대명동","145-4","145","4","챠밍오퓨런스","65.44","202101","19","8,800","3","2003","대명로 290",""
"대구광역시 남구 대명동","910-1","910","1","현우팰리스","37.22","202009","10","13,400","15","2016","대명로 140",""
"대구광역시 남구 봉덕동","862","862","0","강변 코오롱 하늘채","35.15","202006","21","10,000","10","2008","봉덕로 134",""
"대구광역시 남구 봉덕동","862","862","0","강변 코오롱 하늘채","35.15","202009","28","9,500","2","2008","봉덕로 134",""
"대구광역시 남구 봉덕동","862","862","0","강변 코오롱 하늘채","35.15","202101","15","9,700","3","2008","봉덕로 134",""
"대구광역시 남구 봉덕동","1635","1635","0","강변 효성 백년가약","38.82","202003","10","11,100","9","2012","봉덕로 135",""
"대구광역시 남구 봉덕동","1635","1635","0","강변 효성 백년가약","38.82","202005","18","12,300","19","2012","봉덕로 135",""
"대구광역시 남구 봉덕동","1635","1635","0","강변 효성 백년가약","56.13","202007","20","17,000","13","2012","봉덕로 135",""
"대구광역시 남구 봉덕동","1635","1635","0","강변 효성 백년가약","40.02","202008","20","13,500","18","2012","봉덕로 135",""
"대구광역시 남구 봉덕동","1635","1635","0","강변 효성 백년가약","56.13","202008","25","17,000","8","2012","봉덕로 135",""
"대구광역시 남구 봉덕동","1635","1635","0","강변 효성 백년가약","38.82","202009","4","9,500","18","2012","봉덕로 135",""
"대구광역시 남구 봉덕동","1635","1635","0","강변 효성 백년가약","38.82","202009","21","11,000","16","2012","봉덕로 135",""
"대구광역시 남구 봉덕동","1635","1635","0","강변 효성 백년가약","38.82","202009","28","11,800","14","2012","봉덕로 135",""
"대구광역시 남구 봉덕동","1635","1635","0","강변 효성 백년가약","56.13","202010","17","17,300","7","2012","봉덕로 135",""
