"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 연립다세대(전월세)"
"주소구분 : 지번주소"
"시도 : 대구광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세(만원)","층","건축년도","도로명"
"대구광역시 남구 대명동","1551-8","1551","0008","성한연립","월세","45.255","202005","26","1,000","35","3","1982","골안길 173"
"대구광역시 남구 대명동","1692-2","1692","0002","성호빌라트","전세","65.7064","202006","19","19,000","0","3","2017","대명로47길 43-11"
"대구광역시 남구 대명동","1692-2","1692","0002","성호빌라트","전세","65.7064","202007","3","19,000","0","4","2017","대명로47길 43-11"
"대구광역시 남구 대명동","442-7","0442","0007","송정(B)","전세","77.1","202102","19","11,000","0","3","1992","광덕시장북길 21-2"
"대구광역시 남구 대명동","442-7","0442","0007","송정(B)","전세","77.1","202102","19","11,000","0","3","1992","광덕시장북길 21-2"
"대구광역시 남구 대명동","1821-22","1821","0022","수정(B)","전세","77.27","202006","17","14,000","0","1","1996","명덕로34길 38"
"대구광역시 남구 대명동","1821-22","1821","0022","수정(B)","전세","77.27","202006","17","14,000","0","1","1996","명덕로34길 38"
"대구광역시 남구 대명동","1797-13","1797","0013","쉐르빌","월세","36.54","202003","1","6,000","30","4","2001","중앙대로45길 33"
"대구광역시 남구 대명동","1701-3","1701","0003","신새한","전세","118.89","202011","14","17,000","0","4","1980","대명로49길 12"
"대구광역시 남구 대명동","1220-13","1220","0013","아람빌라트B","전세","77.56","202006","9","9,000","0","2","1996","현충서길 1"
"대구광역시 남구 대명동","1715-36","1715","0036","아름들이","전세","53.98","202006","15","6,657","0","5","2014","현충로27길 9-12"
"대구광역시 남구 대명동","1715-36","1715","0036","아름들이","전세","53.98","202006","15","6,962","0","2","2014","현충로27길 9-12"
"대구광역시 남구 대명동","575-3","0575","0003","아름들이","전세","57.46","202006","15","7,044","0","5","2013","안지랑로5길 9"
"대구광역시 남구 대명동","1715-36","1715","0036","아름들이","전세","53.18","202008","19","6,948","0","2","2014","현충로27길 9-12"
"대구광역시 남구 대명동","1715-36","1715","0036","아름들이","전세","59.76","202008","20","7,715","0","4","2014","현충로27길 9-12"
"대구광역시 남구 대명동","554-18","0554","0018","아름들이(201동202동203동)","전세","56.92","202005","25","7,106","0","4","2013","앞산순환로 423-5"
"대구광역시 남구 대명동","554-4","0554","0004","아름들이(554-4번지)","전세","56.92","202012","30","7,382","0","2","2013","안지랑로2길 10"
"대구광역시 남구 대명동","554-4","0554","0004","아름들이(554-4번지)","전세","56.92","202101","18","7,018","0","5","2013","안지랑로2길 10"
"대구광역시 남구 대명동","1610-3","1610","0003","아진맨션","월세","60.83","202004","14","1,000","35","2","1981","대명복개로4길 127"
"대구광역시 남구 대명동","493-52","0493","0052","알프스","월세","29.55","202004","18","100","24","1","2002","현충로8길 2"
"대구광역시 남구 대명동","493-39","0493","0039","앞산하나빌","전세","24.13","202003","24","4,500","0","2","2001","현충로 34"
"대구광역시 남구 대명동","172-1","0172","0001","양지마을","월세","56.84","202003","28","500","42","4","2002","대명로53길 36-4"
"대구광역시 남구 대명동","172-1","0172","0001","양지마을","월세","25.51","202003","30","500","46","3","2002","대명로53길 36-4"
"대구광역시 남구 대명동","172-1","0172","0001","양지마을","월세","25.51","202003","31","300","45","4","2002","대명로53길 36-4"
"대구광역시 남구 대명동","172-1","0172","0001","양지마을","월세","26.23","202008","8","200","35","2","2002","대명로53길 36-4"
"대구광역시 남구 대명동","172-1","0172","0001","양지마을","월세","26.23","202011","20","2,500","18","4","2002","대명로53길 36-4"
