"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 오피스텔(전월세)"
"주소구분 : 지번주소"
"시도 : 대구광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세(만원)","층","건축년도","도로명"
"대구광역시 달서구 감삼동","702","0702","0000","삼정브리티시용산","월세","34.33","202009","15","2,000","45","2","2013","달구벌대로 1530"
"대구광역시 달서구 감삼동","280-2","0280","0002","죽전역 인터불고 라비다","전세","73.63","202003","4","23,000","0","24","2020","와룡로 148"
"대구광역시 달서구 감삼동","280-2","0280","0002","죽전역 인터불고 라비다","전세","73.63","202003","5","23,000","0","23","2020","와룡로 148"
"대구광역시 달서구 감삼동","280-2","0280","0002","죽전역 인터불고 라비다","전세","73.63","202003","11","23,000","0","21","2020","와룡로 148"
"대구광역시 달서구 감삼동","280-2","0280","0002","죽전역 인터불고 라비다","전세","73.63","202003","18","22,000","0","9","2020","와룡로 148"
"대구광역시 달서구 감삼동","280-2","0280","0002","죽전역 인터불고 라비다","전세","73.63","202003","20","23,000","0","10","2020","와룡로 148"
"대구광역시 달서구 감삼동","280-2","0280","0002","죽전역 인터불고 라비다","전세","73.63","202003","31","22,000","0","6","2020","와룡로 148"
"대구광역시 달서구 감삼동","280-2","0280","0002","죽전역 인터불고 라비다","전세","73.63","202004","2","23,000","0","18","2020","와룡로 148"
"대구광역시 달서구 감삼동","280-2","0280","0002","죽전역 인터불고 라비다","전세","73.63","202004","13","22,000","0","5","2020","와룡로 148"
"대구광역시 달서구 감삼동","280-2","0280","0002","죽전역 인터불고 라비다","전세","73.63","202004","16","23,000","0","13","2020","와룡로 148"
"대구광역시 달서구 감삼동","280-2","0280","0002","죽전역 인터불고 라비다","전세","73.63","202004","25","23,000","0","26","2020","와룡로 148"
