"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 토지(매매)"
"주소구분 : 지번주소"
"시도 : 대구광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"시군구","번지","지목","용도지역","도로조건","계약년월","계약일","계약면적(㎡)","거래금액(만원)","지분구분","해제사유발생일"
"대구광역시 달서구 본리동","*","대","중심상업지역","12m미만","202003","4","582.5","387,640"," ",""
"대구광역시 동구 신평동","4**","답","개발제한구역","8m미만","202003","4","1630","50,800"," ",""
"대구광역시 달서구 대곡동","1***","대","제1종일반주거지역","12m미만","202003","4","291.2","66,000"," ",""
"대구광역시 달성군 논공읍 노이리","3**","답","개발제한구역","8m미만","202003","5","476","1,500","지분",""
"대구광역시 수성구 황금동","산1**","임야","자연녹지지역","12m미만","202003","5","16.46","1,967","지분",""
"대구광역시 동구 송정동","3*","전","자연녹지지역","8m미만","202003","5","678","10,250"," ",""
"대구광역시 달성군 옥포읍 신당리","3**","답","개발제한구역","8m미만","202003","5","1750","13,000"," ",""
"대구광역시 수성구 황금동","산1**","임야","자연녹지지역","-","202003","5","87.88","2,953","지분",""
"대구광역시 수성구 황금동","산1**","임야","자연녹지지역","-","202003","5","952","23,134","지분",""
"대구광역시 북구 침산동","1***","대","제2종일반주거지역","12m미만","202003","5","200","26,500"," ",""
"대구광역시 중구 대봉동","4*","도로","제2종일반주거지역","-","202003","5","26","3,000"," ",""
"대구광역시 수성구 황금동","산1**","임야","자연녹지지역","-","202003","5","100.09","3,833","지분",""
"대구광역시 수성구 황금동","5**","답","제1종일반주거지역","12m미만","202003","5","640","75,000"," ",""
"대구광역시 북구 대현동","2**","도로","제2종일반주거지역","-","202003","5","8.27","80","지분",""
"대구광역시 중구 대봉동","4*","대","제2종일반주거지역","8m미만","202003","5","200","87,000"," ",""
"대구광역시 달성군 가창면 우록리","1***","전","자연녹지지역","-","202003","5","463","9,800"," ",""
"대구광역시 달성군 유가읍 음리","6*","답","자연녹지지역","-","202003","6","476","1,295"," ",""
"대구광역시 북구 사수동","산2*","임야","개발제한구역","-","202003","6","694","1,900"," ",""
"대구광역시 달성군 옥포읍 교항리","2***","답","개발제한구역","8m미만","202003","6","713","15,750"," ",""
"대구광역시 달성군 유가읍 음리","6*","도로","자연녹지지역","-","202003","6","58","2,100"," ",""
"대구광역시 달성군 가창면 상원리","산2*","임야","개발제한구역","8m미만","202003","6","1652.9","2,950","지분",""
"대구광역시 달성군 유가읍 음리","6*","답","자연녹지지역","-","202003","6","74","200"," ",""
"대구광역시 달성군 화원읍 설화리","4*","답","생산녹지지역","8m미만","202003","6","873","26,300"," ",""
"대구광역시 달성군 가창면 삼산리","9**","답","제2종일반주거지역","12m미만","202003","6","467","40,000"," ",""
"대구광역시 달성군 유가읍 음리","6*","답","자연녹지지역","8m미만","202003","6","215","595"," ",""
"대구광역시 달서구 성당동","산2**","임야","자연녹지지역","-","202003","6","7736","66,104"," ",""
"대구광역시 달성군 논공읍 금포리","1***","전","자연녹지지역","8m미만","202003","6","112.38","7,000","지분",""
"대구광역시 달성군 구지면 고봉리","6**","답","자연녹지지역","-","202003","6","807","8,050"," ",""
"대구광역시 중구 남산동","2***","대","제3종일반주거지역","8m미만","202003","7","90","35,100"," ",""
"대구광역시 달성군 구지면 고봉리","6**","답","자연녹지지역","-","202003","7","438","4,350"," ",""
"대구광역시 달성군 다사읍 문양리","7**","전","개발제한구역","-","202003","7","318","5,142"," ",""
"대구광역시 달성군 다사읍 문양리","7**","전","개발제한구역","-","202003","7","486","7,858"," ",""
"대구광역시 수성구 수성동1가","1**","대","근린상업지역","12m미만","202003","8","43","28,600"," ",""
"대구광역시 달성군 옥포읍 본리리","2***","답","준주거지역","-","202003","9","119","10,800"," ",""
"대구광역시 달성군 옥포읍 본리리","2***","답","준주거지역","-","202003","9","281","25,500"," ",""
"대구광역시 수성구 황금동","산1**","임야","자연녹지지역","-","202003","9","9620","256,854"," ",""
"대구광역시 달서구 두류동","8**","대","제2종일반주거지역","8m미만","202003","9","105.1","27,220"," ",""
"대구광역시 동구 효목동","4**","도로","제3종일반주거지역","-","202003","10","11.77","1,000","지분",""
"대구광역시 달성군 옥포읍 본리리","9**","도로","준주거지역","-","202003","10","32","2,500"," ",""
"대구광역시 동구 평광동","6**","답","개발제한구역","8m미만","202003","10","350","3,500"," ",""
"대구광역시 동구 각산동","3**","묘지","준주거지역","8m미만","202003","10","54","4,650"," ",""
"대구광역시 북구 조야동","산3*","임야","자연녹지지역","-","202003","10","6612","5,000"," ",""
"대구광역시 북구 조야동","산3*","임야","자연녹지지역","-","202003","10","19734","5,000"," ",""
"대구광역시 북구 조야동","산3*","임야","개발제한구역","-","202003","10","5290","500"," ",""
"대구광역시 달서구 도원동","1***","답","개발제한구역","-","202003","10","1203","8,900"," ",""
"대구광역시 수성구 범어동","2**","도로","제2종일반주거지역","12m미만","202003","10","15.1","800","지분",""
"대구광역시 수성구 두산동","1**","대","제1종일반주거지역","12m미만","202003","10","304.3","87,000"," ",""
"대구광역시 동구 평광동","6**","답","개발제한구역","8m미만","202003","10","605","9,300"," ",""
"대구광역시 달성군 유가읍 도의리","6**","답","생산녹지지역","12m미만","202003","11","1469","16,090"," ",""
"대구광역시 달성군 옥포읍 김흥리","6**","전","자연녹지지역","8m미만","202003","11","922","19,112"," ",""
"대구광역시 중구 대신동","1**","대","중심상업지역","12m미만","202003","11","2.38","2,000","지분",""
"대구광역시 동구 신무동","산7*","임야","자연환경보전","-","202003","11","132240","2,500","지분",""
"대구광역시 수성구 범어동","산1**","임야","자연녹지지역","-","202003","11","425.52","21,042","지분",""
"대구광역시 수성구 황금동","산1*","임야","자연녹지지역","-","202003","11","186.3","4,536","지분",""
"대구광역시 달성군 유가읍 도의리","6**","답","생산녹지지역","12m미만","202003","11","415","5,000"," ",""
"대구광역시 달성군 가창면 정대리","7**","답","개발제한구역","-","202003","11","1641","6,448"," ",""
"대구광역시 달성군 하빈면 하산리","8**","답","자연녹지지역","-","202003","11","860","9,000"," ",""
"대구광역시 달성군 다사읍 매곡리","4**","도로","준주거지역","-","202003","12","2","1,757","지분",""
"대구광역시 달성군 가창면 상원리","산2*","임야","개발제한구역","8m미만","202003","12","991.74","1,770","지분",""
"대구광역시 동구 신암동","4**","도로","제3종일반주거지역","-","202003","12","31.27","14,000","지분",""
"대구광역시 달성군 다사읍 매곡리","4**","도로","준주거지역","-","202003","12","2.67","2,343","지분",""
"대구광역시 수성구 황금동","7**","도로","제2종일반주거지역","8m미만","202003","12","11.9","2,400","지분",""
"대구광역시 북구 태전동","3**","대","제2종일반주거지역","12m미만","202003","12","163","32,000"," ",""
"대구광역시 북구 태전동","3**","대","제2종일반주거지역","12m미만","202003","12","163","32,000"," ","20200714"
"대구광역시 동구 미곡동","7**","답","개발제한구역","8m미만","202003","12","2347","36,800"," ",""
"대구광역시 달성군 가창면 상원리","산2*","임야","개발제한구역","8m미만","202003","12","396.69","708","지분",""
"대구광역시 달서구 갈산동","1**","도로","일반공업지역","-","202003","13","13","1,843","지분",""
"대구광역시 중구 화전동","2*","대","중심상업지역","8m미만","202003","13","1.47","130","지분",""
"대구광역시 달서구 두류동","6**","도로","제2종일반주거지역","-","202003","13","71.7","15,000"," ",""
"대구광역시 달성군 하빈면 하산리","2**","대","자연녹지지역","8m미만","202003","13","390","17,900"," ",""
"대구광역시 중구 화전동","2*","대","중심상업지역","8m미만","202003","13","2.05","190","지분",""
"대구광역시 서구 중리동","7**","대","제2종일반주거지역","8m미만","202003","13","34.9","2,600"," ",""
"대구광역시 북구 고성동1가","9*","대","중심상업지역","-","202003","13","12.8","3,000"," ",""
"대구광역시 중구 화전동","2*","대","중심상업지역","8m미만","202003","13","4.24","400","지분",""
"대구광역시 동구 신용동","1*","답","자연녹지지역","8m미만","202003","13","463","5,000"," ",""
"대구광역시 달성군 가창면 단산리","4**","답","개발제한구역","8m미만","202003","13","2611","61,000"," ",""
"대구광역시 수성구 파동","8*","도로","제2종일반주거지역","-","202003","14","5","11,110","지분",""
"대구광역시 달성군 옥포읍 김흥리","5**","답","자연녹지지역","8m미만","202003","14","591","15,732"," ",""
"대구광역시 동구 신무동","1**","답","제1종일반주거지역","8m미만","202003","14","371.33","16,812","지분",""
"대구광역시 동구 신무동","1**","답","제1종일반주거지역","8m미만","202003","14","55","2,490","지분",""
"대구광역시 수성구 매호동","1***","대","제2종일반주거지역","25m미만","202003","14","90","31,500"," ",""
"대구광역시 동구 용수동","8**","답","보전녹지지역","8m미만","202003","14","2638","51,000"," ",""
"대구광역시 동구 신무동","1**","답","제1종일반주거지역","8m미만","202003","14","1252.33","56,698","지분",""
"대구광역시 달성군 가창면 상원리","산2*","임야","개발제한구역","8m미만","202003","14","330.58","690","지분",""
"대구광역시 수성구 파동","8*","도로","제2종일반주거지역","-","202003","14","3.5","7,780","지분",""
"대구광역시 수성구 수성동4가","1***","도로","제3종일반주거지역","8m미만","202003","15","8.63","1,018","지분",""
"대구광역시 수성구 수성동4가","1***","대","제3종일반주거지역","8m미만","202003","15","1.5","246","지분",""
"대구광역시 수성구 수성동4가","1***","도로","제3종일반주거지역","8m미만","202003","15","19.38","4,373","지분",""
"대구광역시 수성구 수성동4가","1***","도로","제3종일반주거지역","8m미만","202003","15","4.5","531","지분",""
"대구광역시 달성군 가창면 정대리","산2**","임야","개발제한구역","8m미만","202003","16","3306","1,200"," ",""
"대구광역시 중구 달성동","6*","대","제2종일반주거지역","-","202003","16","8.2","1,233"," ",""
"대구광역시 중구 달성동","1**","대","제2종일반주거지역","8m미만","202003","16","9.5","1,425"," ",""
"대구광역시 중구 달성동","1**","대","제2종일반주거지역","-","202003","16","8.2","1,614"," ",""
"대구광역시 동구 검사동","9**","대","제3종일반주거지역","25m미만","202003","16","1.5","100","지분",""
"대구광역시 동구 미곡동","7**","답","자연녹지지역","-","202003","16","660","12,000"," ",""
"대구광역시 동구 봉무동","9**","전","제2종일반주거지역","-","202003","16","648.4","15,700","지분","20200422"
"대구광역시 동구 봉무동","9**","전","보전녹지지역","-","202003","16","731","17,700"," ","20200422"
"대구광역시 동구 미곡동","7**","답","개발제한구역","-","202003","16","1001","18,000"," ",""
"대구광역시 중구 달성동","1**","대","제2종일반주거지역","-","202003","16","16.5","2,463"," ",""
"대구광역시 중구 달성동","8*","대","제2종일반주거지역","-","202003","16","1.3","212"," ",""
"대구광역시 수성구 수성동4가","1***","대","제3종일반주거지역","8m미만","202003","16","32","22,000"," ",""
"대구광역시 중구 달성동","6*","대","제2종일반주거지역","12m미만","202003","16","1.4","227"," ",""
"대구광역시 동구 봉무동","9**","전","보전녹지지역","-","202003","16","1435","34,700"," ","20200422"
"대구광역시 동구 봉무동","9**","과수원","보전녹지지역","-","202003","16","1640","39,700"," ","20200422"
"대구광역시 동구 봉무동","9**","과수원","보전녹지지역","-","202003","16","182","4,400"," ","20200422"
"대구광역시 중구 달성동","6*","대","제2종일반주거지역","12m미만","202003","16","30.2","4,489"," ",""
