"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 단독다가구(전월세)"
"주소구분 : 지번주소"
"시도 : 부산광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","도로조건","계약면적(㎡)","전월세구분","계약년월","계약일","보증금(만원)","월세(만원)","건축년도","도로명"
"부산광역시 강서구 대저1동","1***","8m미만","39.6","월세","202102","1","1,000","25","1965","대저로3번길"
"부산광역시 강서구 대저1동","1***","25m미만","42.3","월세","202008","18","3,000","15","2019","대저로"
"부산광역시 강서구 대저1동","3**","8m미만","42.56","월세","202009","9","100","20","1995","대저중앙로357번길"
"부산광역시 강서구 대저1동","1***","8m미만","42.9","월세","202010","6","0","30","1992","낙동북로219번길"
"부산광역시 강서구 대저1동","2***","8m미만","42.9","월세","202006","28","200","15","1994","공항로1181번길"
"부산광역시 강서구 대저1동","2***","8m미만","49.26","전세","202008","23","2,000","0","1964","신덕길"
"부산광역시 강서구 대저1동","6**","8m미만","49.5","월세","202004","22","50","20","1989","공항로1309번길"
"부산광역시 강서구 대저1동","2***","12m미만","49.73","전세","202005","4","7,000","0","null","공항로1309번길"
"부산광역시 강서구 대저1동","1***","8m미만","55.35","월세","202009","1","3,000","30","1995","대저로89번가길"
"부산광역시 강서구 대저1동","5**","25m미만","66","월세","202009","1","1,500","15","null","대저중앙로285번길"
"부산광역시 강서구 대저1동","5**","8m미만","66","월세","202012","12","500","20","1985","대저중앙로286번길"
"부산광역시 강서구 대저1동","5**","25m미만","85","월세","202011","27","1,000","40","1997","대저중앙로"
"부산광역시 강서구 대저1동","2***","8m미만","85","전세","202010","22","5,500","0","1996","체육공원로6번길"
"부산광역시 강서구 대저1동","4**","8m미만","93.5","월세","202010","18","3,000","30","2007","대저중앙로286번길"
"부산광역시 강서구 대저1동","5**","25m미만","114.36","월세","202005","12","2,000","30","1997","대저중앙로"
"부산광역시 강서구 대저2동","2***","8m미만","10","월세","202010","1","0","10","null","null"
"부산광역시 강서구 대저2동","1***","8m미만","10","월세","202008","30","50","15","1945","대저동서로229번가길"
"부산광역시 강서구 대저2동","1***","25m미만","13.2","월세","202008","18","0","35","1998","공항앞길"
"부산광역시 강서구 대저2동","5***","8m미만","15","월세","202006","1","100","10","2010","맥도길453번길"
"부산광역시 강서구 대저2동","2***","8m미만","15","월세","202011","30","500","20","1959","공항앞길51번길"
"부산광역시 강서구 대저2동","2***","8m미만","16.5","월세","202003","1","0","15","1965","공항앞길"
"부산광역시 강서구 대저2동","4**","8m미만","16.5","월세","202004","3","200","8","1989","입소신평길"
"부산광역시 강서구 대저2동","2***","8m미만","16.5","월세","202011","15","100","20","1979","공항앞길"
"부산광역시 강서구 대저2동","2***","8m미만","16.52","월세","202010","5","100","20","1962","공항앞길"
"부산광역시 강서구 대저2동","2***","8m미만","23.14","월세","202005","1","200","20","1962","공항앞길"
"부산광역시 강서구 대저2동","2***","8m미만","29","월세","202008","18","300","30","1987","공항로811번다길"
"부산광역시 강서구 대저2동","4***","8m미만","30","월세","202006","26","0","17","1998","송동길"
"부산광역시 강서구 대저2동","3***","8m미만","33","월세","202101","1","0","20","1960","금호순서길89번가길"
"부산광역시 강서구 대저2동","2***","8m미만","33","월세","202007","4","3,000","20","2013","공항로811번다길"
"부산광역시 강서구 대저2동","4***","25m미만","33","월세","202006","25","100","20","1985","맥도강변길"
"부산광역시 강서구 대저2동","2***","8m미만","33.05","월세","202006","9","0","10","2016","공항로767번길"
"부산광역시 강서구 대저2동","2***","8m미만","33.05","월세","202005","10","100","20","null","공항로811번다길"
"부산광역시 강서구 대저2동","2***","8m미만","33.05","월세","202009","26","2,000","20","1992","공항앞길187번길"
"부산광역시 강서구 대저2동","1***","25m미만","38.03","월세","202008","1","1,000","45","2020","대저동서로"
"부산광역시 강서구 대저2동","2***","8m미만","39","월세","202005","1","100","25","1986","공항앞길33번길"
"부산광역시 강서구 대저2동","2***","8m미만","39.6","월세","202007","18","500","30","2014","공항앞길51번길"
"부산광역시 강서구 대저2동","3***","25m미만","39.79","월세","202003","9","2,000","30","2014","공항앞길221번길"
"부산광역시 강서구 대저2동","3***","25m미만","39.79","월세","202008","28","2,000","30","2014","공항앞길221번길"
"부산광역시 강서구 대저2동","2***","8m미만","42.98","월세","202012","15","300","20","1965","공항로811번가길"
"부산광역시 강서구 대저2동","3***","12m미만","47.5","월세","202009","18","500","45","2012","공항앞길221번길"
"부산광역시 강서구 대저2동","3***","12m미만","47.5","월세","202006","20","3,000","28","2012","공항앞길221번길"
"부산광역시 강서구 대저2동","3***","12m미만","47.5","월세","202009","21","1,000","45","2012","공항앞길221번길"
"부산광역시 강서구 대저2동","5***","8m미만","48.59","월세","202009","4","50","13","2004","공항로339번길"
"부산광역시 강서구 대저2동","5***","-","48.59","월세","202006","20","2,000","13","2004","null"
"부산광역시 강서구 대저2동","5***","8m미만","49.5","월세","202101","24","250","20","1992","공항로393번길"
"부산광역시 강서구 대저2동","2***","8m미만","49.58","월세","202006","21","200","30","1991","공항앞길"
"부산광역시 강서구 대저2동","2***","12m미만","49.68","월세","202007","12","1,800","25","1991","공항앞길187번길"
"부산광역시 강서구 대저2동","3***","25m미만","54.72","월세","202008","24","1,500","35","2014","공항앞길221번길"
"부산광역시 강서구 대저2동","3***","12m미만","59.4","월세","202006","9","500","55","2012","공항앞길221번길"
"부산광역시 강서구 대저2동","3***","12m미만","59.4","월세","202008","17","500","47","2012","공항앞길221번길"
"부산광역시 강서구 대저2동","1***","12m미만","60.8","월세","202012","12","5,000","20","2000","경전철로39번길"
"부산광역시 강서구 대저2동","2***","8m미만","66","월세","202004","17","1,500","30","1995","공항로811번가길"
"부산광역시 강서구 대저2동","2***","8m미만","69.3","월세","202101","19","150","15","1978","공항앞길33번길"
"부산광역시 강서구 대저2동","2***","8m미만","72.09","월세","202006","17","6,000","10","2001","공항로767번나길"
"부산광역시 강서구 대저2동","1***","8m미만","82.5","전세","202004","27","8,000","0","2001","경전철로25번길"
"부산광역시 강서구 대저2동","4***","8m미만","82.5","전세","202007","29","4,000","0","2011","공항로339번길"
"부산광역시 강서구 대저2동","2***","8m미만","89.2","월세","202003","20","1,000","25","1970","공항로811번다길"
"부산광역시 강서구 대저2동","1***","8m미만","100.59","월세","202012","30","13,000","10","2000","경전철로39번길"
"부산광역시 강서구 대저2동","5**","8m미만","118.89","월세","202102","10","2,000","30","1989","입소정관길"
"부산광역시 강서구 대저2동","6***","8m미만","122.58","전세","202005","13","12,000","0","2005","맥도길"
"부산광역시 강서구 동선동","4*","8m미만","11.25","전세","202102","5","2,000","0","2015","동선새바지길"
"부산광역시 강서구 동선동","5**","8m미만","30","월세","202004","20","500","15","2008","동선2길"
"부산광역시 강서구 동선동","1***","12m미만","33.1","월세","202007","10","1,000","30","2012","동선1길"
"부산광역시 강서구 동선동","1***","12m미만","48","월세","202004","1","2,000","15","2014","동선1길"
"부산광역시 강서구 동선동","2**","8m미만","66.27","월세","202012","14","7,000","20","1984","동선길"
"부산광역시 강서구 동선동","1***","12m미만","75.48","월세","202003","18","1,000","30","2014","동선1길"
"부산광역시 강서구 동선동","1***","12m미만","95.55","월세","202012","22","200","25","2014","동선1길"
"부산광역시 강서구 동선동","1***","12m미만","99.08","월세","202009","11","5,000","40","2014","동선1길"
"부산광역시 강서구 동선동","1***","12m미만","119.44","전세","202101","27","7,000","0","2014","동선1길"
"부산광역시 강서구 명지동","3***","25m미만","16.5","월세","202101","15","500","37","2017","명지국제6로318번길"
"부산광역시 강서구 명지동","3***","12m미만","17.45","월세","202010","15","500","40","2020","null"
"부산광역시 강서구 명지동","3***","12m미만","18","월세","202008","3","1,000","35","2017","명지오션시티8로"
"부산광역시 강서구 명지동","3***","12m미만","18.22","월세","202003","11","200","34","2014","명지오션시티8로42번길"
"부산광역시 강서구 명지동","3***","12m미만","18.5","월세","202003","11","300","33","2017","명지국제6로302번길"
"부산광역시 강서구 명지동","3***","12m미만","18.5","월세","202012","28","100","25","2014","명지오션시티8로22번길"
"부산광역시 강서구 명지동","3***","12m미만","20","월세","202102","6","500","35","2018","명지국제6로232번길"
"부산광역시 강서구 명지동","3***","25m미만","20","월세","202102","18","500","35","2019","명지오션시티10로"
"부산광역시 강서구 명지동","3***","12m미만","21","월세","202004","27","100","43","2012","명지오션시티8로"
"부산광역시 강서구 명지동","3***","12m미만","21","월세","202012","30","3,000","36","2018","명지국제12로19번길"
"부산광역시 강서구 명지동","3***","12m미만","21.5","월세","202009","5","200","32","2012","명지오션시티7로"
"부산광역시 강서구 명지동","3***","25m미만","21.73","월세","202004","24","500","45","2020","명지국제12로11번길"
"부산광역시 강서구 명지동","3***","12m미만","22.55","월세","202011","1","300","49","2018","명지국제12로11번길"
"부산광역시 강서구 명지동","3***","25m미만","22.69","월세","202009","5","500","43","2020","명지국제12로"
"부산광역시 강서구 명지동","3***","25m미만","22.8","전세","202012","30","6,000","0","2017","명지국제5로136번길"
"부산광역시 강서구 명지동","3***","25m미만","23","월세","202007","4","200","35","2007","명지오션시티10로"
"부산광역시 강서구 명지동","3***","12m미만","23.12","월세","202012","4","500","47","2020","명지국제5로148번길"
"부산광역시 강서구 명지동","3***","12m미만","23.14","월세","202005","21","300","43","null","명지국제12로19번길"
"부산광역시 강서구 명지동","3***","12m미만","24","월세","202006","13","1,000","35","2018","명지국제6로318번길"
"부산광역시 강서구 명지동","3***","12m미만","24","월세","202003","23","200","34","2012","명지오션시티7로"
"부산광역시 강서구 명지동","3***","25m미만","24","전세","202009","12","8,000","0","2017","명지국제12로"
"부산광역시 강서구 명지동","3***","12m미만","24.27","월세","202102","20","500","40","null","명지국제6로318번길"
"부산광역시 강서구 명지동","3***","-","24.42","월세","202008","14","500","45","2020","null"
"부산광역시 강서구 명지동","3***","-","24.5","월세","202003","4","200","40","2013","null"
"부산광역시 강서구 명지동","3***","12m미만","24.84","월세","202011","16","4,000","3","2017","명지오션시티8로42번길"
"부산광역시 강서구 명지동","3***","12m미만","25","월세","202007","21","300","35","2018","명지국제12로11번길"
"부산광역시 강서구 명지동","3***","12m미만","25.03","전세","202102","22","500","0","2020","명지국제6로242번길"
