"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 토지(매매)"
"주소구분 : 지번주소"
"시도 : 부산광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"시군구","번지","지목","용도지역","도로조건","계약년월","계약일","계약면적(㎡)","거래금액(만원)","지분구분","해제사유발생일"
"부산광역시 기장군 기장읍 시랑리","1**","도로","제1종일반주거지역","-","202003","4","4","314"," ",""
"부산광역시 기장군 장안읍 오리","2**","답","제1종일반주거지역","8m미만","202003","4","63.4","4,300","지분",""
"부산광역시 사상구 학장동","4*","답","자연녹지지역","8m미만","202003","4","124.75","4,900","지분",""
"부산광역시 강서구 강동동","3***","전","개발제한구역","8m미만","202003","4","2003","41,500"," ",""
"부산광역시 강서구 지사동","산*","임야","자연녹지지역","-","202003","4","171","508","지분",""
"부산광역시 기장군 정관읍 매학리","1**","목장용지","일반공업지역","8m미만","202003","4","693","53,655"," ",""
"부산광역시 사하구 장림동","9**","창고용지","자연녹지지역","8m미만","202003","4","200","9,600"," ",""
"부산광역시 기장군 장안읍 월내리","산2*","임야","자연녹지지역","-","202003","4","2380","92,500"," ",""
"부산광역시 사하구 장림동","7**","도로","제3종일반주거지역","8m미만","202003","4","17.19","951","지분",""
"부산광역시 사상구 엄궁동","산1*","임야","제2종일반주거지역","8m미만","202003","5","49.5","1,000","지분",""
"부산광역시 남구 우암동","1**","대","제2종일반주거지역","8m미만","202003","5","20.2","1,800"," ",""
"부산광역시 기장군 정관읍 두명리","2**","전","개발제한구역","8m미만","202003","5","443","13,200"," ",""
"부산광역시 사하구 장림동","9**","답","전용공업지역","8m미만","202003","5","184","17,358"," ",""
"부산광역시 남구 용호동","5**","대","제3종일반주거지역","12m미만","202003","5","65.1","19,432","지분",""
"부산광역시 동구 범일동","2**","대","일반상업지역","8m미만","202003","5","33.1","20,761"," ",""
"부산광역시 남구 우암동","1**","대","제2종일반주거지역","12m미만","202003","5","20.8","4,500"," ",""
"부산광역시 사하구 구평동","2**","전","준공업지역","8m미만","202003","5","79","4,551"," ",""
"부산광역시 사하구 구평동","3**","잡종지","일반공업지역","25m미만","202003","5","317","40,000"," ",""
"부산광역시 사하구 구평동","3**","임야","일반공업지역","-","202003","5","430","45,500"," ",""
"부산광역시 남구 감만동","*","대","제2종일반주거지역","8m미만","202003","5","56","5,594"," ",""
"부산광역시 해운대구 재송동","1**","전","제2종일반주거지역","25m미만","202003","5","162","73,500"," ",""
"부산광역시 사하구 구평동","2**","전","준공업지역","8m미만","202003","5","13","749"," ",""
"부산광역시 남구 감만동","*","대","제2종일반주거지역","8m미만","202003","5","86","8,987"," ",""
