"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 토지(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"시군구","번지","지목","용도지역","도로조건","계약년월","계약일","계약면적(㎡)","거래금액(만원)","지분구분","해제사유발생일"
"서울특별시 동작구 본동","1*","대","제1종일반주거지역","8m미만","202003","4","19.53","9,605","지분",""
"서울특별시 노원구 월계동","산1**","임야","자연녹지지역","25m미만","202003","4","11.17","90","지분",""
"서울특별시 동작구 본동","4**","대","제2종일반주거지역","12m미만","202003","5","1","1,351"," ",""
"서울특별시 동작구 본동","4**","도로","제2종일반주거지역","-","202003","5","1","1,351"," ",""
"서울특별시 동작구 본동","4**","대","제2종일반주거지역","8m미만","202003","5","1","1,351"," ",""
"서울특별시 동작구 본동","3**","대","제2종일반주거지역","-","202003","5","1","1,351"," ",""
"서울특별시 종로구 옥인동","4*","대","제1종일반주거지역","8m미만","202003","5","2.6","1,700"," ",""
"서울특별시 강서구 오곡동","1**","답","개발제한구역","8m미만","202003","5","543.6","10,700","지분",""
"서울특별시 동작구 본동","1*","대","제1종일반주거지역","8m미만","202003","5","23.51","11,558","지분",""
"서울특별시 동작구 본동","4**","대","제2종일반주거지역","-","202003","5","10","13,510"," ",""
"서울특별시 노원구 상계동","6***","대","제2종일반주거지역","-","202003","5","62.3","14,547"," ",""
"서울특별시 노원구 상계동","6***","대","제2종일반주거지역","-","202003","5","58.2","14,841"," ",""
"서울특별시 노원구 상계동","6***","대","제2종일반주거지역","-","202003","5","64.4","14,973"," ",""
"서울특별시 노원구 상계동","6***","대","제2종일반주거지역","-","202003","5","55.3","15,069"," ",""
"서울특별시 강북구 미아동","*","도로","제2종일반주거지역","8m미만","202003","5","61.91","15,700","지분","20200416"
"서울특별시 강북구 미아동","*","도로","제2종일반주거지역","8m미만","202003","5","61.91","15,700","지분","20200416"
"서울특별시 강북구 미아동","*","도로","제2종일반주거지역","8m미만","202003","5","61.91","15,700","지분",""
"서울특별시 동작구 본동","3**","대","제3종일반주거지역","12m미만","202003","5","116","156,802"," ",""
"서울특별시 동작구 본동","4**","대","제2종일반주거지역","-","202003","5","13","17,560"," ",""
"서울특별시 노원구 상계동","6***","대","제2종일반주거지역","-","202003","5","75.8","18,571"," ",""
"서울특별시 동작구 본동","4**","대","제2종일반주거지역","8m미만","202003","5","14","18,900"," ",""
"서울특별시 동작구 본동","4**","대","제2종일반주거지역","8m미만","202003","5","139","187,789"," ",""
"서울특별시 송파구 방이동","4**","전","개발제한구역","8m미만","202003","5","1316","198,000"," ",""
"서울특별시 강북구 미아동","*","대","제2종일반주거지역","8m미만","202003","5","11.68","2,900","지분",""
"서울특별시 강북구 미아동","*","대","제2종일반주거지역","8m미만","202003","5","11.68","2,900","지분","20200416"
"서울특별시 동작구 본동","4**","대","제2종일반주거지역","-","202003","5","16","21,616"," ",""
"서울특별시 동작구 본동","4**","대","제2종일반주거지역","8m미만","202003","5","17","22,967"," ",""
"서울특별시 동작구 본동","3**","대","제2종일반주거지역","12m미만","202003","5","21","28,400"," ",""
"서울특별시 용산구 후암동","3**","대","제2종일반주거지역","8m미만","202003","5","51.9","29,998"," ",""
"서울특별시 강서구 오곡동","1**","답","개발제한구역","8m미만","202003","5","160.4","3,300","지분",""
"서울특별시 용산구 후암동","3**","대","제2종일반주거지역","8m미만","202003","5","57.2","33,062"," ",""
"서울특별시 동작구 본동","4**","대","제2종일반주거지역","8m미만","202003","5","28","37,828"," ",""
"서울특별시 강북구 미아동","*","도로","제2종일반주거지역","8m미만","202003","5","21.38","5,400","지분","20200416"
"서울특별시 강북구 미아동","*","도로","제2종일반주거지역","8m미만","202003","5","21.38","5,400","지분",""
"서울특별시 동작구 본동","4**","대","제2종일반주거지역","8m미만","202003","5","39","52,600"," ",""
