"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 토지(매매)"
"주소구분 : 지번주소"
"시도 : 광주광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"시군구","번지","지목","용도지역","도로조건","계약년월","계약일","계약면적(㎡)","거래금액(만원)","지분구분","해제사유발생일"
"광주광역시 서구 쌍촌동","8**","전","제2종일반주거지역","-","202003","3","250","53,713"," ",""
"광주광역시 서구 마륵동","2**","답","자연녹지지역","8m미만","202003","3","10","690"," ",""
"광주광역시 북구 효령동","1**","대","제1종일반주거지역","8m미만","202003","3","165","7,600"," ",""
"광주광역시 북구 각화동","2**","답","제2종일반주거지역","12m미만","202003","3","634","76,000"," ",""
"광주광역시 북구 각화동","2**","답","제2종일반주거지역","-","202003","3","75","8,400"," ",""
"광주광역시 북구 효령동","4**","답","개발제한구역","8m미만","202003","4","149","1,300"," ",""
"광주광역시 광산구 오산동","6**","전","제1종일반주거지역","8m미만","202003","4","13","100"," ",""
"광주광역시 광산구 오산동","6**","전","제1종일반주거지역","-","202003","4","680","11,700"," ",""
"광주광역시 북구 효령동","4**","답","개발제한구역","8m미만","202003","4","1732","15,200"," ",""
"광주광역시 북구 각화동","5**","대","제2종일반주거지역","12m미만","202003","4","134.3","17,600"," ",""
"광주광역시 북구 효령동","4**","답","개발제한구역","8m미만","202003","4","241","2,110"," ",""
"광주광역시 광산구 지평동","4**","답","개발제한구역","25m미만","202003","4","1430","24,600"," ",""
"광주광역시 광산구 남산동","2**","임야","개발제한구역","-","202003","4","2010","4,864"," ",""
"광주광역시 광산구 하남동","5**","공장용지","일반공업지역","-","202003","4","9496.8","538,120"," ",""
"광주광역시 북구 각화동","5**","대","제2종일반주거지역","12m미만","202003","4","49.4","6,400"," ",""
"광주광역시 광산구 남산동","2**","전","개발제한구역","8m미만","202003","4","3471","8,400"," ",""
"광주광역시 광산구 남산동","2**","임야","개발제한구역","-","202003","4","3679","8,904"," ",""
"광주광역시 광산구 삼도동","8**","답","개발제한구역","8m미만","202003","4","1629","9,600"," ",""
"광주광역시 북구 장등동","8**","전","개발제한구역","8m미만","202003","5","155","1,000"," ",""
"광주광역시 광산구 도덕동","2**","임야","개발제한구역","-","202003","5","249","1,010"," ",""
"광주광역시 광산구 도덕동","2**","임야","개발제한구역","-","202003","5","249","1,010"," ","20200420"
"광주광역시 동구 산수동","2*","대","제1종일반주거지역","8m미만","202003","5","165","10,000"," ",""
"광주광역시 북구 북동","9*","대","일반상업지역","8m미만","202003","5","128.9","11,960"," ",""
"광주광역시 광산구 도덕동","2**","대","제1종일반주거지역","25m미만","202003","5","468","19,639"," ","20200420"
"광주광역시 광산구 도덕동","2**","대","제1종일반주거지역","25m미만","202003","5","468","19,639"," ",""
"광주광역시 광산구 도덕동","2**","대","제1종일반주거지역","25m미만","202003","5","57","2,351"," ",""
"광주광역시 광산구 도덕동","2**","대","제1종일반주거지역","25m미만","202003","5","57","2,351"," ","20200420"
"광주광역시 서구 화정동","1**","도로","준주거지역","-","202003","5","269","25,000"," ",""
"광주광역시 광산구 송정동","5**","대","일반상업지역","12m미만","202003","5","21.5","3,000","지분",""
"광주광역시 동구 산수동","4**","대","제1종일반주거지역","8m미만","202003","5","49","4,000"," ",""
"광주광역시 서구 매월동","산1*","임야","자연녹지지역","-","202003","5","625","42,090"," ",""
"광주광역시 광산구 안청동","2**","대","제1종일반주거지역","8m미만","202003","5","379","43,700"," ",""
"광주광역시 서구 광천동","1**","도로","제3종일반주거지역","-","202003","6","10.67","1,000","지분",""
"광주광역시 광산구 임곡동","산7*","임야","개발제한구역","8m미만","202003","6","397","1,000"," ",""
"광주광역시 광산구 산막동","6**","전","개발제한구역","-","202003","6","317","1,470"," ",""
"광주광역시 광산구 신촌동","9**","대","제2종일반주거지역","8m미만","202003","6","158","15,000"," ",""
"광주광역시 광산구 산막동","6**","임야","개발제한구역","-","202003","6","529","2,430"," ",""
"광주광역시 광산구 하남동","4**","답","개발제한구역","8m미만","202003","6","416","2,528"," ",""
"광주광역시 북구 운암동","산1**","임야","제2종일반주거지역","-","202003","6","2181","224,400"," ",""
"광주광역시 북구 용전동","1***","전","생산녹지지역","8m미만","202003","6","8","300"," ",""
"광주광역시 동구 소태동","6**","전","제1종일반주거지역","8m미만","202003","6","214","31,500"," ",""
"광주광역시 북구 용전동","1***","전","자연녹지지역","8m미만","202003","6","538","36,650"," ",""
"광주광역시 광산구 용곡동","1***","답","개발제한구역","8m미만","202003","6","738","4,460"," ",""
"광주광역시 광산구 하남동","4**","답","일반공업지역","25m미만","202003","6","15","473"," ",""
"광주광역시 서구 양동","3*","대","일반상업지역","25m이상","202003","6","277.7","50,400"," ",""
"광주광역시 광산구 오선동","6**","대","제2종일반주거지역","25m이상","202003","6","350.8","60,000"," ",""
"광주광역시 서구 광천동","6**","도로","제3종일반주거지역","-","202003","6","9","900","지분",""
"광주광역시 서구 양동","4*","대","일반상업지역","25m이상","202003","6","192.4","91,600"," ","20200319"
"광주광역시 서구 마륵동","1**","답","생산녹지지역","25m이상","202003","7","2.48","1,013","지분",""
"광주광역시 북구 우산동","4*","전","제3종일반주거지역","-","202003","7","95","1,800"," ",""
"광주광역시 서구 마륵동","1**","답","생산녹지지역","25m이상","202003","7","359.25","146,813","지분",""
"광주광역시 서구 마륵동","1**","답","생산녹지지역","25m이상","202003","7","37.25","15,212","지분",""
"광주광역시 광산구 하산동","3**","전","제2종일반주거지역","-","202003","7","357","16,200"," ",""
"광주광역시 광산구 오운동","3**","전","개발제한구역","-","202003","7","1078","3,912"," ",""
"광주광역시 광산구 도천동","산5*","임야","자연녹지지역","8m미만","202003","7","517","35,880"," ",""
"광주광역시 광산구 장수동","2**","답","자연녹지지역","8m미만","202003","7","1542","44,200"," ",""
"광주광역시 광산구 장수동","2**","답","자연녹지지역","8m미만","202003","7","1729","44,200"," ","20200523"
"광주광역시 서구 마륵동","1**","답","생산녹지지역","25m이상","202003","7","119.75","48,933","지분",""
"광주광역시 서구 마륵동","1**","답","생산녹지지역","25m이상","202003","7","12.41","5,066","지분",""
"광주광역시 북구 북동","*","대","일반상업지역","12m미만","202003","7","55.5","5,690"," ",""
"광주광역시 북구 풍향동","5**","도로","제3종일반주거지역","-","202003","7","39","6,800"," ","20200527"
"광주광역시 서구 마륵동","1**","답","생산녹지지역","25m이상","202003","7","23.95","9,781","지분",""
"광주광역시 광산구 요기동","6**","전","제1종일반주거지역","8m미만","202003","8","446","4,000"," ",""
"광주광역시 북구 충효동","5*","전","개발제한구역","-","202003","9","76","1,437"," ",""
"광주광역시 북구 충효동","5*","전","개발제한구역","-","202003","9","89","1,687"," ",""
"광주광역시 서구 농성동","4*","대","제2종일반주거지역","8m미만","202003","9","1","160"," ",""
"광주광역시 북구 충효동","3*","대","제1종일반주거지역","8m미만","202003","9","1028","19,423"," ",""
"광주광역시 서구 세하동","1**","전","자연녹지지역","-","202003","9","86.5","2,140","지분",""
"광주광역시 북구 충효동","5*","대","제1종일반주거지역","8m미만","202003","9","1094","20,673"," ",""
"광주광역시 광산구 산정동","2**","전","생산녹지지역","8m미만","202003","9","627","23,700"," ",""
"광주광역시 북구 충효동","5*","임야","개발제한구역","-","202003","9","195","3,675"," ",""
"광주광역시 동구 내남동","3**","전","제1종일반주거지역","25m이상","202003","9","2296","300,000"," ",""
"광주광역시 북구 충효동","5*","전","제1종일반주거지역","8m미만","202003","9","1739","32,862"," ",""
"광주광역시 광산구 비아동","1**","전","제3종일반주거지역","-","202003","9","463","35,000"," ",""
"광주광역시 서구 농성동","6*","대","제2종일반주거지역","8m미만","202003","9","27","4,280"," ",""
"광주광역시 남구 이장동","1**","전","개발제한구역","8m미만","202003","9","803","4,500"," ",""
"광주광역시 서구 농성동","6*","대","제2종일반주거지역","8m미만","202003","9","320","50,560"," ",""
"광주광역시 광산구 비아동","1**","전","제3종일반주거지역","-","202003","9","841","60,000"," ",""
"광주광역시 북구 충효동","3*","대","제1종일반주거지역","8m미만","202003","9","423","7,996"," ",""
"광주광역시 서구 광천동","9*","대","제3종일반주거지역","8m미만","202003","9","62.5","8,000","지분",""
"광주광역시 북구 충효동","3*","답","제1종일반주거지역","8m미만","202003","9","502","9,496"," ",""
"광주광역시 광산구 지평동","2*","대","개발제한구역","8m미만","202003","10","496","10,024"," ",""
"광주광역시 광산구 지평동","2*","대","자연녹지지역","-","202003","10","605","12,232"," ",""
"광주광역시 서구 화정동","1***","도로","제2종일반주거지역","-","202003","10","2","121"," ",""
"광주광역시 광산구 송정동","7**","대","준주거지역","8m미만","202003","10","4","173"," ","20200310"
"광주광역시 광산구 송정동","7**","대","준주거지역","8m미만","202003","10","4","177"," ",""
"광주광역시 북구 용강동","6**","답","개발제한구역","8m미만","202003","10","2083","18,670"," ",""
"광주광역시 광산구 하남동","1***","대","제2종일반주거지역","-","202003","10","734.1","212,000"," ",""
"광주광역시 북구 운암동","9**","도로","제2종일반주거지역","-","202003","10","94","25,600"," ",""
"광주광역시 동구 소태동","7**","대","제2종일반주거지역","8m미만","202003","10","151.5","3,000","지분",""
"광주광역시 북구 동림동","9**","답","생산녹지지역","8m미만","202003","10","661","36,000","지분",""
"광주광역시 북구 용강동","6**","답","개발제한구역","8m미만","202003","10","3002","36,000"," ",""
"광주광역시 광산구 신촌동","8**","전","자연녹지지역","-","202003","10","330","4,000","지분",""
