"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 광주광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","건축년도","도로명","해제사유발생일"
"광주광역시 광산구 동산동","6**","단독","8m미만","114.22","294","202004","3","5,000","1996","동산길103번길",""
"광주광역시 광산구 동호동","7**","단독","8m미만","80.46","397","202006","22","11,500","1995","본량신촌서길",""
"광주광역시 광산구 두정동","2**","단독","8m미만","81.94","409","202005","11","9,000","1937","임곡두동길",""
"광주광역시 광산구 명도동","2**","단독","8m미만","67.98","248","202101","31","15,000","2014","본동로",""
"광주광역시 광산구 명도동","2**","단독","8m미만","143.94","780","202012","9","30,600","1940","본동로",""
"광주광역시 광산구 명화동","2**","단독","8m미만","99.89","491","202008","21","15,000","1991","명화안길",""
"광주광역시 광산구 박호동","3**","단독","8m미만","94.3","169","202008","3","6,150","1946","호송길",""
"광주광역시 광산구 박호동","1**","단독","8m미만","100.96","294","202003","5","2,000","1957","박호노동길",""
"광주광역시 광산구 박호동","3**","단독","8m미만","152.03","387","202011","6","4,300","1935","박뫼안길",""
"광주광역시 광산구 박호동","3**","단독","8m미만","81","473","202003","6","25,500","1940","박뫼안길","20200715"
"광주광역시 광산구 박호동","3**","단독","8m미만","81","473","202012","15","25,000","1940","박뫼안길",""
"광주광역시 광산구 복룡동","6*","단독","8m미만","79.8","185","202005","20","7,200","1948","팽호길",""
"광주광역시 광산구 복룡동","2**","단독","8m미만","135.9","489","202007","22","4,980","2000","관두길",""
"광주광역시 광산구 본덕동","2**","단독","8m미만","134.27","80","202012","3","5,810","2000","동곡서호길",""
"광주광역시 광산구 본덕동","2**","단독","8m미만","134.27","80","202102","24","6,330","1998","동곡서호길",""
"광주광역시 광산구 본덕동","5**","단독","8m미만","91.14","244","202005","6","17,230","2010","동곡로35번길",""
"광주광역시 광산구 본덕동","5**","단독","-","19.8","325","202006","11","10,500","2020","동곡로",""
"광주광역시 광산구 본덕동","2**","단독","8m미만","63","384","202004","17","2,800","1945","동곡분토길",""
"광주광역시 광산구 북산동","7*","단독","8m미만","126.77","681","202007","24","10,300","1949","본량황산길",""
"광주광역시 광산구 비아동","6**","다가구","12m미만","304.88","161","202102","21","39,900","2001","비아안길",""
"광주광역시 광산구 비아동","6**","다가구","12m미만","292.5","169","202101","19","33,000","1996","비아로62번길",""
"광주광역시 광산구 비아동","7**","다가구","12m미만","351.12","220.7","202101","18","36,000","1995","비아안길",""
"광주광역시 광산구 비아동","7**","다가구","12m미만","490.36","224","202005","27","88,000","2017","비아로34번길",""
"광주광역시 광산구 비아동","6**","다가구","12m미만","386.94","240.5","202006","18","59,000","2005","비아로34번길",""
"광주광역시 광산구 비아동","7**","다가구","12m미만","520.28","276","202006","29","96,500","2018","비아안길",""
"광주광역시 광산구 비아동","7**","다가구","25m미만","519.42","281","202003","21","92,500","2016","비아안길",""
"광주광역시 광산구 비아동","7**","다가구","12m미만","662.55","340","202008","21","135,000","2020","비아안길",""
"광주광역시 광산구 비아동","7**","다가구","12m미만","662.55","341.3","202008","21","135,000","2020","비아안길",""
"광주광역시 광산구 비아동","8*","단독","12m미만","132.1","70","202010","26","42,000","1980","비아중앙로",""
