"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 분양입주권(매매)"
"주소구분 : 지번주소"
"시도 : 대전광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","단지명","전용면적(㎡)","거래금액(만원)","층","계약년월","계약일","분/입구분","해제사유발생일"
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","74.9795","45,020","15","202007","2","분",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","74.9979","43,120","28","202007","4","분",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","74.9795","42,820","24","202007","7","분",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","59.9744","35,955","5","202007","8","분",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","74.9795","42,020","12","202007","9","분",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","59.9747","36,895","19","202007","15","입",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","84.9971","59,660","19","202007","18","분","20200728"
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","74.9795","45,550","14","202007","18","입",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","84.9971","59,660","19","202007","18","입",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","84.967","48,225","16","202007","20","분",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","59.9747","33,234","4","202007","22","입",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","74.9979","41,020","26","202007","28","입",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","59.9747","34,014","4","202007","30","입",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","59.9747","37,157","14","202008","3","입",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","59.9744","36,140","13","202008","4","입",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","74.9795","42,320","23","202008","4","분",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","84.9971","50,220","18","202008","7","분",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","84.9971","50,020","12","202008","8","분",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","84.9971","51,060","21","202008","8","분",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","59.9747","36,000","10","202008","14","입",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","59.9747","35,500","15","202008","15","입",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","84.9808","54,210","18","202008","17","분",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","84.967","50,410","26","202008","18","분",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","59.9744","33,500","7","202008","19","입",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","59.9744","36,520","20","202008","19","입",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","74.9795","44,552","16","202008","19","입",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","74.9795","46,050","26","202008","22","입",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","59.9744","35,955","5","202008","27","분",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","84.9971","55,000","26","202008","30","입",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","84.9971","61,250","21","202008","31","분",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","59.9747","36,950","12","202009","1","입",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","74.9979","41,800","15","202009","2","분",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","74.9795","40,850","1","202009","4","분",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","74.9795","45,970","8","202009","5","분",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","59.9747","36,894","26","202009","7","입",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","84.9808","57,180","9","202009","8","분",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","59.9747","38,099","15","202009","8","입",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","74.9795","43,050","2","202009","9","입",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","74.9979","40,800","18","202009","10","분",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","74.9795","42,600","27","202009","11","입",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","74.9979","40,800","11","202009","14","분",""
"대전광역시 대덕구 법동","448","대전법동e 편한세상","74.9979","41,800","17","202009","22","분",""
"대전광역시 대덕구 법동","448","대전법동e 편한세상","74.9979","47,300","18","202010","6","분",""
"대전광역시 대덕구 법동","448","대전법동e 편한세상","84.9808","53,314","18","202010","8","분",""
"대전광역시 대덕구 법동","448","대전법동e 편한세상","59.9747","35,894","2","202010","11","분",""
"대전광역시 대덕구 법동","448","대전법동e 편한세상","74.9979","48,420","17","202010","15","분",""
"대전광역시 대덕구 법동","448","대전법동e 편한세상","74.9795","41,150","1","202010","20","분",""
"대전광역시 대덕구 법동","448","대전법동e 편한세상","74.9795","48,050","9","202010","28","분",""
"대전광역시 대덕구 법동","448","대전법동e 편한세상","59.9744","34,000","1","202010","30","분",""
"대전광역시 대덕구 법동","448","대전법동e 편한세상","74.9795","43,850","2","202011","4","분",""
"대전광역시 대덕구 법동","448","대전법동e 편한세상","84.9971","50,000","2","202011","5","분",""
"대전광역시 대덕구 법동","448","대전법동e 편한세상","84.9808","60,160","29","202011","9","분",""
"대전광역시 대덕구 법동","448","대전법동e 편한세상","74.9979","44,000","17","202011","11","분",""
"대전광역시 대덕구 법동","448","대전법동e 편한세상","59.9744","38,150","2","202011","13","분","20201118"
"대전광역시 대덕구 법동","448","대전법동e 편한세상","59.9744","38,150","2","202011","14","분",""
"대전광역시 대덕구 법동","448","대전법동e 편한세상","74.9979","48,800","11","202011","15","분",""
"대전광역시 대덕구 법동","448","대전법동e 편한세상","84.967","54,950","9","202011","15","분",""
"대전광역시 대덕구 법동","448","대전법동e 편한세상","74.9979","50,000","15","202012","1","분",""
"대전광역시 대덕구 법동","448","대전법동e 편한세상","84.9808","59,000","15","202012","11","분",""
"대전광역시 대덕구 법동","448","대전법동e 편한세상","74.9979","53,000","15","202012","15","분",""
"대전광역시 대덕구 석봉동","483","금강 센트럴파크 서희스타힐스","77.99","26,140","16","202003","2","분",""
"대전광역시 대덕구 석봉동","483","금강 센트럴파크 서희스타힐스","84.9918","31,745","20","202003","2","분",""
"대전광역시 대덕구 석봉동","483","금강 센트럴파크 서희스타힐스","84.9918","27,348","27","202003","2","분",""
"대전광역시 대덕구 석봉동","483","금강 센트럴파크 서희스타힐스","77.9959","26,960","10","202003","6","분",""
"대전광역시 대덕구 석봉동","483","금강 센트럴파크 서희스타힐스","77.99","22,349","18","202003","7","분","20200331"
"대전광역시 대덕구 석봉동","483","금강 센트럴파크 서희스타힐스","84.9908","26,348","23","202003","9","분",""
"대전광역시 대덕구 석봉동","483","금강 센트럴파크 서희스타힐스","84.9918","32,560","15","202003","9","분",""
"대전광역시 대덕구 석봉동","483","금강 센트럴파크 서희스타힐스","84.9908","26,048","12","202003","10","분",""
"대전광역시 대덕구 석봉동","483","금강 센트럴파크 서희스타힐스","59.9954","20,670","9","202003","11","분",""
"대전광역시 대덕구 석봉동","483","금강 센트럴파크 서희스타힐스","59.9983","18,686","11","202003","11","분",""
"대전광역시 대덕구 석봉동","483","금강 센트럴파크 서희스타힐스","77.9959","22,549","14","202003","16","분",""
"대전광역시 대덕구 석봉동","483","금강 센트럴파크 서희스타힐스","77.99","21,649","20","202003","20","분",""
"대전광역시 대덕구 석봉동","483","금강 센트럴파크 서희스타힐스","84.9908","30,060","20","202003","30","분",""
"대전광역시 대덕구 석봉동","483","금강 센트럴파크 서희스타힐스","77.9959","24,459","18","202003","31","분",""
"대전광역시 대덕구 석봉동","483","금강 센트럴파크 서희스타힐스","77.99","25,790","2","202003","31","분",""
"대전광역시 대덕구 석봉동","483","금강 센트럴파크 서희스타힐스","59.9983","18,186","4","202004","8","분",""
"대전광역시 대덕구 석봉동","483","금강 센트럴파크 서희스타힐스","59.9954","21,077","3","202004","10","분",""
"대전광역시 대덕구 석봉동","483","금강 센트럴파크 서희스타힐스","77.99","26,258","9","202004","16","분",""
