"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 대전광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"대전광역시 대덕구 대화동","35-365","0035","0365","성연빌라","16.035","6.74","202009","7","1,800","2","2006","대화2길 15",""
"대전광역시 대덕구 대화동","254-30","0254","0030","안전주택","63.55","55.67","202004","18","9,750","2","1984","대화로 242-40",""
"대전광역시 대덕구 대화동","254-31","0254","0031","안전주택","53.075","33.03","202005","27","9,400","1","1984","대화로 242-42",""
"대전광역시 대덕구 대화동","254-30","0254","0030","안전주택","63.55","55.67","202005","28","9,000","1","1984","대화로 242-40",""
"대전광역시 대덕구 대화동","254-30","0254","0030","안전주택","63.55","55.67","202005","28","9,000","1","1984","대화로 242-40","20200622"
"대전광역시 대덕구 대화동","254-30","0254","0030","안전주택","63.55","55.67","202006","13","12,500","3","1984","대화로 242-40","20200626"
"대전광역시 대덕구 대화동","254-30","0254","0030","안전주택","63.55","55.67","202006","18","11,600","2","1984","대화로 242-40",""
"대전광역시 대덕구 대화동","254-31","0254","0031","안전주택","59.01","48.49","202006","27","11,300","3","1984","대화로 242-42",""
"대전광역시 대덕구 대화동","254-30","0254","0030","안전주택","63.55","55.67","202010","17","9,000","2","1984","대화로 242-40",""
"대전광역시 대덕구 대화동","254-30","0254","0030","안전주택","63.55","55.67","202011","2","9,650","1","1984","대화로 242-40",""
"대전광역시 대덕구 대화동","254-30","0254","0030","안전주택","63.55","55.67","202011","20","9,500","1","1984","대화로 242-40",""
"대전광역시 대덕구 대화동","35-178","0035","0178","영빌라","31.44","11.28","202006","2","3,100","2","2004","동심1길 88",""
"대전광역시 대덕구 대화동","35-178","0035","0178","영빌라","41.31","14.82","202006","8","4,600","2","2004","동심1길 88",""
"대전광역시 대덕구 대화동","35-178","0035","0178","영빌라","41.31","14.82","202006","29","3,700","4","2004","동심1길 88",""
"대전광역시 대덕구 대화동","35-178","0035","0178","영빌라","32.69","11.72","202008","31","2,900","5","2004","동심1길 88",""
"대전광역시 대덕구 대화동","35-178","0035","0178","영빌라","41.31","14.82","202009","5","4,300","5","2004","동심1길 88",""
"대전광역시 대덕구 대화동","35-178","0035","0178","영빌라","31.44","11.28","202102","15","2,600","4","2004","동심1길 88",""
