"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 세종특별자치시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"세종특별자치시 금남면 도남리","95","0095","0000","금강의휴양림마을(프로방스빌)","54.342","41.32","202011","18","13,800","1","2015","도남2길 2",""
"세종특별자치시 금남면 도남리","95","0095","0000","금강의휴양림마을(프로방스빌)","54.342","41.32","202011","28","17,000","4","2015","도남2길 2",""
"세종특별자치시 금남면 도남리","95","0095","0000","금강의휴양림마을(프로방스빌)","52.182","39.68","202012","22","22,000","1","2015","도남2길 2",""
"세종특별자치시 금남면 도남리","95","0095","0000","금강의휴양림마을(프로방스빌)","52.182","39.68","202101","24","16,500","2","2015","도남2길 2",""
"세종특별자치시 금남면 도남리","97","0097","0000","금강휴양림마을(프로방스빌)","55.634","51.33","202006","24","22,000","1","2015","도남2길 12",""
"세종특별자치시 금남면 도남리","97","0097","0000","금강휴양림마을(프로방스빌)","56.07","50.94","202010","8","5,000","1","2015","도남2길 12",""
"세종특별자치시 금남면 용포리","144","0144","0000","금남주택","43.92","25.29","202008","28","1,500","1","1987","용포느티나무길 14",""
"세종특별자치시 금남면 용포리","144","0144","0000","금남주택","41.13","24.15","202011","25","5,000","1","1987","용포느티나무길 14","20201208"
"세종특별자치시 금남면 용포리","107","0107","0000","금융주택(107)","59.2","40","202007","3","7,500","3","1991","용포쑥티1길 24-1",""
"세종특별자치시 금남면 용포리","107","0107","0000","금융주택(107)","59.2","40","202101","21","7,100","4","1991","용포쑥티1길 24-1",""
"세종특별자치시 금남면 용포리","107","0107","0000","금융주택(107)","59.2","40","202101","23","9,000","3","1991","용포쑥티1길 24-1",""
"세종특별자치시 금남면 용포리","107","0107","0000","금융주택(107)","59.2","40","202101","23","11,000","4","1991","용포쑥티1길 24-1",""
"세종특별자치시 금남면 용포리","148-4","0148","0004","금융주택(148-4)","56.61","41.78","202009","11","6,400","4","1992","용포중앙1길 18",""
"세종특별자치시 금남면 용포리","148-4","0148","0004","금융주택(148-4)","56.61","41.78","202012","22","7,900","4","1992","용포중앙1길 18",""
"세종특별자치시 금남면 용포리","82","0082","0000","세룡빌라","59.49","60.73","202008","15","11,000","4","1994","용포1길 23",""
"세종특별자치시 금남면 용포리","53-2","0053","0002","학산빌라","68.09","58.39","202010","22","9,000","4","1995","용포쑥티2길 5-5",""
"세종특별자치시 금남면 용포리","53-2","0053","0002","학산빌라","61.44","51.19","202012","10","8,900","4","1995","용포쑥티2길 5-5",""
"세종특별자치시 금남면 용포리","53-2","0053","0002","학산빌라","65.4","55.56","202012","14","9,000","3","1995","용포쑥티2길 5-5",""
"세종특별자치시 도담동","674","0674","0000","까사누보","21.422","7.99","202003","4","9,200","6","2015","보듬3로 8-23",""
"세종특별자치시 도담동","674","0674","0000","까사누보","22.686","8.48","202008","21","9,800","3","2015","보듬3로 8-23",""
"세종특별자치시 도담동","674","0674","0000","까사누보","27.6012","10.28","202009","26","8,200","6","2015","보듬3로 8-23",""
"세종특별자치시 도담동","674","0674","0000","까사누보","22.686","8.48","202101","4","10,450","4","2015","보듬3로 8-23",""
"세종특별자치시 도담동","674","0674","0000","까사누보","22.7964","8.48","202101","27","11,000","4","2015","보듬3로 8-23",""
"세종특별자치시 반곡동","가-4121-1004","4121","1004","더스테이빌딩","44.2708","14.6","202006","3","17,000","5","2018","한누리대로 1948",""
"세종특별자치시 반곡동","가-4121-1004","4121","1004","더스테이빌딩","35.7788","11.8","202006","4","13,000","5","2018","한누리대로 1948",""
"세종특별자치시 반곡동","가-4121-1004","4121","1004","더스테이빌딩","45.4108","14.98","202007","8","15,500","6","2018","한누리대로 1948",""
"세종특별자치시 반곡동","가-4121-1004","4121","1004","더스테이빌딩","45.4108","14.98","202007","16","19,000","5","2018","한누리대로 1948","20200721"
"세종특별자치시 반곡동","가-4121-1004","4121","1004","더스테이빌딩","44.2708","14.6","202007","20","16,400","5","2018","한누리대로 1948",""
"세종특별자치시 반곡동","가-4121-1004","4121","1004","더스테이빌딩","45.4108","14.98","202007","21","19,000","5","2018","한누리대로 1948",""
"세종특별자치시 반곡동","가-4121-1004","4121","1004","더스테이빌딩","45.4108","10.3","202007","29","15,480","5","2018","한누리대로 1948",""
"세종특별자치시 반곡동","가-4121-1004","4121","1004","더스테이빌딩","35.7788","11.8","202009","22","13,500","6","2018","한누리대로 1948",""
"세종특별자치시 반곡동","가-4121-1004","4121","1004","더스테이빌딩","45.4108","10.65","202009","29","15,570","6","2018","한누리대로 1948",""
