"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 세종특별자치시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","건축년도","도로명","해제사유발생일"
"세종특별자치시 금남면 용포리","2**","단독","8m미만","99.58","660","202006","8","110,000","2005","용포로",""
"세종특별자치시 금남면 용포리","2**","단독","8m미만","150.73","674","202006","18","156,578","2001","가동길",""
"세종특별자치시 금남면 원봉리","2**","단독","8m미만","91.63","307.67","202003","28","14,250","2006","원봉1길",""
"세종특별자치시 금남면 원봉리","5**","단독","8m미만","179.34","460","202004","30","37,800","2006","황토고개길",""
"세종특별자치시 금남면 원봉리","4**","단독","8m미만","97.45","704","202007","27","31,300","2018","원봉2길","20200913"
"세종특별자치시 금남면 원봉리","4**","단독","8m미만","97.45","704","202007","27","31,450","2018","원봉2길",""
"세종특별자치시 금남면 원봉리","3*","단독","12m미만","99.43","704","202009","15","45,000","2014","null",""
"세종특별자치시 금남면 원봉리","5**","단독","8m미만","145.4","936","202011","20","80,000","2006","황토고개길",""
"세종특별자치시 금남면 축산리","4**","단독","8m미만","135.38","810","202005","5","27,000","2017","바람재로",""
"세종특별자치시 금남면 호탄리","9*","단독","8m미만","102.98","863","202009","24","145,000","1996","호탄길",""
"세종특별자치시 금남면 황용리","4**","단독","8m미만","50","200","202003","26","20,400","2008","황용1길",""
"세종특별자치시 도담동","4**","단독","12m미만","137.27","329","202008","3","90,000","2016","방축1길","20201201"
"세종특별자치시 부강면 금호리","3**","단독","8m미만","142.96","193.26","202010","26","24,377","2016","부강금호로",""
"세종특별자치시 부강면 금호리","3**","단독","8m미만","140.18","462","202102","19","38,900","2016","부강금호로",""
"세종특별자치시 부강면 금호리","1**","단독","8m미만","68.64","581","202008","12","29,400","1999","부강금호로",""
"세종특별자치시 부강면 금호리","3**","단독","12m미만","99.82","897","202011","17","86,200","2009","부강금호로",""
"세종특별자치시 부강면 노호리","3**","단독","8m미만","73.2","1185","202008","20","25,000","1979","null","20200917"
"세종특별자치시 부강면 등곡리","5**","단독","8m미만","62.82","305","202102","2","4,500","1978","시목부강로",""
"세종특별자치시 부강면 등곡리","1**","단독","8m미만","104.58","661","202102","20","20,000","2003","노호등곡1로",""
"세종특별자치시 부강면 문곡리","6**","단독","8m미만","58.77","219","202003","9","9,500","2011","문곡달미길",""
"세종특별자치시 부강면 문곡리","6**","단독","8m미만","71.5","298","202003","20","6,000","1994","문곡달미길",""
"세종특별자치시 부강면 문곡리","5**","단독","8m미만","74.38","339","202005","30","5,200","1936","문곡달미길",""
"세종특별자치시 부강면 문곡리","5**","단독","8m미만","117.3","512","202005","19","11,560","1990","문곡달미길",""
"세종특별자치시 부강면 문곡리","8**","단독","8m미만","83.16","579","202011","11","22,000","1990","문곡자창이길",""
"세종특별자치시 부강면 문곡리","2**","단독","8m미만","139.81","970","202006","29","27,000","2019","문곡대국터길",""
"세종특별자치시 부강면 부강리","4**","다가구","12m미만","609.08","368","202006","5","125,000","2017","태산길",""
"세종특별자치시 부강면 부강리","4**","단독","8m미만","151.02","106","202101","4","14,000","1994","시장길",""
"세종특별자치시 부강면 부강리","1**","단독","12m미만","75.88","170","202102","3","19,990","1983","시장1길",""
"세종특별자치시 부강면 부강리","1**","단독","12m미만","65.72","208","202009","10","18,700","1979","오대길",""
"세종특별자치시 부강면 부강리","3**","단독","8m미만","66.06","690","202012","19","24,750","1982","용포동촌길",""
"세종특별자치시 부강면 부강리","3**","단독","8m미만","109.37","700","202007","23","37,800","1961","용포동촌길",""
"세종특별자치시 부강면 부강리","3**","단독","8m미만","109.37","700","202007","23","37,800","1961","용포동촌길","20200810"
"세종특별자치시 부강면 부강리","3**","단독","8m미만","130.37","700","202007","23","37,900","1961","용포동촌길","20200810"
"세종특별자치시 부강면 부강리","4**","단독","12m미만","112.18","992","202009","11","158,554","1915","부촌길",""
